group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
deserialize,deserialize ,,24,bytes,1173000.0,ns,659
deserialize,deserialize ,,24,bytes,2266700.0,ns,1318
deserialize,deserialize ,,24,bytes,2950000.0,ns,1977
deserialize,deserialize ,,24,bytes,3928800.0,ns,2636
deserialize,deserialize ,,24,bytes,4915900.0,ns,3295
deserialize,deserialize ,,24,bytes,5902800.0,ns,3954
deserialize,deserialize ,,24,bytes,6901700.0,ns,4613
deserialize,deserialize ,,24,bytes,7870300.0,ns,5272
deserialize,deserialize ,,24,bytes,8848800.0,ns,5931
deserialize,deserialize ,,24,bytes,9822700.0,ns,6590
deserialize,deserialize ,,24,bytes,10815300.0,ns,7249
deserialize,deserialize ,,24,bytes,11787500.0,ns,7908
deserialize,deserialize ,,24,bytes,12781300.0,ns,8567
deserialize,deserialize ,,24,bytes,13748600.0,ns,9226
deserialize,deserialize ,,24,bytes,14739400.0,ns,9885
deserialize,deserialize ,,24,bytes,15733300.0,ns,10544
deserialize,deserialize ,,24,bytes,16701200.0,ns,11203
deserialize,deserialize ,,24,bytes,17795500.0,ns,11862
deserialize,deserialize ,,24,bytes,18345300.0,ns,12521
deserialize,deserialize ,,24,bytes,19351200.0,ns,13180
deserialize,deserialize ,,24,bytes,20431100.0,ns,13839
deserialize,deserialize ,,24,bytes,21315100.0,ns,14498
deserialize,deserialize ,,24,bytes,22291800.0,ns,15157
deserialize,deserialize ,,24,bytes,23142400.0,ns,15816
deserialize,deserialize ,,24,bytes,24310100.0,ns,16475
deserialize,deserialize ,,24,bytes,25157600.0,ns,17134
deserialize,deserialize ,,24,bytes,26206500.0,ns,17793
deserialize,deserialize ,,24,bytes,27320500.0,ns,18452
deserialize,deserialize ,,24,bytes,28753000.0,ns,19111
deserialize,deserialize ,,24,bytes,28888100.0,ns,19770
deserialize,deserialize ,,24,bytes,30203800.0,ns,20429
deserialize,deserialize ,,24,bytes,31163600.0,ns,21088
deserialize,deserialize ,,24,bytes,31813700.0,ns,21747
deserialize,deserialize ,,24,bytes,32849800.0,ns,22406
deserialize,deserialize ,,24,bytes,33984300.0,ns,23065
deserialize,deserialize ,,24,bytes,34902200.0,ns,23724
deserialize,deserialize ,,24,bytes,36088800.0,ns,24383
deserialize,deserialize ,,24,bytes,36912200.0,ns,25042
deserialize,deserialize ,,24,bytes,38696100.0,ns,25701
deserialize,deserialize ,,24,bytes,39444800.0,ns,26360
deserialize,deserialize ,,24,bytes,40290000.0,ns,27019
deserialize,deserialize ,,24,bytes,40975800.0,ns,27678
deserialize,deserialize ,,24,bytes,41997500.0,ns,28337
deserialize,deserialize ,,24,bytes,42654500.0,ns,28996
deserialize,deserialize ,,24,bytes,44034200.0,ns,29655
