group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
deserialize,deserialize ,,24,bytes,980900.0,ns,682
deserialize,deserialize ,,24,bytes,1983500.0,ns,1364
deserialize,deserialize ,,24,bytes,2935800.0,ns,2046
deserialize,deserialize ,,24,bytes,3962900.0,ns,2728
deserialize,deserialize ,,24,bytes,4878800.0,ns,3410
deserialize,deserialize ,,24,bytes,5918000.0,ns,4092
deserialize,deserialize ,,24,bytes,6932900.0,ns,4774
deserialize,deserialize ,,24,bytes,7844400.0,ns,5456
deserialize,deserialize ,,24,bytes,8857200.0,ns,6138
deserialize,deserialize ,,24,bytes,9816500.0,ns,6820
deserialize,deserialize ,,24,bytes,10764400.0,ns,7502
deserialize,deserialize ,,24,bytes,11813000.0,ns,8184
deserialize,deserialize ,,24,bytes,12687000.0,ns,8866
deserialize,deserialize ,,24,bytes,13667900.0,ns,9548
deserialize,deserialize ,,24,bytes,14695600.0,ns,10230
deserialize,deserialize ,,24,bytes,15680000.0,ns,10912
deserialize,deserialize ,,24,bytes,16650900.0,ns,11594
deserialize,deserialize ,,24,bytes,17641900.0,ns,12276
deserialize,deserialize ,,24,bytes,18578800.0,ns,12958
deserialize,deserialize ,,24,bytes,19613800.0,ns,13640
deserialize,deserialize ,,24,bytes,20560900.0,ns,14322
deserialize,deserialize ,,24,bytes,21808200.0,ns,15004
deserialize,deserialize ,,24,bytes,22602200.0,ns,15686
deserialize,deserialize ,,24,bytes,23512300.0,ns,16368
deserialize,deserialize ,,24,bytes,24934900.0,ns,17050
deserialize,deserialize ,,24,bytes,25500000.0,ns,17732
deserialize,deserialize ,,24,bytes,26533200.0,ns,18414
deserialize,deserialize ,,24,bytes,27426000.0,ns,19096
deserialize,deserialize ,,24,bytes,28427500.0,ns,19778
deserialize,deserialize ,,24,bytes,29394400.0,ns,20460
deserialize,deserialize ,,24,bytes,30781700.0,ns,21142
deserialize,deserialize ,,24,bytes,31411300.0,ns,21824
deserialize,deserialize ,,24,bytes,32422400.0,ns,22506
deserialize,deserialize ,,24,bytes,33249600.0,ns,23188
deserialize,deserialize ,,24,bytes,34376900.0,ns,23870
deserialize,deserialize ,,24,bytes,35376000.0,ns,24552
deserialize,deserialize ,,24,bytes,36289400.0,ns,25234
deserialize,deserialize ,,24,bytes,37188700.0,ns,25916
deserialize,deserialize ,,24,bytes,38167900.0,ns,26598
deserialize,deserialize ,,24,bytes,39302900.0,ns,27280
deserialize,deserialize ,,24,bytes,40312500.0,ns,27962
deserialize,deserialize ,,24,bytes,41402200.0,ns,28644
deserialize,deserialize ,,24,bytes,42117100.0,ns,29326
deserialize,deserialize ,,24,bytes,43126800.0,ns,30008
deserialize,deserialize ,,24,bytes,44231700.0,ns,30690
deserialize,deserialize ,,24,bytes,45134200.0,ns,31372
deserialize,deserialize ,,24,bytes,46057600.0,ns,32054
deserialize,deserialize ,,24,bytes,46933900.0,ns,32736
deserialize,deserialize ,,24,bytes,48016300.0,ns,33418
deserialize,deserialize ,,24,bytes,48997900.0,ns,34100
deserialize,deserialize ,,24,bytes,50590500.0,ns,34782
deserialize,deserialize ,,24,bytes,52369500.0,ns,35464
deserialize,deserialize ,,24,bytes,52507400.0,ns,36146
deserialize,deserialize ,,24,bytes,53829500.0,ns,36828
deserialize,deserialize ,,24,bytes,54529800.0,ns,37510
deserialize,deserialize ,,24,bytes,54894500.0,ns,38192
deserialize,deserialize ,,24,bytes,55822300.0,ns,38874
deserialize,deserialize ,,24,bytes,56758100.0,ns,39556
deserialize,deserialize ,,24,bytes,58337500.0,ns,40238
deserialize,deserialize ,,24,bytes,58938000.0,ns,40920
deserialize,deserialize ,,24,bytes,59834500.0,ns,41602
deserialize,deserialize ,,24,bytes,60884200.0,ns,42284
deserialize,deserialize ,,24,bytes,61753700.0,ns,42966
deserialize,deserialize ,,24,bytes,62614000.0,ns,43648
deserialize,deserialize ,,24,bytes,63927100.0,ns,44330
deserialize,deserialize ,,24,bytes,64632400.0,ns,45012
deserialize,deserialize ,,24,bytes,65730200.0,ns,45694
deserialize,deserialize ,,24,bytes,66834600.0,ns,46376
deserialize,deserialize ,,24,bytes,67544000.0,ns,47058
deserialize,deserialize ,,24,bytes,68557200.0,ns,47740
deserialize,deserialize ,,24,bytes,69884100.0,ns,48422
deserialize,deserialize ,,24,bytes,70838400.0,ns,49104
deserialize,deserialize ,,24,bytes,71615600.0,ns,49786
deserialize,deserialize ,,24,bytes,72737300.0,ns,50468
deserialize,deserialize ,,24,bytes,73535100.0,ns,51150
deserialize,deserialize ,,24,bytes,74588700.0,ns,51832
deserialize,deserialize ,,24,bytes,75471300.0,ns,52514
deserialize,deserialize ,,24,bytes,76420100.0,ns,53196
deserialize,deserialize ,,24,bytes,77379000.0,ns,53878
deserialize,deserialize ,,24,bytes,78495500.0,ns,54560
deserialize,deserialize ,,24,bytes,79336600.0,ns,55242
deserialize,deserialize ,,24,bytes,80671000.0,ns,55924
deserialize,deserialize ,,24,bytes,81280100.0,ns,56606
deserialize,deserialize ,,24,bytes,82749400.0,ns,57288
deserialize,deserialize ,,24,bytes,83182600.0,ns,57970
deserialize,deserialize ,,24,bytes,84322100.0,ns,58652
deserialize,deserialize ,,24,bytes,85475800.0,ns,59334
deserialize,deserialize ,,24,bytes,86455200.0,ns,60016
deserialize,deserialize ,,24,bytes,87314400.0,ns,60698
deserialize,deserialize ,,24,bytes,88404900.0,ns,61380
deserialize,deserialize ,,24,bytes,89083700.0,ns,62062
deserialize,deserialize ,,24,bytes,90273300.0,ns,62744
deserialize,deserialize ,,24,bytes,91213400.0,ns,63426
deserialize,deserialize ,,24,bytes,92224700.0,ns,64108
deserialize,deserialize ,,24,bytes,92946700.0,ns,64790
deserialize,deserialize ,,24,bytes,94528500.0,ns,65472
deserialize,deserialize ,,24,bytes,94857800.0,ns,66154
deserialize,deserialize ,,24,bytes,95890700.0,ns,66836
deserialize,deserialize ,,24,bytes,96875600.0,ns,67518
deserialize,deserialize ,,24,bytes,98094300.0,ns,68200
