group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
deserialize ,,,,,1192900.0,ns,683
deserialize ,,,,,2246400.0,ns,1366
deserialize ,,,,,2948100.0,ns,2049
deserialize ,,,,,3938100.0,ns,2732
deserialize ,,,,,4971400.0,ns,3415
deserialize ,,,,,5897300.0,ns,4098
deserialize ,,,,,6906400.0,ns,4781
deserialize ,,,,,7923400.0,ns,5464
deserialize ,,,,,8876500.0,ns,6147
deserialize ,,,,,9850100.0,ns,6830
deserialize ,,,,,10872000.0,ns,7513
deserialize ,,,,,11895500.0,ns,8196
deserialize ,,,,,12894800.0,ns,8879
deserialize ,,,,,13822000.0,ns,9562
deserialize ,,,,,14797900.0,ns,10245
deserialize ,,,,,15784100.0,ns,10928
deserialize ,,,,,16790500.0,ns,11611
deserialize ,,,,,17786600.0,ns,12294
deserialize ,,,,,18727500.0,ns,12977
deserialize ,,,,,20250300.0,ns,13660
deserialize ,,,,,20731800.0,ns,14343
deserialize ,,,,,21680100.0,ns,15026
deserialize ,,,,,22689300.0,ns,15709
deserialize ,,,,,23782100.0,ns,16392
deserialize ,,,,,24714100.0,ns,17075
deserialize ,,,,,25671500.0,ns,17758
deserialize ,,,,,26625700.0,ns,18441
deserialize ,,,,,27633100.0,ns,19124
deserialize ,,,,,28714200.0,ns,19807
deserialize ,,,,,29632000.0,ns,20490
deserialize ,,,,,30777700.0,ns,21173
deserialize ,,,,,31720500.0,ns,21856
deserialize ,,,,,32617700.0,ns,22539
deserialize ,,,,,33618600.0,ns,23222
deserialize ,,,,,34728100.0,ns,23905
deserialize ,,,,,35522100.0,ns,24588
deserialize ,,,,,36632000.0,ns,25271
deserialize ,,,,,37683700.0,ns,25954
deserialize ,,,,,38474000.0,ns,26637
deserialize ,,,,,39568500.0,ns,27320
deserialize ,,,,,40410600.0,ns,28003
deserialize ,,,,,41526000.0,ns,28686
deserialize ,,,,,42420500.0,ns,29369
deserialize ,,,,,43456900.0,ns,30052
deserialize ,,,,,44490400.0,ns,30735
deserialize ,,,,,45363000.0,ns,31418
deserialize ,,,,,46379400.0,ns,32101
deserialize ,,,,,47353100.0,ns,32784
deserialize ,,,,,48762000.0,ns,33467
deserialize ,,,,,49347600.0,ns,34150
deserialize ,,,,,50521200.0,ns,34833
deserialize ,,,,,51748700.0,ns,35516
deserialize ,,,,,52276700.0,ns,36199
deserialize ,,,,,53470500.0,ns,36882
deserialize ,,,,,54560200.0,ns,37565
deserialize ,,,,,55345000.0,ns,38248
deserialize ,,,,,56258100.0,ns,38931
deserialize ,,,,,57339900.0,ns,39614
deserialize ,,,,,58451700.0,ns,40297
deserialize ,,,,,59289800.0,ns,40980
deserialize ,,,,,60257300.0,ns,41663
deserialize ,,,,,61207300.0,ns,42346
deserialize ,,,,,62339100.0,ns,43029
deserialize ,,,,,63197700.0,ns,43712
deserialize ,,,,,64196800.0,ns,44395
deserialize ,,,,,65122000.0,ns,45078
deserialize ,,,,,66434500.0,ns,45761
deserialize ,,,,,67423100.0,ns,46444
deserialize ,,,,,68077900.0,ns,47127
deserialize ,,,,,69134000.0,ns,47810
deserialize ,,,,,70348100.0,ns,48493
deserialize ,,,,,71178300.0,ns,49176
deserialize ,,,,,72358100.0,ns,49859
deserialize ,,,,,73071000.0,ns,50542
deserialize ,,,,,74170800.0,ns,51225
deserialize ,,,,,75086500.0,ns,51908
deserialize ,,,,,75981200.0,ns,52591
deserialize ,,,,,77030400.0,ns,53274
deserialize ,,,,,78113300.0,ns,53957
deserialize ,,,,,78990200.0,ns,54640
deserialize ,,,,,80730700.0,ns,55323
deserialize ,,,,,81006800.0,ns,56006
deserialize ,,,,,82054000.0,ns,56689
deserialize ,,,,,83347100.0,ns,57372
deserialize ,,,,,84291400.0,ns,58055
deserialize ,,,,,84980600.0,ns,58738
deserialize ,,,,,86046400.0,ns,59421
deserialize ,,,,,86997700.0,ns,60104
deserialize ,,,,,88935600.0,ns,60787
deserialize ,,,,,88970800.0,ns,61470
deserialize ,,,,,89999500.0,ns,62153
deserialize ,,,,,91186800.0,ns,62836
deserialize ,,,,,92140200.0,ns,63519
deserialize ,,,,,92830400.0,ns,64202
deserialize ,,,,,93756200.0,ns,64885
deserialize ,,,,,95009400.0,ns,65568
deserialize ,,,,,96013100.0,ns,66251
deserialize ,,,,,96756300.0,ns,66934
deserialize ,,,,,97875900.0,ns,67617
deserialize ,,,,,98707600.0,ns,68300
