group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,chacha,,1,elements,998300.0,ns,7180
gen_payloads,chacha,,1,elements,1973800.0,ns,14360
gen_payloads,chacha,,1,elements,2990000.0,ns,21540
gen_payloads,chacha,,1,elements,3956900.0,ns,28720
gen_payloads,chacha,,1,elements,4929700.0,ns,35900
gen_payloads,chacha,,1,elements,5941300.0,ns,43080
gen_payloads,chacha,,1,elements,7047300.0,ns,50260
gen_payloads,chacha,,1,elements,7849100.0,ns,57440
gen_payloads,chacha,,1,elements,8924900.0,ns,64620
gen_payloads,chacha,,1,elements,9839800.0,ns,71800
gen_payloads,chacha,,1,elements,10854000.0,ns,78980
gen_payloads,chacha,,1,elements,12033400.0,ns,86160
gen_payloads,chacha,,1,elements,12806200.0,ns,93340
gen_payloads,chacha,,1,elements,13830700.0,ns,100520
gen_payloads,chacha,,1,elements,14827500.0,ns,107700
gen_payloads,chacha,,1,elements,15865900.0,ns,114880
gen_payloads,chacha,,1,elements,16827100.0,ns,122060
gen_payloads,chacha,,1,elements,17742600.0,ns,129240
gen_payloads,chacha,,1,elements,18686600.0,ns,136420
gen_payloads,chacha,,1,elements,19731300.0,ns,143600
gen_payloads,chacha,,1,elements,20734000.0,ns,150780
gen_payloads,chacha,,1,elements,21629700.0,ns,157960
gen_payloads,chacha,,1,elements,22702500.0,ns,165140
gen_payloads,chacha,,1,elements,23693200.0,ns,172320
gen_payloads,chacha,,1,elements,24596600.0,ns,179500
gen_payloads,chacha,,1,elements,25749900.0,ns,186680
gen_payloads,chacha,,1,elements,26587300.0,ns,193860
gen_payloads,chacha,,1,elements,27537400.0,ns,201040
gen_payloads,chacha,,1,elements,28516300.0,ns,208220
gen_payloads,chacha,,1,elements,29563100.0,ns,215400
gen_payloads,chacha,,1,elements,30631800.0,ns,222580
gen_payloads,chacha,,1,elements,31561400.0,ns,229760
gen_payloads,chacha,,1,elements,32543200.0,ns,236940
gen_payloads,chacha,,1,elements,33539500.0,ns,244120
gen_payloads,chacha,,1,elements,34528000.0,ns,251300
gen_payloads,chacha,,1,elements,35500500.0,ns,258480
gen_payloads,chacha,,1,elements,36369600.0,ns,265660
gen_payloads,chacha,,1,elements,37502800.0,ns,272840
gen_payloads,chacha,,1,elements,38605200.0,ns,280020
gen_payloads,chacha,,1,elements,39801500.0,ns,287200
gen_payloads,chacha,,1,elements,41059200.0,ns,294380
gen_payloads,chacha,,1,elements,42054100.0,ns,301560
gen_payloads,chacha,,1,elements,42568800.0,ns,308740
gen_payloads,chacha,,1,elements,43272700.0,ns,315920
gen_payloads,chacha,,1,elements,44443800.0,ns,323100
gen_payloads,chacha,,1,elements,45532200.0,ns,330280
gen_payloads,chacha,,1,elements,46527600.0,ns,337460
gen_payloads,chacha,,1,elements,47224500.0,ns,344640
gen_payloads,chacha,,1,elements,48102000.0,ns,351820
gen_payloads,chacha,,1,elements,49379100.0,ns,359000
gen_payloads,chacha,,1,elements,50173200.0,ns,366180
gen_payloads,chacha,,1,elements,51217200.0,ns,373360
gen_payloads,chacha,,1,elements,52389500.0,ns,380540
gen_payloads,chacha,,1,elements,53226400.0,ns,387720
gen_payloads,chacha,,1,elements,54314100.0,ns,394900
gen_payloads,chacha,,1,elements,55193400.0,ns,402080
gen_payloads,chacha,,1,elements,56992600.0,ns,409260
gen_payloads,chacha,,1,elements,57339600.0,ns,416440
gen_payloads,chacha,,1,elements,58967600.0,ns,423620
gen_payloads,chacha,,1,elements,59861100.0,ns,430800
gen_payloads,chacha,,1,elements,60078100.0,ns,437980
gen_payloads,chacha,,1,elements,61219700.0,ns,445160
gen_payloads,chacha,,1,elements,62237900.0,ns,452340
gen_payloads,chacha,,1,elements,69064100.0,ns,459520
gen_payloads,chacha,,1,elements,64994700.0,ns,466700
gen_payloads,chacha,,1,elements,66076800.0,ns,473880
gen_payloads,chacha,,1,elements,66283000.0,ns,481060
gen_payloads,chacha,,1,elements,67278500.0,ns,488240
gen_payloads,chacha,,1,elements,68387400.0,ns,495420
gen_payloads,chacha,,1,elements,69272800.0,ns,502600
gen_payloads,chacha,,1,elements,70827900.0,ns,509780
gen_payloads,chacha,,1,elements,71216300.0,ns,516960
gen_payloads,chacha,,1,elements,73090400.0,ns,524140
gen_payloads,chacha,,1,elements,73231600.0,ns,531320
gen_payloads,chacha,,1,elements,74016400.0,ns,538500
gen_payloads,chacha,,1,elements,74875200.0,ns,545680
gen_payloads,chacha,,1,elements,76131800.0,ns,552860
gen_payloads,chacha,,1,elements,77377000.0,ns,560040
gen_payloads,chacha,,1,elements,78634100.0,ns,567220
gen_payloads,chacha,,1,elements,79852900.0,ns,574400
gen_payloads,chacha,,1,elements,79808300.0,ns,581580
gen_payloads,chacha,,1,elements,80844400.0,ns,588760
gen_payloads,chacha,,1,elements,81699800.0,ns,595940
gen_payloads,chacha,,1,elements,82882600.0,ns,603120
gen_payloads,chacha,,1,elements,83634900.0,ns,610300
gen_payloads,chacha,,1,elements,84836500.0,ns,617480
gen_payloads,chacha,,1,elements,86096600.0,ns,624660
gen_payloads,chacha,,1,elements,86540800.0,ns,631840
gen_payloads,chacha,,1,elements,88195100.0,ns,639020
gen_payloads,chacha,,1,elements,88758800.0,ns,646200
gen_payloads,chacha,,1,elements,89684400.0,ns,653380
gen_payloads,chacha,,1,elements,90855100.0,ns,660560
gen_payloads,chacha,,1,elements,91915300.0,ns,667740
gen_payloads,chacha,,1,elements,93556000.0,ns,674920
gen_payloads,chacha,,1,elements,94302700.0,ns,682100
gen_payloads,chacha,,1,elements,96284400.0,ns,689280
gen_payloads,chacha,,1,elements,96972800.0,ns,696460
gen_payloads,chacha,,1,elements,96490000.0,ns,703640
gen_payloads,chacha,,1,elements,97567800.0,ns,710820
gen_payloads,chacha,,1,elements,99658000.0,ns,718000
