group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,chacha12,,1,elements,1008700.0,ns,6341
gen_payloads,chacha12,,1,elements,1971400.0,ns,12682
gen_payloads,chacha12,,1,elements,3004800.0,ns,19023
gen_payloads,chacha12,,1,elements,3966900.0,ns,25364
gen_payloads,chacha12,,1,elements,4903000.0,ns,31705
gen_payloads,chacha12,,1,elements,5914000.0,ns,38046
gen_payloads,chacha12,,1,elements,6961300.0,ns,44387
gen_payloads,chacha12,,1,elements,7843400.0,ns,50728
gen_payloads,chacha12,,1,elements,8866800.0,ns,57069
gen_payloads,chacha12,,1,elements,9842500.0,ns,63410
gen_payloads,chacha12,,1,elements,10906700.0,ns,69751
gen_payloads,chacha12,,1,elements,11802800.0,ns,76092
gen_payloads,chacha12,,1,elements,12778300.0,ns,82433
gen_payloads,chacha12,,1,elements,13793500.0,ns,88774
gen_payloads,chacha12,,1,elements,14951900.0,ns,95115
gen_payloads,chacha12,,1,elements,15884000.0,ns,101456
gen_payloads,chacha12,,1,elements,16620700.0,ns,107797
gen_payloads,chacha12,,1,elements,17605000.0,ns,114138
gen_payloads,chacha12,,1,elements,18780000.0,ns,120479
gen_payloads,chacha12,,1,elements,19682300.0,ns,126820
gen_payloads,chacha12,,1,elements,20721900.0,ns,133161
gen_payloads,chacha12,,1,elements,21763900.0,ns,139502
gen_payloads,chacha12,,1,elements,22607900.0,ns,145843
gen_payloads,chacha12,,1,elements,23599800.0,ns,152184
gen_payloads,chacha12,,1,elements,24640100.0,ns,158525
gen_payloads,chacha12,,1,elements,25656800.0,ns,164866
gen_payloads,chacha12,,1,elements,26482500.0,ns,171207
gen_payloads,chacha12,,1,elements,27489400.0,ns,177548
gen_payloads,chacha12,,1,elements,28503400.0,ns,183889
gen_payloads,chacha12,,1,elements,29678500.0,ns,190230
gen_payloads,chacha12,,1,elements,30493000.0,ns,196571
gen_payloads,chacha12,,1,elements,31580700.0,ns,202912
gen_payloads,chacha12,,1,elements,32453100.0,ns,209253
gen_payloads,chacha12,,1,elements,33428500.0,ns,215594
gen_payloads,chacha12,,1,elements,34477900.0,ns,221935
gen_payloads,chacha12,,1,elements,35383400.0,ns,228276
gen_payloads,chacha12,,1,elements,36412900.0,ns,234617
gen_payloads,chacha12,,1,elements,37308000.0,ns,240958
gen_payloads,chacha12,,1,elements,38285700.0,ns,247299
gen_payloads,chacha12,,1,elements,39365100.0,ns,253640
gen_payloads,chacha12,,1,elements,40261000.0,ns,259981
gen_payloads,chacha12,,1,elements,41331100.0,ns,266322
gen_payloads,chacha12,,1,elements,42273400.0,ns,272663
gen_payloads,chacha12,,1,elements,43230700.0,ns,279004
gen_payloads,chacha12,,1,elements,44254200.0,ns,285345
gen_payloads,chacha12,,1,elements,45362600.0,ns,291686
gen_payloads,chacha12,,1,elements,46186500.0,ns,298027
gen_payloads,chacha12,,1,elements,47385000.0,ns,304368
gen_payloads,chacha12,,1,elements,48337500.0,ns,310709
gen_payloads,chacha12,,1,elements,49091400.0,ns,317050
