group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,chacha8,,1,elements,977700.0,ns,7117
gen_payloads,chacha8,,1,elements,1927900.0,ns,14234
gen_payloads,chacha8,,1,elements,2958900.0,ns,21351
gen_payloads,chacha8,,1,elements,3934000.0,ns,28468
gen_payloads,chacha8,,1,elements,4924100.0,ns,35585
gen_payloads,chacha8,,1,elements,5857000.0,ns,42702
gen_payloads,chacha8,,1,elements,6869400.0,ns,49819
gen_payloads,chacha8,,1,elements,7879600.0,ns,56936
gen_payloads,chacha8,,1,elements,8787100.0,ns,64053
gen_payloads,chacha8,,1,elements,9890700.0,ns,71170
gen_payloads,chacha8,,1,elements,10746600.0,ns,78287
gen_payloads,chacha8,,1,elements,11744300.0,ns,85404
gen_payloads,chacha8,,1,elements,12728500.0,ns,92521
gen_payloads,chacha8,,1,elements,13693500.0,ns,99638
gen_payloads,chacha8,,1,elements,14703300.0,ns,106755
gen_payloads,chacha8,,1,elements,15619500.0,ns,113872
gen_payloads,chacha8,,1,elements,16601700.0,ns,120989
gen_payloads,chacha8,,1,elements,17797100.0,ns,128106
gen_payloads,chacha8,,1,elements,18720100.0,ns,135223
gen_payloads,chacha8,,1,elements,19531100.0,ns,142340
gen_payloads,chacha8,,1,elements,20501700.0,ns,149457
gen_payloads,chacha8,,1,elements,21649200.0,ns,156574
gen_payloads,chacha8,,1,elements,22464100.0,ns,163691
gen_payloads,chacha8,,1,elements,23488100.0,ns,170808
gen_payloads,chacha8,,1,elements,24551200.0,ns,177925
gen_payloads,chacha8,,1,elements,25381600.0,ns,185042
gen_payloads,chacha8,,1,elements,26531400.0,ns,192159
gen_payloads,chacha8,,1,elements,27370100.0,ns,199276
gen_payloads,chacha8,,1,elements,28444000.0,ns,206393
gen_payloads,chacha8,,1,elements,29417000.0,ns,213510
gen_payloads,chacha8,,1,elements,30421500.0,ns,220627
gen_payloads,chacha8,,1,elements,31431300.0,ns,227744
gen_payloads,chacha8,,1,elements,32224100.0,ns,234861
gen_payloads,chacha8,,1,elements,33268700.0,ns,241978
gen_payloads,chacha8,,1,elements,34411000.0,ns,249095
gen_payloads,chacha8,,1,elements,35152700.0,ns,256212
gen_payloads,chacha8,,1,elements,36300600.0,ns,263329
gen_payloads,chacha8,,1,elements,37246000.0,ns,270446
gen_payloads,chacha8,,1,elements,38319700.0,ns,277563
gen_payloads,chacha8,,1,elements,39252900.0,ns,284680
gen_payloads,chacha8,,1,elements,40147100.0,ns,291797
gen_payloads,chacha8,,1,elements,41184200.0,ns,298914
gen_payloads,chacha8,,1,elements,42150500.0,ns,306031
gen_payloads,chacha8,,1,elements,43150700.0,ns,313148
gen_payloads,chacha8,,1,elements,44062700.0,ns,320265
gen_payloads,chacha8,,1,elements,45883000.0,ns,327382
gen_payloads,chacha8,,1,elements,46044900.0,ns,334499
gen_payloads,chacha8,,1,elements,46876600.0,ns,341616
gen_payloads,chacha8,,1,elements,48257600.0,ns,348733
gen_payloads,chacha8,,1,elements,49003600.0,ns,355850
gen_payloads,chacha8,,1,elements,49869600.0,ns,362967
gen_payloads,chacha8,,1,elements,50802300.0,ns,370084
gen_payloads,chacha8,,1,elements,52041800.0,ns,377201
gen_payloads,chacha8,,1,elements,52901700.0,ns,384318
gen_payloads,chacha8,,1,elements,54040700.0,ns,391435
gen_payloads,chacha8,,1,elements,55117700.0,ns,398552
gen_payloads,chacha8,,1,elements,56070200.0,ns,405669
gen_payloads,chacha8,,1,elements,56705800.0,ns,412786
gen_payloads,chacha8,,1,elements,57743800.0,ns,419903
gen_payloads,chacha8,,1,elements,58812900.0,ns,427020
gen_payloads,chacha8,,1,elements,59631000.0,ns,434137
gen_payloads,chacha8,,1,elements,60856700.0,ns,441254
gen_payloads,chacha8,,1,elements,61827500.0,ns,448371
gen_payloads,chacha8,,1,elements,62576800.0,ns,455488
gen_payloads,chacha8,,1,elements,63650300.0,ns,462605
gen_payloads,chacha8,,1,elements,64627000.0,ns,469722
gen_payloads,chacha8,,1,elements,65709400.0,ns,476839
gen_payloads,chacha8,,1,elements,66586900.0,ns,483956
gen_payloads,chacha8,,1,elements,67851200.0,ns,491073
gen_payloads,chacha8,,1,elements,68819200.0,ns,498190
gen_payloads,chacha8,,1,elements,69760800.0,ns,505307
gen_payloads,chacha8,,1,elements,70504100.0,ns,512424
gen_payloads,chacha8,,1,elements,71375700.0,ns,519541
gen_payloads,chacha8,,1,elements,72507400.0,ns,526658
gen_payloads,chacha8,,1,elements,73522700.0,ns,533775
gen_payloads,chacha8,,1,elements,74418600.0,ns,540892
gen_payloads,chacha8,,1,elements,75296300.0,ns,548009
gen_payloads,chacha8,,1,elements,76414000.0,ns,555126
gen_payloads,chacha8,,1,elements,77594700.0,ns,562243
gen_payloads,chacha8,,1,elements,78461900.0,ns,569360
gen_payloads,chacha8,,1,elements,79300300.0,ns,576477
gen_payloads,chacha8,,1,elements,80348200.0,ns,583594
gen_payloads,chacha8,,1,elements,81479000.0,ns,590711
gen_payloads,chacha8,,1,elements,82594000.0,ns,597828
gen_payloads,chacha8,,1,elements,83115500.0,ns,604945
gen_payloads,chacha8,,1,elements,84314200.0,ns,612062
gen_payloads,chacha8,,1,elements,85176900.0,ns,619179
gen_payloads,chacha8,,1,elements,86094400.0,ns,626296
gen_payloads,chacha8,,1,elements,87246800.0,ns,633413
gen_payloads,chacha8,,1,elements,88070400.0,ns,640530
gen_payloads,chacha8,,1,elements,89042600.0,ns,647647
gen_payloads,chacha8,,1,elements,90380900.0,ns,654764
gen_payloads,chacha8,,1,elements,91053700.0,ns,661881
gen_payloads,chacha8,,1,elements,92147200.0,ns,668998
gen_payloads,chacha8,,1,elements,93004000.0,ns,676115
gen_payloads,chacha8,,1,elements,94210300.0,ns,683232
gen_payloads,chacha8,,1,elements,94886400.0,ns,690349
gen_payloads,chacha8,,1,elements,95860300.0,ns,697466
gen_payloads,chacha8,,1,elements,96897000.0,ns,704583
gen_payloads,chacha8,,1,elements,98059800.0,ns,711700
