group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,hyper,,1,elements,860200.0,ns,4312
gen_payloads,hyper,,1,elements,1712200.0,ns,8624
gen_payloads,hyper,,1,elements,2603600.0,ns,12936
gen_payloads,hyper,,1,elements,3409300.0,ns,17248
gen_payloads,hyper,,1,elements,4300500.0,ns,21560
gen_payloads,hyper,,1,elements,5176100.0,ns,25872
gen_payloads,hyper,,1,elements,6022800.0,ns,30184
gen_payloads,hyper,,1,elements,6966400.0,ns,34496
gen_payloads,hyper,,1,elements,7771200.0,ns,38808
gen_payloads,hyper,,1,elements,8706400.0,ns,43120
gen_payloads,hyper,,1,elements,9528900.0,ns,47432
gen_payloads,hyper,,1,elements,10385000.0,ns,51744
gen_payloads,hyper,,1,elements,11196700.0,ns,56056
gen_payloads,hyper,,1,elements,12083300.0,ns,60368
gen_payloads,hyper,,1,elements,13023900.0,ns,64680
gen_payloads,hyper,,1,elements,13780200.0,ns,68992
gen_payloads,hyper,,1,elements,14688000.0,ns,73304
gen_payloads,hyper,,1,elements,15492700.0,ns,77616
gen_payloads,hyper,,1,elements,16391200.0,ns,81928
gen_payloads,hyper,,1,elements,17171500.0,ns,86240
gen_payloads,hyper,,1,elements,18057700.0,ns,90552
gen_payloads,hyper,,1,elements,19051800.0,ns,94864
gen_payloads,hyper,,1,elements,19812700.0,ns,99176
gen_payloads,hyper,,1,elements,20634000.0,ns,103488
gen_payloads,hyper,,1,elements,21468600.0,ns,107800
gen_payloads,hyper,,1,elements,22465500.0,ns,112112
gen_payloads,hyper,,1,elements,23240200.0,ns,116424
gen_payloads,hyper,,1,elements,24210400.0,ns,120736
gen_payloads,hyper,,1,elements,24963700.0,ns,125048
gen_payloads,hyper,,1,elements,25882500.0,ns,129360
gen_payloads,hyper,,1,elements,26687500.0,ns,133672
gen_payloads,hyper,,1,elements,27477600.0,ns,137984
gen_payloads,hyper,,1,elements,28286800.0,ns,142296
gen_payloads,hyper,,1,elements,29198900.0,ns,146608
gen_payloads,hyper,,1,elements,30122500.0,ns,150920
gen_payloads,hyper,,1,elements,30959900.0,ns,155232
gen_payloads,hyper,,1,elements,31815300.0,ns,159544
gen_payloads,hyper,,1,elements,32753700.0,ns,163856
gen_payloads,hyper,,1,elements,33602800.0,ns,168168
gen_payloads,hyper,,1,elements,34292300.0,ns,172480
gen_payloads,hyper,,1,elements,35447200.0,ns,176792
gen_payloads,hyper,,1,elements,36056600.0,ns,181104
gen_payloads,hyper,,1,elements,36954400.0,ns,185416
gen_payloads,hyper,,1,elements,38022200.0,ns,189728
gen_payloads,hyper,,1,elements,38707000.0,ns,194040
gen_payloads,hyper,,1,elements,41209300.0,ns,198352
gen_payloads,hyper,,1,elements,40882200.0,ns,202664
gen_payloads,hyper,,1,elements,41953100.0,ns,206976
gen_payloads,hyper,,1,elements,43056800.0,ns,211288
gen_payloads,hyper,,1,elements,43584800.0,ns,215600
gen_payloads,hyper,,1,elements,43818600.0,ns,219912
gen_payloads,hyper,,1,elements,45003700.0,ns,224224
gen_payloads,hyper,,1,elements,45685800.0,ns,228536
gen_payloads,hyper,,1,elements,46719800.0,ns,232848
gen_payloads,hyper,,1,elements,47446700.0,ns,237160
gen_payloads,hyper,,1,elements,48358000.0,ns,241472
gen_payloads,hyper,,1,elements,49145700.0,ns,245784
gen_payloads,hyper,,1,elements,50003100.0,ns,250096
gen_payloads,hyper,,1,elements,50783300.0,ns,254408
gen_payloads,hyper,,1,elements,51613000.0,ns,258720
gen_payloads,hyper,,1,elements,52745500.0,ns,263032
gen_payloads,hyper,,1,elements,53425700.0,ns,267344
gen_payloads,hyper,,1,elements,54387900.0,ns,271656
gen_payloads,hyper,,1,elements,55301900.0,ns,275968
gen_payloads,hyper,,1,elements,55777500.0,ns,280280
gen_payloads,hyper,,1,elements,56904900.0,ns,284592
gen_payloads,hyper,,1,elements,57887500.0,ns,288904
gen_payloads,hyper,,1,elements,58578500.0,ns,293216
gen_payloads,hyper,,1,elements,59472900.0,ns,297528
gen_payloads,hyper,,1,elements,60226500.0,ns,301840
gen_payloads,hyper,,1,elements,61157300.0,ns,306152
gen_payloads,hyper,,1,elements,61943500.0,ns,310464
gen_payloads,hyper,,1,elements,63122000.0,ns,314776
gen_payloads,hyper,,1,elements,63867100.0,ns,319088
gen_payloads,hyper,,1,elements,64578500.0,ns,323400
gen_payloads,hyper,,1,elements,66154700.0,ns,327712
gen_payloads,hyper,,1,elements,66217000.0,ns,332024
gen_payloads,hyper,,1,elements,67335700.0,ns,336336
gen_payloads,hyper,,1,elements,68254000.0,ns,340648
gen_payloads,hyper,,1,elements,68941200.0,ns,344960
gen_payloads,hyper,,1,elements,69942600.0,ns,349272
gen_payloads,hyper,,1,elements,71111400.0,ns,353584
gen_payloads,hyper,,1,elements,71549000.0,ns,357896
