group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,CHACHA12,1,elements,1004800.0,ns,6265
gen_payloads,Rng,CHACHA12,1,elements,1977100.0,ns,12530
gen_payloads,Rng,CHACHA12,1,elements,2996000.0,ns,18795
gen_payloads,Rng,CHACHA12,1,elements,3930300.0,ns,25060
gen_payloads,Rng,CHACHA12,1,elements,4980400.0,ns,31325
gen_payloads,Rng,CHACHA12,1,elements,5963900.0,ns,37590
gen_payloads,Rng,CHACHA12,1,elements,6927200.0,ns,43855
gen_payloads,Rng,CHACHA12,1,elements,7932100.0,ns,50120
gen_payloads,Rng,CHACHA12,1,elements,8917100.0,ns,56385
gen_payloads,Rng,CHACHA12,1,elements,9897700.0,ns,62650
gen_payloads,Rng,CHACHA12,1,elements,10845200.0,ns,68915
gen_payloads,Rng,CHACHA12,1,elements,11831900.0,ns,75180
gen_payloads,Rng,CHACHA12,1,elements,12811700.0,ns,81445
gen_payloads,Rng,CHACHA12,1,elements,13789100.0,ns,87710
gen_payloads,Rng,CHACHA12,1,elements,14810000.0,ns,93975
gen_payloads,Rng,CHACHA12,1,elements,15840200.0,ns,100240
gen_payloads,Rng,CHACHA12,1,elements,16958100.0,ns,106505
gen_payloads,Rng,CHACHA12,1,elements,17845100.0,ns,112770
gen_payloads,Rng,CHACHA12,1,elements,18720800.0,ns,119035
gen_payloads,Rng,CHACHA12,1,elements,19786000.0,ns,125300
gen_payloads,Rng,CHACHA12,1,elements,20672100.0,ns,131565
gen_payloads,Rng,CHACHA12,1,elements,21761500.0,ns,137830
gen_payloads,Rng,CHACHA12,1,elements,22734000.0,ns,144095
gen_payloads,Rng,CHACHA12,1,elements,23720900.0,ns,150360
gen_payloads,Rng,CHACHA12,1,elements,24671800.0,ns,156625
gen_payloads,Rng,CHACHA12,1,elements,25691900.0,ns,162890
gen_payloads,Rng,CHACHA12,1,elements,26787300.0,ns,169155
gen_payloads,Rng,CHACHA12,1,elements,27992400.0,ns,175420
gen_payloads,Rng,CHACHA12,1,elements,28744200.0,ns,181685
gen_payloads,Rng,CHACHA12,1,elements,29677000.0,ns,187950
gen_payloads,Rng,CHACHA12,1,elements,30539500.0,ns,194215
gen_payloads,Rng,CHACHA12,1,elements,31537000.0,ns,200480
gen_payloads,Rng,CHACHA12,1,elements,32539300.0,ns,206745
gen_payloads,Rng,CHACHA12,1,elements,33687000.0,ns,213010
gen_payloads,Rng,CHACHA12,1,elements,34451200.0,ns,219275
gen_payloads,Rng,CHACHA12,1,elements,35683900.0,ns,225540
gen_payloads,Rng,CHACHA12,1,elements,37083200.0,ns,231805
gen_payloads,Rng,CHACHA12,1,elements,37493000.0,ns,238070
gen_payloads,Rng,CHACHA12,1,elements,38445200.0,ns,244335
gen_payloads,Rng,CHACHA12,1,elements,39473100.0,ns,250600
gen_payloads,Rng,CHACHA12,1,elements,40478600.0,ns,256865
gen_payloads,Rng,CHACHA12,1,elements,41534200.0,ns,263130
gen_payloads,Rng,CHACHA12,1,elements,42526900.0,ns,269395
gen_payloads,Rng,CHACHA12,1,elements,43439400.0,ns,275660
gen_payloads,Rng,CHACHA12,1,elements,44390900.0,ns,281925
gen_payloads,Rng,CHACHA12,1,elements,45350500.0,ns,288190
gen_payloads,Rng,CHACHA12,1,elements,46335800.0,ns,294455
gen_payloads,Rng,CHACHA12,1,elements,47687300.0,ns,300720
gen_payloads,Rng,CHACHA12,1,elements,48301400.0,ns,306985
gen_payloads,Rng,CHACHA12,1,elements,49578700.0,ns,313250
gen_payloads,Rng,CHACHA12,1,elements,50429800.0,ns,319515
gen_payloads,Rng,CHACHA12,1,elements,51360200.0,ns,325780
gen_payloads,Rng,CHACHA12,1,elements,52322100.0,ns,332045
gen_payloads,Rng,CHACHA12,1,elements,53297800.0,ns,338310
gen_payloads,Rng,CHACHA12,1,elements,54166600.0,ns,344575
gen_payloads,Rng,CHACHA12,1,elements,55179500.0,ns,350840
gen_payloads,Rng,CHACHA12,1,elements,56280100.0,ns,357105
gen_payloads,Rng,CHACHA12,1,elements,57320500.0,ns,363370
gen_payloads,Rng,CHACHA12,1,elements,58153300.0,ns,369635
gen_payloads,Rng,CHACHA12,1,elements,59246200.0,ns,375900
