group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,CHACHA12,1,elements,1002500.0,ns,6256
gen_payloads,Rng,CHACHA12,1,elements,2000000.0,ns,12512
gen_payloads,Rng,CHACHA12,1,elements,3000200.0,ns,18768
gen_payloads,Rng,CHACHA12,1,elements,3995200.0,ns,25024
gen_payloads,Rng,CHACHA12,1,elements,4974100.0,ns,31280
gen_payloads,Rng,CHACHA12,1,elements,5968600.0,ns,37536
gen_payloads,Rng,CHACHA12,1,elements,6965600.0,ns,43792
gen_payloads,Rng,CHACHA12,1,elements,8005500.0,ns,50048
gen_payloads,Rng,CHACHA12,1,elements,8968000.0,ns,56304
gen_payloads,Rng,CHACHA12,1,elements,9950100.0,ns,62560
gen_payloads,Rng,CHACHA12,1,elements,10944700.0,ns,68816
gen_payloads,Rng,CHACHA12,1,elements,11947200.0,ns,75072
gen_payloads,Rng,CHACHA12,1,elements,12932700.0,ns,81328
gen_payloads,Rng,CHACHA12,1,elements,13954000.0,ns,87584
gen_payloads,Rng,CHACHA12,1,elements,14941600.0,ns,93840
gen_payloads,Rng,CHACHA12,1,elements,15930400.0,ns,100096
gen_payloads,Rng,CHACHA12,1,elements,16914400.0,ns,106352
gen_payloads,Rng,CHACHA12,1,elements,17912300.0,ns,112608
gen_payloads,Rng,CHACHA12,1,elements,18908000.0,ns,118864
gen_payloads,Rng,CHACHA12,1,elements,19897200.0,ns,125120
gen_payloads,Rng,CHACHA12,1,elements,20727500.0,ns,131376
gen_payloads,Rng,CHACHA12,1,elements,21472600.0,ns,137632
gen_payloads,Rng,CHACHA12,1,elements,22499700.0,ns,143888
gen_payloads,Rng,CHACHA12,1,elements,23409300.0,ns,150144
gen_payloads,Rng,CHACHA12,1,elements,24476700.0,ns,156400
gen_payloads,Rng,CHACHA12,1,elements,25385700.0,ns,162656
gen_payloads,Rng,CHACHA12,1,elements,26487400.0,ns,168912
gen_payloads,Rng,CHACHA12,1,elements,27518700.0,ns,175168
gen_payloads,Rng,CHACHA12,1,elements,28795300.0,ns,181424
gen_payloads,Rng,CHACHA12,1,elements,30367800.0,ns,187680
gen_payloads,Rng,CHACHA12,1,elements,30872800.0,ns,193936
gen_payloads,Rng,CHACHA12,1,elements,31617800.0,ns,200192
gen_payloads,Rng,CHACHA12,1,elements,32862600.0,ns,206448
gen_payloads,Rng,CHACHA12,1,elements,33835800.0,ns,212704
gen_payloads,Rng,CHACHA12,1,elements,34832400.0,ns,218960
gen_payloads,Rng,CHACHA12,1,elements,35840500.0,ns,225216
gen_payloads,Rng,CHACHA12,1,elements,36825400.0,ns,231472
gen_payloads,Rng,CHACHA12,1,elements,37839600.0,ns,237728
gen_payloads,Rng,CHACHA12,1,elements,38820300.0,ns,243984
gen_payloads,Rng,CHACHA12,1,elements,39786900.0,ns,250240
gen_payloads,Rng,CHACHA12,1,elements,40201700.0,ns,256496
gen_payloads,Rng,CHACHA12,1,elements,41386600.0,ns,262752
gen_payloads,Rng,CHACHA12,1,elements,42433200.0,ns,269008
gen_payloads,Rng,CHACHA12,1,elements,43496300.0,ns,275264
gen_payloads,Rng,CHACHA12,1,elements,44624300.0,ns,281520
gen_payloads,Rng,CHACHA12,1,elements,45888900.0,ns,287776
gen_payloads,Rng,CHACHA12,1,elements,46809100.0,ns,294032
gen_payloads,Rng,CHACHA12,1,elements,47797500.0,ns,300288
gen_payloads,Rng,CHACHA12,1,elements,48786600.0,ns,306544
gen_payloads,Rng,CHACHA12,1,elements,49778100.0,ns,312800
gen_payloads,Rng,CHACHA12,1,elements,50747800.0,ns,319056
gen_payloads,Rng,CHACHA12,1,elements,51749500.0,ns,325312
gen_payloads,Rng,CHACHA12,1,elements,52596900.0,ns,331568
gen_payloads,Rng,CHACHA12,1,elements,52988400.0,ns,337824
gen_payloads,Rng,CHACHA12,1,elements,54098200.0,ns,344080
gen_payloads,Rng,CHACHA12,1,elements,54836400.0,ns,350336
gen_payloads,Rng,CHACHA12,1,elements,56317500.0,ns,356592
gen_payloads,Rng,CHACHA12,1,elements,57652400.0,ns,362848
gen_payloads,Rng,CHACHA12,1,elements,58936400.0,ns,369104
gen_payloads,Rng,CHACHA12,1,elements,59708000.0,ns,375360
gen_payloads,Rng,CHACHA12,1,elements,60705600.0,ns,381616
gen_payloads,Rng,CHACHA12,1,elements,61233200.0,ns,387872
gen_payloads,Rng,CHACHA12,1,elements,61548700.0,ns,394128
gen_payloads,Rng,CHACHA12,1,elements,63159500.0,ns,400384
gen_payloads,Rng,CHACHA12,1,elements,64090900.0,ns,406640
gen_payloads,Rng,CHACHA12,1,elements,65448000.0,ns,412896
gen_payloads,Rng,CHACHA12,1,elements,66757800.0,ns,419152
gen_payloads,Rng,CHACHA12,1,elements,67493700.0,ns,425408
gen_payloads,Rng,CHACHA12,1,elements,67482500.0,ns,431664
gen_payloads,Rng,CHACHA12,1,elements,68465800.0,ns,437920
gen_payloads,Rng,CHACHA12,1,elements,69338300.0,ns,444176
gen_payloads,Rng,CHACHA12,1,elements,70592300.0,ns,450432
gen_payloads,Rng,CHACHA12,1,elements,71540600.0,ns,456688
