group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,CORE,1,elements,995800.0,ns,5026
gen_payloads,Rng,CORE,1,elements,1952200.0,ns,10052
gen_payloads,Rng,CORE,1,elements,2986400.0,ns,15078
gen_payloads,Rng,CORE,1,elements,3904600.0,ns,20104
gen_payloads,Rng,CORE,1,elements,4919500.0,ns,25130
gen_payloads,Rng,CORE,1,elements,5884900.0,ns,30156
gen_payloads,Rng,CORE,1,elements,6921400.0,ns,35182
gen_payloads,Rng,CORE,1,elements,7809000.0,ns,40208
gen_payloads,Rng,CORE,1,elements,8853200.0,ns,45234
gen_payloads,Rng,CORE,1,elements,9791600.0,ns,50260
gen_payloads,Rng,CORE,1,elements,10737800.0,ns,55286
gen_payloads,Rng,CORE,1,elements,11852800.0,ns,60312
gen_payloads,Rng,CORE,1,elements,12881900.0,ns,65338
gen_payloads,Rng,CORE,1,elements,13770100.0,ns,70364
gen_payloads,Rng,CORE,1,elements,14702100.0,ns,75390
gen_payloads,Rng,CORE,1,elements,15685800.0,ns,80416
gen_payloads,Rng,CORE,1,elements,16813700.0,ns,85442
gen_payloads,Rng,CORE,1,elements,17605600.0,ns,90468
gen_payloads,Rng,CORE,1,elements,18616800.0,ns,95494
gen_payloads,Rng,CORE,1,elements,19786400.0,ns,100520
gen_payloads,Rng,CORE,1,elements,20643500.0,ns,105546
gen_payloads,Rng,CORE,1,elements,21531400.0,ns,110572
gen_payloads,Rng,CORE,1,elements,22641400.0,ns,115598
gen_payloads,Rng,CORE,1,elements,23557200.0,ns,120624
gen_payloads,Rng,CORE,1,elements,24519400.0,ns,125650
gen_payloads,Rng,CORE,1,elements,25535500.0,ns,130676
gen_payloads,Rng,CORE,1,elements,26512900.0,ns,135702
gen_payloads,Rng,CORE,1,elements,27591700.0,ns,140728
gen_payloads,Rng,CORE,1,elements,28441100.0,ns,145754
gen_payloads,Rng,CORE,1,elements,29404600.0,ns,150780
gen_payloads,Rng,CORE,1,elements,30388600.0,ns,155806
gen_payloads,Rng,CORE,1,elements,31420200.0,ns,160832
gen_payloads,Rng,CORE,1,elements,32433500.0,ns,165858
gen_payloads,Rng,CORE,1,elements,33298000.0,ns,170884
gen_payloads,Rng,CORE,1,elements,34301100.0,ns,175910
gen_payloads,Rng,CORE,1,elements,35398900.0,ns,180936
gen_payloads,Rng,CORE,1,elements,36265600.0,ns,185962
gen_payloads,Rng,CORE,1,elements,37345600.0,ns,190988
gen_payloads,Rng,CORE,1,elements,38254900.0,ns,196014
gen_payloads,Rng,CORE,1,elements,39250900.0,ns,201040
gen_payloads,Rng,CORE,1,elements,40237200.0,ns,206066
gen_payloads,Rng,CORE,1,elements,41123400.0,ns,211092
gen_payloads,Rng,CORE,1,elements,42282900.0,ns,216118
gen_payloads,Rng,CORE,1,elements,43265500.0,ns,221144
gen_payloads,Rng,CORE,1,elements,44113700.0,ns,226170
gen_payloads,Rng,CORE,1,elements,45126400.0,ns,231196
gen_payloads,Rng,CORE,1,elements,46146500.0,ns,236222
gen_payloads,Rng,CORE,1,elements,47110300.0,ns,241248
gen_payloads,Rng,CORE,1,elements,47989700.0,ns,246274
gen_payloads,Rng,CORE,1,elements,49254300.0,ns,251300
gen_payloads,Rng,CORE,1,elements,50153000.0,ns,256326
gen_payloads,Rng,CORE,1,elements,51141000.0,ns,261352
gen_payloads,Rng,CORE,1,elements,52051400.0,ns,266378
gen_payloads,Rng,CORE,1,elements,53074100.0,ns,271404
gen_payloads,Rng,CORE,1,elements,53848700.0,ns,276430
gen_payloads,Rng,CORE,1,elements,54838800.0,ns,281456
gen_payloads,Rng,CORE,1,elements,56004300.0,ns,286482
gen_payloads,Rng,CORE,1,elements,56978500.0,ns,291508
gen_payloads,Rng,CORE,1,elements,57937400.0,ns,296534
gen_payloads,Rng,CORE,1,elements,59206800.0,ns,301560
gen_payloads,Rng,CORE,1,elements,59790600.0,ns,306586
gen_payloads,Rng,CORE,1,elements,61259000.0,ns,311612
gen_payloads,Rng,CORE,1,elements,61771600.0,ns,316638
gen_payloads,Rng,CORE,1,elements,62720200.0,ns,321664
gen_payloads,Rng,CORE,1,elements,63852700.0,ns,326690
gen_payloads,Rng,CORE,1,elements,64858000.0,ns,331716
gen_payloads,Rng,CORE,1,elements,65844700.0,ns,336742
gen_payloads,Rng,CORE,1,elements,66688300.0,ns,341768
gen_payloads,Rng,CORE,1,elements,67566900.0,ns,346794
gen_payloads,Rng,CORE,1,elements,68779100.0,ns,351820
gen_payloads,Rng,CORE,1,elements,69661300.0,ns,356846
gen_payloads,Rng,CORE,1,elements,70737800.0,ns,361872
gen_payloads,Rng,CORE,1,elements,71597700.0,ns,366898
gen_payloads,Rng,CORE,1,elements,72576100.0,ns,371924
gen_payloads,Rng,CORE,1,elements,73484800.0,ns,376950
gen_payloads,Rng,CORE,1,elements,74620900.0,ns,381976
gen_payloads,Rng,CORE,1,elements,75671000.0,ns,387002
gen_payloads,Rng,CORE,1,elements,76552700.0,ns,392028
gen_payloads,Rng,CORE,1,elements,78151100.0,ns,397054
gen_payloads,Rng,CORE,1,elements,79040500.0,ns,402080
