group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,CORE,1,elements,991200.0,ns,5042
gen_payloads,Rng,CORE,1,elements,1999800.0,ns,10084
gen_payloads,Rng,CORE,1,elements,2942500.0,ns,15126
gen_payloads,Rng,CORE,1,elements,3987600.0,ns,20168
gen_payloads,Rng,CORE,1,elements,5213500.0,ns,25210
gen_payloads,Rng,CORE,1,elements,5967700.0,ns,30252
gen_payloads,Rng,CORE,1,elements,6889900.0,ns,35294
gen_payloads,Rng,CORE,1,elements,7923500.0,ns,40336
gen_payloads,Rng,CORE,1,elements,8830100.0,ns,45378
gen_payloads,Rng,CORE,1,elements,9872800.0,ns,50420
gen_payloads,Rng,CORE,1,elements,10868500.0,ns,55462
gen_payloads,Rng,CORE,1,elements,11837500.0,ns,60504
gen_payloads,Rng,CORE,1,elements,12837900.0,ns,65546
gen_payloads,Rng,CORE,1,elements,13970700.0,ns,70588
gen_payloads,Rng,CORE,1,elements,15023300.0,ns,75630
gen_payloads,Rng,CORE,1,elements,16029200.0,ns,80672
gen_payloads,Rng,CORE,1,elements,17028500.0,ns,85714
gen_payloads,Rng,CORE,1,elements,18034100.0,ns,90756
gen_payloads,Rng,CORE,1,elements,19035000.0,ns,95798
gen_payloads,Rng,CORE,1,elements,19786200.0,ns,100840
gen_payloads,Rng,CORE,1,elements,20728000.0,ns,105882
gen_payloads,Rng,CORE,1,elements,21639900.0,ns,110924
gen_payloads,Rng,CORE,1,elements,22659000.0,ns,115966
gen_payloads,Rng,CORE,1,elements,23611100.0,ns,121008
gen_payloads,Rng,CORE,1,elements,24619700.0,ns,126050
gen_payloads,Rng,CORE,1,elements,25656600.0,ns,131092
gen_payloads,Rng,CORE,1,elements,26841400.0,ns,136134
gen_payloads,Rng,CORE,1,elements,27647200.0,ns,141176
gen_payloads,Rng,CORE,1,elements,28599100.0,ns,146218
gen_payloads,Rng,CORE,1,elements,29556400.0,ns,151260
gen_payloads,Rng,CORE,1,elements,30636200.0,ns,156302
gen_payloads,Rng,CORE,1,elements,31519700.0,ns,161344
gen_payloads,Rng,CORE,1,elements,32485300.0,ns,166386
gen_payloads,Rng,CORE,1,elements,33559800.0,ns,171428
gen_payloads,Rng,CORE,1,elements,34397300.0,ns,176470
gen_payloads,Rng,CORE,1,elements,35529400.0,ns,181512
gen_payloads,Rng,CORE,1,elements,36564900.0,ns,186554
gen_payloads,Rng,CORE,1,elements,37421400.0,ns,191596
gen_payloads,Rng,CORE,1,elements,38456800.0,ns,196638
gen_payloads,Rng,CORE,1,elements,39455600.0,ns,201680
gen_payloads,Rng,CORE,1,elements,40488100.0,ns,206722
gen_payloads,Rng,CORE,1,elements,41371200.0,ns,211764
gen_payloads,Rng,CORE,1,elements,42527800.0,ns,216806
gen_payloads,Rng,CORE,1,elements,43284900.0,ns,221848
gen_payloads,Rng,CORE,1,elements,44762400.0,ns,226890
gen_payloads,Rng,CORE,1,elements,45505200.0,ns,231932
gen_payloads,Rng,CORE,1,elements,46381800.0,ns,236974
gen_payloads,Rng,CORE,1,elements,47293900.0,ns,242016
gen_payloads,Rng,CORE,1,elements,48255000.0,ns,247058
gen_payloads,Rng,CORE,1,elements,49167300.0,ns,252100
gen_payloads,Rng,CORE,1,elements,51241400.0,ns,257142
gen_payloads,Rng,CORE,1,elements,51656200.0,ns,262184
gen_payloads,Rng,CORE,1,elements,52339400.0,ns,267226
gen_payloads,Rng,CORE,1,elements,53130100.0,ns,272268
gen_payloads,Rng,CORE,1,elements,54114300.0,ns,277310
gen_payloads,Rng,CORE,1,elements,55217700.0,ns,282352
gen_payloads,Rng,CORE,1,elements,56398500.0,ns,287394
gen_payloads,Rng,CORE,1,elements,57277300.0,ns,292436
