group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,HC128,1,elements,976000.0,ns,279
gen_payloads,Rng,HC128,1,elements,1973900.0,ns,558
gen_payloads,Rng,HC128,1,elements,3029500.0,ns,837
gen_payloads,Rng,HC128,1,elements,3880900.0,ns,1116
gen_payloads,Rng,HC128,1,elements,4837800.0,ns,1395
gen_payloads,Rng,HC128,1,elements,5842800.0,ns,1674
gen_payloads,Rng,HC128,1,elements,6801100.0,ns,1953
gen_payloads,Rng,HC128,1,elements,7820000.0,ns,2232
gen_payloads,Rng,HC128,1,elements,8744400.0,ns,2511
gen_payloads,Rng,HC128,1,elements,9766200.0,ns,2790
gen_payloads,Rng,HC128,1,elements,10702800.0,ns,3069
gen_payloads,Rng,HC128,1,elements,11673500.0,ns,3348
gen_payloads,Rng,HC128,1,elements,12625600.0,ns,3627
gen_payloads,Rng,HC128,1,elements,13609000.0,ns,3906
gen_payloads,Rng,HC128,1,elements,14572500.0,ns,4185
gen_payloads,Rng,HC128,1,elements,15517800.0,ns,4464
gen_payloads,Rng,HC128,1,elements,16567700.0,ns,4743
gen_payloads,Rng,HC128,1,elements,17549000.0,ns,5022
gen_payloads,Rng,HC128,1,elements,18471400.0,ns,5301
gen_payloads,Rng,HC128,1,elements,19604700.0,ns,5580
gen_payloads,Rng,HC128,1,elements,20297100.0,ns,5859
gen_payloads,Rng,HC128,1,elements,21430500.0,ns,6138
gen_payloads,Rng,HC128,1,elements,22498700.0,ns,6417
gen_payloads,Rng,HC128,1,elements,23300000.0,ns,6696
gen_payloads,Rng,HC128,1,elements,24296700.0,ns,6975
gen_payloads,Rng,HC128,1,elements,25227700.0,ns,7254
gen_payloads,Rng,HC128,1,elements,26197700.0,ns,7533
gen_payloads,Rng,HC128,1,elements,27119800.0,ns,7812
gen_payloads,Rng,HC128,1,elements,28320600.0,ns,8091
gen_payloads,Rng,HC128,1,elements,29343200.0,ns,8370
gen_payloads,Rng,HC128,1,elements,30127800.0,ns,8649
gen_payloads,Rng,HC128,1,elements,31109800.0,ns,8928
gen_payloads,Rng,HC128,1,elements,32241300.0,ns,9207
gen_payloads,Rng,HC128,1,elements,33124100.0,ns,9486
gen_payloads,Rng,HC128,1,elements,34083700.0,ns,9765
gen_payloads,Rng,HC128,1,elements,35044200.0,ns,10044
gen_payloads,Rng,HC128,1,elements,35935300.0,ns,10323
gen_payloads,Rng,HC128,1,elements,36907300.0,ns,10602
gen_payloads,Rng,HC128,1,elements,37991900.0,ns,10881
gen_payloads,Rng,HC128,1,elements,38922600.0,ns,11160
gen_payloads,Rng,HC128,1,elements,40092700.0,ns,11439
gen_payloads,Rng,HC128,1,elements,40765700.0,ns,11718
gen_payloads,Rng,HC128,1,elements,41877800.0,ns,11997
gen_payloads,Rng,HC128,1,elements,43474600.0,ns,12276
