group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,HYPERTHREAD,1,elements,1003600.0,ns,5582
gen_payloads,Rng,HYPERTHREAD,1,elements,2009300.0,ns,11164
gen_payloads,Rng,HYPERTHREAD,1,elements,3006300.0,ns,16746
gen_payloads,Rng,HYPERTHREAD,1,elements,4005000.0,ns,22328
gen_payloads,Rng,HYPERTHREAD,1,elements,4990700.0,ns,27910
gen_payloads,Rng,HYPERTHREAD,1,elements,5999700.0,ns,33492
gen_payloads,Rng,HYPERTHREAD,1,elements,6997100.0,ns,39074
gen_payloads,Rng,HYPERTHREAD,1,elements,7990300.0,ns,44656
gen_payloads,Rng,HYPERTHREAD,1,elements,9004200.0,ns,50238
gen_payloads,Rng,HYPERTHREAD,1,elements,10234300.0,ns,55820
gen_payloads,Rng,HYPERTHREAD,1,elements,11483600.0,ns,61402
gen_payloads,Rng,HYPERTHREAD,1,elements,12362700.0,ns,66984
gen_payloads,Rng,HYPERTHREAD,1,elements,14072300.0,ns,72566
gen_payloads,Rng,HYPERTHREAD,1,elements,14196600.0,ns,78148
gen_payloads,Rng,HYPERTHREAD,1,elements,15036100.0,ns,83730
gen_payloads,Rng,HYPERTHREAD,1,elements,16452400.0,ns,89312
gen_payloads,Rng,HYPERTHREAD,1,elements,17042600.0,ns,94894
gen_payloads,Rng,HYPERTHREAD,1,elements,18729700.0,ns,100476
gen_payloads,Rng,HYPERTHREAD,1,elements,18995500.0,ns,106058
gen_payloads,Rng,HYPERTHREAD,1,elements,20002700.0,ns,111640
gen_payloads,Rng,HYPERTHREAD,1,elements,20982500.0,ns,117222
gen_payloads,Rng,HYPERTHREAD,1,elements,22033900.0,ns,122804
gen_payloads,Rng,HYPERTHREAD,1,elements,23085300.0,ns,128386
gen_payloads,Rng,HYPERTHREAD,1,elements,24001000.0,ns,133968
gen_payloads,Rng,HYPERTHREAD,1,elements,25018500.0,ns,139550
gen_payloads,Rng,HYPERTHREAD,1,elements,26043800.0,ns,145132
gen_payloads,Rng,HYPERTHREAD,1,elements,26985500.0,ns,150714
gen_payloads,Rng,HYPERTHREAD,1,elements,27967300.0,ns,156296
gen_payloads,Rng,HYPERTHREAD,1,elements,28970700.0,ns,161878
gen_payloads,Rng,HYPERTHREAD,1,elements,29962700.0,ns,167460
gen_payloads,Rng,HYPERTHREAD,1,elements,30969400.0,ns,173042
gen_payloads,Rng,HYPERTHREAD,1,elements,31962300.0,ns,178624
