group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,HYPERTHREAD,1,elements,975400.0,ns,5775
gen_payloads,Rng,HYPERTHREAD,1,elements,1938200.0,ns,11550
gen_payloads,Rng,HYPERTHREAD,1,elements,2936000.0,ns,17325
gen_payloads,Rng,HYPERTHREAD,1,elements,3906200.0,ns,23100
gen_payloads,Rng,HYPERTHREAD,1,elements,4878300.0,ns,28875
gen_payloads,Rng,HYPERTHREAD,1,elements,5841900.0,ns,34650
gen_payloads,Rng,HYPERTHREAD,1,elements,6810200.0,ns,40425
gen_payloads,Rng,HYPERTHREAD,1,elements,7822900.0,ns,46200
gen_payloads,Rng,HYPERTHREAD,1,elements,8813800.0,ns,51975
gen_payloads,Rng,HYPERTHREAD,1,elements,9839400.0,ns,57750
gen_payloads,Rng,HYPERTHREAD,1,elements,10655700.0,ns,63525
gen_payloads,Rng,HYPERTHREAD,1,elements,11722500.0,ns,69300
gen_payloads,Rng,HYPERTHREAD,1,elements,12650600.0,ns,75075
gen_payloads,Rng,HYPERTHREAD,1,elements,13572400.0,ns,80850
gen_payloads,Rng,HYPERTHREAD,1,elements,14716300.0,ns,86625
gen_payloads,Rng,HYPERTHREAD,1,elements,15534000.0,ns,92400
gen_payloads,Rng,HYPERTHREAD,1,elements,16568900.0,ns,98175
gen_payloads,Rng,HYPERTHREAD,1,elements,17448000.0,ns,103950
gen_payloads,Rng,HYPERTHREAD,1,elements,18586200.0,ns,109725
gen_payloads,Rng,HYPERTHREAD,1,elements,19379500.0,ns,115500
gen_payloads,Rng,HYPERTHREAD,1,elements,20404700.0,ns,121275
gen_payloads,Rng,HYPERTHREAD,1,elements,21312900.0,ns,127050
gen_payloads,Rng,HYPERTHREAD,1,elements,22344200.0,ns,132825
gen_payloads,Rng,HYPERTHREAD,1,elements,23284400.0,ns,138600
gen_payloads,Rng,HYPERTHREAD,1,elements,24398900.0,ns,144375
gen_payloads,Rng,HYPERTHREAD,1,elements,25240300.0,ns,150150
gen_payloads,Rng,HYPERTHREAD,1,elements,26313700.0,ns,155925
gen_payloads,Rng,HYPERTHREAD,1,elements,27188200.0,ns,161700
gen_payloads,Rng,HYPERTHREAD,1,elements,28201500.0,ns,167475
gen_payloads,Rng,HYPERTHREAD,1,elements,29061700.0,ns,173250
gen_payloads,Rng,HYPERTHREAD,1,elements,30198000.0,ns,179025
gen_payloads,Rng,HYPERTHREAD,1,elements,31029700.0,ns,184800
gen_payloads,Rng,HYPERTHREAD,1,elements,32087500.0,ns,190575
gen_payloads,Rng,HYPERTHREAD,1,elements,33165400.0,ns,196350
gen_payloads,Rng,HYPERTHREAD,1,elements,34067300.0,ns,202125
gen_payloads,Rng,HYPERTHREAD,1,elements,35005500.0,ns,207900
gen_payloads,Rng,HYPERTHREAD,1,elements,36028600.0,ns,213675
gen_payloads,Rng,HYPERTHREAD,1,elements,37660100.0,ns,219450
gen_payloads,Rng,HYPERTHREAD,1,elements,37881300.0,ns,225225
gen_payloads,Rng,HYPERTHREAD,1,elements,38911400.0,ns,231000
gen_payloads,Rng,HYPERTHREAD,1,elements,39836900.0,ns,236775
gen_payloads,Rng,HYPERTHREAD,1,elements,40807400.0,ns,242550
gen_payloads,Rng,HYPERTHREAD,1,elements,41830600.0,ns,248325
gen_payloads,Rng,HYPERTHREAD,1,elements,42714000.0,ns,254100
gen_payloads,Rng,HYPERTHREAD,1,elements,43663800.0,ns,259875
gen_payloads,Rng,HYPERTHREAD,1,elements,44652100.0,ns,265650
gen_payloads,Rng,HYPERTHREAD,1,elements,45773100.0,ns,271425
gen_payloads,Rng,HYPERTHREAD,1,elements,46989400.0,ns,277200
gen_payloads,Rng,HYPERTHREAD,1,elements,47605900.0,ns,282975
gen_payloads,Rng,HYPERTHREAD,1,elements,48594700.0,ns,288750
gen_payloads,Rng,HYPERTHREAD,1,elements,49567400.0,ns,294525
gen_payloads,Rng,HYPERTHREAD,1,elements,50462100.0,ns,300300
gen_payloads,Rng,HYPERTHREAD,1,elements,51579800.0,ns,306075
gen_payloads,Rng,HYPERTHREAD,1,elements,52505400.0,ns,311850
gen_payloads,Rng,HYPERTHREAD,1,elements,55352200.0,ns,317625
gen_payloads,Rng,HYPERTHREAD,1,elements,54981400.0,ns,323400
gen_payloads,Rng,HYPERTHREAD,1,elements,56394800.0,ns,329175
gen_payloads,Rng,HYPERTHREAD,1,elements,56564900.0,ns,334950
gen_payloads,Rng,HYPERTHREAD,1,elements,57823200.0,ns,340725
gen_payloads,Rng,HYPERTHREAD,1,elements,58262300.0,ns,346500
gen_payloads,Rng,HYPERTHREAD,1,elements,59428400.0,ns,352275
gen_payloads,Rng,HYPERTHREAD,1,elements,60186900.0,ns,358050
gen_payloads,Rng,HYPERTHREAD,1,elements,61423100.0,ns,363825
gen_payloads,Rng,HYPERTHREAD,1,elements,62189800.0,ns,369600
gen_payloads,Rng,HYPERTHREAD,1,elements,63393800.0,ns,375375
gen_payloads,Rng,HYPERTHREAD,1,elements,64309800.0,ns,381150
gen_payloads,Rng,HYPERTHREAD,1,elements,65075500.0,ns,386925
gen_payloads,Rng,HYPERTHREAD,1,elements,66055700.0,ns,392700
gen_payloads,Rng,HYPERTHREAD,1,elements,67108600.0,ns,398475
gen_payloads,Rng,HYPERTHREAD,1,elements,68178300.0,ns,404250
gen_payloads,Rng,HYPERTHREAD,1,elements,68941700.0,ns,410025
gen_payloads,Rng,HYPERTHREAD,1,elements,69897300.0,ns,415800
gen_payloads,Rng,HYPERTHREAD,1,elements,70972700.0,ns,421575
gen_payloads,Rng,HYPERTHREAD,1,elements,71928400.0,ns,427350
gen_payloads,Rng,HYPERTHREAD,1,elements,73806500.0,ns,433125
gen_payloads,Rng,HYPERTHREAD,1,elements,73906700.0,ns,438900
gen_payloads,Rng,HYPERTHREAD,1,elements,74864100.0,ns,444675
gen_payloads,Rng,HYPERTHREAD,1,elements,75749800.0,ns,450450
gen_payloads,Rng,HYPERTHREAD,1,elements,76988900.0,ns,456225
gen_payloads,Rng,HYPERTHREAD,1,elements,78333800.0,ns,462000
gen_payloads,Rng,HYPERTHREAD,1,elements,78731400.0,ns,467775
gen_payloads,Rng,HYPERTHREAD,1,elements,79741600.0,ns,473550
gen_payloads,Rng,HYPERTHREAD,1,elements,80829600.0,ns,479325
gen_payloads,Rng,HYPERTHREAD,1,elements,81552900.0,ns,485100
gen_payloads,Rng,HYPERTHREAD,1,elements,82599000.0,ns,490875
gen_payloads,Rng,HYPERTHREAD,1,elements,83608200.0,ns,496650
gen_payloads,Rng,HYPERTHREAD,1,elements,85353700.0,ns,502425
gen_payloads,Rng,HYPERTHREAD,1,elements,85523500.0,ns,508200
gen_payloads,Rng,HYPERTHREAD,1,elements,86460600.0,ns,513975
gen_payloads,Rng,HYPERTHREAD,1,elements,87343600.0,ns,519750
gen_payloads,Rng,HYPERTHREAD,1,elements,88446300.0,ns,525525
gen_payloads,Rng,HYPERTHREAD,1,elements,89841700.0,ns,531300
gen_payloads,Rng,HYPERTHREAD,1,elements,90301300.0,ns,537075
gen_payloads,Rng,HYPERTHREAD,1,elements,91484800.0,ns,542850
gen_payloads,Rng,HYPERTHREAD,1,elements,92274000.0,ns,548625
gen_payloads,Rng,HYPERTHREAD,1,elements,93342600.0,ns,554400
gen_payloads,Rng,HYPERTHREAD,1,elements,94484300.0,ns,560175
gen_payloads,Rng,HYPERTHREAD,1,elements,96569400.0,ns,565950
gen_payloads,Rng,HYPERTHREAD,1,elements,98234600.0,ns,571725
gen_payloads,Rng,HYPERTHREAD,1,elements,97530300.0,ns,577500
