group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,PCG64FAST,1,elements,1019400.0,ns,16399
gen_payloads,Rng,PCG64FAST,1,elements,1949800.0,ns,32798
gen_payloads,Rng,PCG64FAST,1,elements,2925600.0,ns,49197
gen_payloads,Rng,PCG64FAST,1,elements,3898900.0,ns,65596
gen_payloads,Rng,PCG64FAST,1,elements,4938600.0,ns,81995
gen_payloads,Rng,PCG64FAST,1,elements,5880000.0,ns,98394
gen_payloads,Rng,PCG64FAST,1,elements,6914000.0,ns,114793
gen_payloads,Rng,PCG64FAST,1,elements,7807300.0,ns,131192
gen_payloads,Rng,PCG64FAST,1,elements,8865300.0,ns,147591
gen_payloads,Rng,PCG64FAST,1,elements,9776800.0,ns,163990
gen_payloads,Rng,PCG64FAST,1,elements,10883600.0,ns,180389
gen_payloads,Rng,PCG64FAST,1,elements,11834000.0,ns,196788
gen_payloads,Rng,PCG64FAST,1,elements,12731100.0,ns,213187
gen_payloads,Rng,PCG64FAST,1,elements,13709800.0,ns,229586
gen_payloads,Rng,PCG64FAST,1,elements,14774800.0,ns,245985
gen_payloads,Rng,PCG64FAST,1,elements,15739700.0,ns,262384
gen_payloads,Rng,PCG64FAST,1,elements,16638400.0,ns,278783
gen_payloads,Rng,PCG64FAST,1,elements,17641800.0,ns,295182
gen_payloads,Rng,PCG64FAST,1,elements,18534500.0,ns,311581
gen_payloads,Rng,PCG64FAST,1,elements,19572100.0,ns,327980
gen_payloads,Rng,PCG64FAST,1,elements,20566400.0,ns,344379
gen_payloads,Rng,PCG64FAST,1,elements,21442500.0,ns,360778
gen_payloads,Rng,PCG64FAST,1,elements,22515700.0,ns,377177
gen_payloads,Rng,PCG64FAST,1,elements,23425200.0,ns,393576
gen_payloads,Rng,PCG64FAST,1,elements,24656900.0,ns,409975
gen_payloads,Rng,PCG64FAST,1,elements,25546300.0,ns,426374
gen_payloads,Rng,PCG64FAST,1,elements,26600700.0,ns,442773
gen_payloads,Rng,PCG64FAST,1,elements,27983800.0,ns,459172
gen_payloads,Rng,PCG64FAST,1,elements,28891100.0,ns,475571
gen_payloads,Rng,PCG64FAST,1,elements,29750000.0,ns,491970
gen_payloads,Rng,PCG64FAST,1,elements,30886500.0,ns,508369
gen_payloads,Rng,PCG64FAST,1,elements,31891000.0,ns,524768
gen_payloads,Rng,PCG64FAST,1,elements,32876000.0,ns,541167
gen_payloads,Rng,PCG64FAST,1,elements,33868900.0,ns,557566
gen_payloads,Rng,PCG64FAST,1,elements,34875200.0,ns,573965
gen_payloads,Rng,PCG64FAST,1,elements,35898800.0,ns,590364
gen_payloads,Rng,PCG64FAST,1,elements,36881700.0,ns,606763
gen_payloads,Rng,PCG64FAST,1,elements,37856400.0,ns,623162
gen_payloads,Rng,PCG64FAST,1,elements,38845700.0,ns,639561
gen_payloads,Rng,PCG64FAST,1,elements,39886500.0,ns,655960
gen_payloads,Rng,PCG64FAST,1,elements,40803000.0,ns,672359
gen_payloads,Rng,PCG64FAST,1,elements,40997800.0,ns,688758
gen_payloads,Rng,PCG64FAST,1,elements,42714900.0,ns,705157
gen_payloads,Rng,PCG64FAST,1,elements,43439900.0,ns,721556
gen_payloads,Rng,PCG64FAST,1,elements,44475500.0,ns,737955
gen_payloads,Rng,PCG64FAST,1,elements,45388500.0,ns,754354
gen_payloads,Rng,PCG64FAST,1,elements,46844600.0,ns,770753
gen_payloads,Rng,PCG64FAST,1,elements,47828100.0,ns,787152
gen_payloads,Rng,PCG64FAST,1,elements,48850300.0,ns,803551
gen_payloads,Rng,PCG64FAST,1,elements,49629500.0,ns,819950
gen_payloads,Rng,PCG64FAST,1,elements,49816400.0,ns,836349
gen_payloads,Rng,PCG64FAST,1,elements,50786800.0,ns,852748
gen_payloads,Rng,PCG64FAST,1,elements,51842800.0,ns,869147
gen_payloads,Rng,PCG64FAST,1,elements,52926800.0,ns,885546
gen_payloads,Rng,PCG64FAST,1,elements,54191100.0,ns,901945
gen_payloads,Rng,PCG64FAST,1,elements,55517400.0,ns,918344
gen_payloads,Rng,PCG64FAST,1,elements,56799700.0,ns,934743
gen_payloads,Rng,PCG64FAST,1,elements,57810500.0,ns,951142
gen_payloads,Rng,PCG64FAST,1,elements,58774000.0,ns,967541
gen_payloads,Rng,PCG64FAST,1,elements,59855600.0,ns,983940
gen_payloads,Rng,PCG64FAST,1,elements,60753700.0,ns,1000339
gen_payloads,Rng,PCG64FAST,1,elements,61793400.0,ns,1016738
gen_payloads,Rng,PCG64FAST,1,elements,62741300.0,ns,1033137
gen_payloads,Rng,PCG64FAST,1,elements,63753600.0,ns,1049536
gen_payloads,Rng,PCG64FAST,1,elements,63599500.0,ns,1065935
gen_payloads,Rng,PCG64FAST,1,elements,65490900.0,ns,1082334
gen_payloads,Rng,PCG64FAST,1,elements,65994100.0,ns,1098733
gen_payloads,Rng,PCG64FAST,1,elements,67074600.0,ns,1115132
gen_payloads,Rng,PCG64FAST,1,elements,67999900.0,ns,1131531
gen_payloads,Rng,PCG64FAST,1,elements,69126300.0,ns,1147930
gen_payloads,Rng,PCG64FAST,1,elements,70031000.0,ns,1164329
gen_payloads,Rng,PCG64FAST,1,elements,71351900.0,ns,1180728
gen_payloads,Rng,PCG64FAST,1,elements,72735200.0,ns,1197127
gen_payloads,Rng,PCG64FAST,1,elements,73701500.0,ns,1213526
gen_payloads,Rng,PCG64FAST,1,elements,73525900.0,ns,1229925
gen_payloads,Rng,PCG64FAST,1,elements,74258900.0,ns,1246324
gen_payloads,Rng,PCG64FAST,1,elements,75353500.0,ns,1262723
gen_payloads,Rng,PCG64FAST,1,elements,76208500.0,ns,1279122
gen_payloads,Rng,PCG64FAST,1,elements,77399300.0,ns,1295521
gen_payloads,Rng,PCG64FAST,1,elements,78734200.0,ns,1311920
gen_payloads,Rng,PCG64FAST,1,elements,79287400.0,ns,1328319
gen_payloads,Rng,PCG64FAST,1,elements,80152000.0,ns,1344718
gen_payloads,Rng,PCG64FAST,1,elements,81330700.0,ns,1361117
gen_payloads,Rng,PCG64FAST,1,elements,82166900.0,ns,1377516
gen_payloads,Rng,PCG64FAST,1,elements,83207800.0,ns,1393915
gen_payloads,Rng,PCG64FAST,1,elements,85362900.0,ns,1410314
gen_payloads,Rng,PCG64FAST,1,elements,85227100.0,ns,1426713
gen_payloads,Rng,PCG64FAST,1,elements,86243900.0,ns,1443112
gen_payloads,Rng,PCG64FAST,1,elements,87104900.0,ns,1459511
gen_payloads,Rng,PCG64FAST,1,elements,88098600.0,ns,1475910
gen_payloads,Rng,PCG64FAST,1,elements,89020100.0,ns,1492309
gen_payloads,Rng,PCG64FAST,1,elements,90047300.0,ns,1508708
gen_payloads,Rng,PCG64FAST,1,elements,91031400.0,ns,1525107
gen_payloads,Rng,PCG64FAST,1,elements,92056900.0,ns,1541506
gen_payloads,Rng,PCG64FAST,1,elements,93012800.0,ns,1557905
gen_payloads,Rng,PCG64FAST,1,elements,93942600.0,ns,1574304
gen_payloads,Rng,PCG64FAST,1,elements,95013100.0,ns,1590703
gen_payloads,Rng,PCG64FAST,1,elements,96900900.0,ns,1607102
gen_payloads,Rng,PCG64FAST,1,elements,97847900.0,ns,1623501
gen_payloads,Rng,PCG64FAST,1,elements,99164000.0,ns,1639900
