group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,SFMT,1,elements,988300.0,ns,858
gen_payloads,Rng,SFMT,1,elements,1996200.0,ns,1716
gen_payloads,Rng,SFMT,1,elements,3066500.0,ns,2574
gen_payloads,Rng,SFMT,1,elements,4051400.0,ns,3432
gen_payloads,Rng,SFMT,1,elements,5013600.0,ns,4290
gen_payloads,Rng,SFMT,1,elements,6046000.0,ns,5148
gen_payloads,Rng,SFMT,1,elements,7041000.0,ns,6006
gen_payloads,Rng,SFMT,1,elements,7884200.0,ns,6864
gen_payloads,Rng,SFMT,1,elements,8958400.0,ns,7722
gen_payloads,Rng,SFMT,1,elements,10081600.0,ns,8580
gen_payloads,Rng,SFMT,1,elements,11059800.0,ns,9438
gen_payloads,Rng,SFMT,1,elements,11911800.0,ns,10296
gen_payloads,Rng,SFMT,1,elements,12859500.0,ns,11154
gen_payloads,Rng,SFMT,1,elements,13915600.0,ns,12012
gen_payloads,Rng,SFMT,1,elements,15049700.0,ns,12870
gen_payloads,Rng,SFMT,1,elements,16052100.0,ns,13728
gen_payloads,Rng,SFMT,1,elements,17045400.0,ns,14586
gen_payloads,Rng,SFMT,1,elements,18055200.0,ns,15444
gen_payloads,Rng,SFMT,1,elements,19053600.0,ns,16302
gen_payloads,Rng,SFMT,1,elements,19856500.0,ns,17160
gen_payloads,Rng,SFMT,1,elements,20682700.0,ns,18018
gen_payloads,Rng,SFMT,1,elements,21752000.0,ns,18876
gen_payloads,Rng,SFMT,1,elements,22742800.0,ns,19734
gen_payloads,Rng,SFMT,1,elements,23600200.0,ns,20592
gen_payloads,Rng,SFMT,1,elements,24712400.0,ns,21450
gen_payloads,Rng,SFMT,1,elements,25706900.0,ns,22308
gen_payloads,Rng,SFMT,1,elements,26730900.0,ns,23166
gen_payloads,Rng,SFMT,1,elements,27856700.0,ns,24024
gen_payloads,Rng,SFMT,1,elements,28699800.0,ns,24882
gen_payloads,Rng,SFMT,1,elements,29632100.0,ns,25740
gen_payloads,Rng,SFMT,1,elements,30552800.0,ns,26598
gen_payloads,Rng,SFMT,1,elements,31632100.0,ns,27456
gen_payloads,Rng,SFMT,1,elements,32473000.0,ns,28314
gen_payloads,Rng,SFMT,1,elements,33459500.0,ns,29172
gen_payloads,Rng,SFMT,1,elements,34525900.0,ns,30030
gen_payloads,Rng,SFMT,1,elements,35440000.0,ns,30888
gen_payloads,Rng,SFMT,1,elements,36587700.0,ns,31746
gen_payloads,Rng,SFMT,1,elements,37402600.0,ns,32604
gen_payloads,Rng,SFMT,1,elements,38390100.0,ns,33462
gen_payloads,Rng,SFMT,1,elements,39672900.0,ns,34320
gen_payloads,Rng,SFMT,1,elements,40385800.0,ns,35178
gen_payloads,Rng,SFMT,1,elements,41542400.0,ns,36036
gen_payloads,Rng,SFMT,1,elements,42411400.0,ns,36894
gen_payloads,Rng,SFMT,1,elements,43379800.0,ns,37752
gen_payloads,Rng,SFMT,1,elements,44641300.0,ns,38610
gen_payloads,Rng,SFMT,1,elements,45422200.0,ns,39468
gen_payloads,Rng,SFMT,1,elements,46318000.0,ns,40326
gen_payloads,Rng,SFMT,1,elements,47381200.0,ns,41184
gen_payloads,Rng,SFMT,1,elements,48495800.0,ns,42042
gen_payloads,Rng,SFMT,1,elements,49397800.0,ns,42900
gen_payloads,Rng,SFMT,1,elements,50373700.0,ns,43758
gen_payloads,Rng,SFMT,1,elements,51430900.0,ns,44616
gen_payloads,Rng,SFMT,1,elements,52576000.0,ns,45474
gen_payloads,Rng,SFMT,1,elements,53250600.0,ns,46332
gen_payloads,Rng,SFMT,1,elements,54303400.0,ns,47190
gen_payloads,Rng,SFMT,1,elements,55165300.0,ns,48048
gen_payloads,Rng,SFMT,1,elements,56584700.0,ns,48906
gen_payloads,Rng,SFMT,1,elements,57334600.0,ns,49764
gen_payloads,Rng,SFMT,1,elements,58310200.0,ns,50622
gen_payloads,Rng,SFMT,1,elements,59339100.0,ns,51480
gen_payloads,Rng,SFMT,1,elements,60255900.0,ns,52338
gen_payloads,Rng,SFMT,1,elements,61307700.0,ns,53196
gen_payloads,Rng,SFMT,1,elements,62156700.0,ns,54054
gen_payloads,Rng,SFMT,1,elements,63455500.0,ns,54912
gen_payloads,Rng,SFMT,1,elements,64399400.0,ns,55770
gen_payloads,Rng,SFMT,1,elements,65501600.0,ns,56628
gen_payloads,Rng,SFMT,1,elements,67095000.0,ns,57486
gen_payloads,Rng,SFMT,1,elements,68228400.0,ns,58344
gen_payloads,Rng,SFMT,1,elements,69208200.0,ns,59202
gen_payloads,Rng,SFMT,1,elements,69696900.0,ns,60060
gen_payloads,Rng,SFMT,1,elements,71340200.0,ns,60918
gen_payloads,Rng,SFMT,1,elements,72180600.0,ns,61776
gen_payloads,Rng,SFMT,1,elements,72010000.0,ns,62634
gen_payloads,Rng,SFMT,1,elements,73109500.0,ns,63492
gen_payloads,Rng,SFMT,1,elements,74454300.0,ns,64350
gen_payloads,Rng,SFMT,1,elements,75105000.0,ns,65208
gen_payloads,Rng,SFMT,1,elements,76219800.0,ns,66066
gen_payloads,Rng,SFMT,1,elements,77117800.0,ns,66924
gen_payloads,Rng,SFMT,1,elements,78070100.0,ns,67782
gen_payloads,Rng,SFMT,1,elements,79163100.0,ns,68640
gen_payloads,Rng,SFMT,1,elements,79970800.0,ns,69498
gen_payloads,Rng,SFMT,1,elements,81023800.0,ns,70356
gen_payloads,Rng,SFMT,1,elements,82012000.0,ns,71214
gen_payloads,Rng,SFMT,1,elements,82814700.0,ns,72072
gen_payloads,Rng,SFMT,1,elements,83746800.0,ns,72930
gen_payloads,Rng,SFMT,1,elements,85014800.0,ns,73788
gen_payloads,Rng,SFMT,1,elements,85938600.0,ns,74646
gen_payloads,Rng,SFMT,1,elements,86908500.0,ns,75504
gen_payloads,Rng,SFMT,1,elements,87892200.0,ns,76362
gen_payloads,Rng,SFMT,1,elements,88844900.0,ns,77220
gen_payloads,Rng,SFMT,1,elements,89704100.0,ns,78078
gen_payloads,Rng,SFMT,1,elements,90682400.0,ns,78936
gen_payloads,Rng,SFMT,1,elements,91758800.0,ns,79794
gen_payloads,Rng,SFMT,1,elements,92715400.0,ns,80652
gen_payloads,Rng,SFMT,1,elements,93983000.0,ns,81510
gen_payloads,Rng,SFMT,1,elements,94960500.0,ns,82368
gen_payloads,Rng,SFMT,1,elements,95618200.0,ns,83226
gen_payloads,Rng,SFMT,1,elements,96701600.0,ns,84084
gen_payloads,Rng,SFMT,1,elements,97815000.0,ns,84942
gen_payloads,Rng,SFMT,1,elements,99092200.0,ns,85800
