group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,XORSHIFT,1,elements,991200.0,ns,16120
gen_payloads,Rng,XORSHIFT,1,elements,1964700.0,ns,32240
gen_payloads,Rng,XORSHIFT,1,elements,2965500.0,ns,48360
gen_payloads,Rng,XORSHIFT,1,elements,3925000.0,ns,64480
gen_payloads,Rng,XORSHIFT,1,elements,4870000.0,ns,80600
gen_payloads,Rng,XORSHIFT,1,elements,5875800.0,ns,96720
gen_payloads,Rng,XORSHIFT,1,elements,6917800.0,ns,112840
gen_payloads,Rng,XORSHIFT,1,elements,9564600.0,ns,128960
gen_payloads,Rng,XORSHIFT,1,elements,9110300.0,ns,145080
gen_payloads,Rng,XORSHIFT,1,elements,10094100.0,ns,161200
gen_payloads,Rng,XORSHIFT,1,elements,10888900.0,ns,177320
gen_payloads,Rng,XORSHIFT,1,elements,12070400.0,ns,193440
gen_payloads,Rng,XORSHIFT,1,elements,12951900.0,ns,209560
gen_payloads,Rng,XORSHIFT,1,elements,13932900.0,ns,225680
gen_payloads,Rng,XORSHIFT,1,elements,14927300.0,ns,241800
gen_payloads,Rng,XORSHIFT,1,elements,15928200.0,ns,257920
gen_payloads,Rng,XORSHIFT,1,elements,16908300.0,ns,274040
gen_payloads,Rng,XORSHIFT,1,elements,17919400.0,ns,290160
gen_payloads,Rng,XORSHIFT,1,elements,18919900.0,ns,306280
gen_payloads,Rng,XORSHIFT,1,elements,19897100.0,ns,322400
gen_payloads,Rng,XORSHIFT,1,elements,20904800.0,ns,338520
gen_payloads,Rng,XORSHIFT,1,elements,21902600.0,ns,354640
gen_payloads,Rng,XORSHIFT,1,elements,22755600.0,ns,370760
gen_payloads,Rng,XORSHIFT,1,elements,23433800.0,ns,386880
gen_payloads,Rng,XORSHIFT,1,elements,24576100.0,ns,403000
gen_payloads,Rng,XORSHIFT,1,elements,25336600.0,ns,419120
gen_payloads,Rng,XORSHIFT,1,elements,26451900.0,ns,435240
gen_payloads,Rng,XORSHIFT,1,elements,27530900.0,ns,451360
gen_payloads,Rng,XORSHIFT,1,elements,28710200.0,ns,467480
gen_payloads,Rng,XORSHIFT,1,elements,30021900.0,ns,483600
gen_payloads,Rng,XORSHIFT,1,elements,30764900.0,ns,499720
gen_payloads,Rng,XORSHIFT,1,elements,31858700.0,ns,515840
gen_payloads,Rng,XORSHIFT,1,elements,32825800.0,ns,531960
gen_payloads,Rng,XORSHIFT,1,elements,33829500.0,ns,548080
gen_payloads,Rng,XORSHIFT,1,elements,34821100.0,ns,564200
gen_payloads,Rng,XORSHIFT,1,elements,35807500.0,ns,580320
gen_payloads,Rng,XORSHIFT,1,elements,36316600.0,ns,596440
gen_payloads,Rng,XORSHIFT,1,elements,37150800.0,ns,612560
gen_payloads,Rng,XORSHIFT,1,elements,38134700.0,ns,628680
gen_payloads,Rng,XORSHIFT,1,elements,39079200.0,ns,644800
gen_payloads,Rng,XORSHIFT,1,elements,40065900.0,ns,660920
gen_payloads,Rng,XORSHIFT,1,elements,41223800.0,ns,677040
gen_payloads,Rng,XORSHIFT,1,elements,42166100.0,ns,693160
gen_payloads,Rng,XORSHIFT,1,elements,43178300.0,ns,709280
gen_payloads,Rng,XORSHIFT,1,elements,44159800.0,ns,725400
gen_payloads,Rng,XORSHIFT,1,elements,45519200.0,ns,741520
gen_payloads,Rng,XORSHIFT,1,elements,46771900.0,ns,757640
gen_payloads,Rng,XORSHIFT,1,elements,47754400.0,ns,773760
gen_payloads,Rng,XORSHIFT,1,elements,47899700.0,ns,789880
gen_payloads,Rng,XORSHIFT,1,elements,48867000.0,ns,806000
gen_payloads,Rng,XORSHIFT,1,elements,49888900.0,ns,822120
gen_payloads,Rng,XORSHIFT,1,elements,51010500.0,ns,838240
gen_payloads,Rng,XORSHIFT,1,elements,52721800.0,ns,854360
gen_payloads,Rng,XORSHIFT,1,elements,53426200.0,ns,870480
