group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,1150100.0,ns,12549
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,2021000.0,ns,25098
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,3029400.0,ns,37647
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,4068000.0,ns,50196
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,5048800.0,ns,62745
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,6228600.0,ns,75294
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,7066100.0,ns,87843
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,8202900.0,ns,100392
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,9123600.0,ns,112941
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,10199700.0,ns,125490
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,11262300.0,ns,138039
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,12256000.0,ns,150588
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,13412100.0,ns,163137
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,14439400.0,ns,175686
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,15478300.0,ns,188235
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,16502900.0,ns,200784
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,17536800.0,ns,213333
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,18537400.0,ns,225882
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,19340100.0,ns,238431
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,20243200.0,ns,250980
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,21291400.0,ns,263529
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,22336300.0,ns,276078
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,23350900.0,ns,288627
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,24383000.0,ns,301176
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,25408500.0,ns,313725
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,26280800.0,ns,326274
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,27418900.0,ns,338823
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,28486500.0,ns,351372
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,29624300.0,ns,363921
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,30563200.0,ns,376470
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,31501300.0,ns,389019
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,32539600.0,ns,401568
gen_payloads,Rng,XOSHIRO256PLUSPLUS,1,elements,33700900.0,ns,414117
