group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng: ,CHACHA12,1,elements,976300.0,ns,6267
gen_payloads,Rng: ,CHACHA12,1,elements,1946200.0,ns,12534
gen_payloads,Rng: ,CHACHA12,1,elements,2974200.0,ns,18801
gen_payloads,Rng: ,CHACHA12,1,elements,3909000.0,ns,25068
gen_payloads,Rng: ,CHACHA12,1,elements,4848500.0,ns,31335
gen_payloads,Rng: ,CHACHA12,1,elements,5884600.0,ns,37602
gen_payloads,Rng: ,CHACHA12,1,elements,6848800.0,ns,43869
gen_payloads,Rng: ,CHACHA12,1,elements,7769500.0,ns,50136
gen_payloads,Rng: ,CHACHA12,1,elements,8816100.0,ns,56403
gen_payloads,Rng: ,CHACHA12,1,elements,9761900.0,ns,62670
gen_payloads,Rng: ,CHACHA12,1,elements,10733600.0,ns,68937
gen_payloads,Rng: ,CHACHA12,1,elements,11757000.0,ns,75204
gen_payloads,Rng: ,CHACHA12,1,elements,12643100.0,ns,81471
gen_payloads,Rng: ,CHACHA12,1,elements,13754700.0,ns,87738
gen_payloads,Rng: ,CHACHA12,1,elements,14637600.0,ns,94005
gen_payloads,Rng: ,CHACHA12,1,elements,15619600.0,ns,100272
gen_payloads,Rng: ,CHACHA12,1,elements,16654300.0,ns,106539
gen_payloads,Rng: ,CHACHA12,1,elements,17579600.0,ns,112806
gen_payloads,Rng: ,CHACHA12,1,elements,18668400.0,ns,119073
gen_payloads,Rng: ,CHACHA12,1,elements,19555400.0,ns,125340
gen_payloads,Rng: ,CHACHA12,1,elements,20520100.0,ns,131607
gen_payloads,Rng: ,CHACHA12,1,elements,21568200.0,ns,137874
gen_payloads,Rng: ,CHACHA12,1,elements,23336600.0,ns,144141
gen_payloads,Rng: ,CHACHA12,1,elements,23655200.0,ns,150408
gen_payloads,Rng: ,CHACHA12,1,elements,24492700.0,ns,156675
gen_payloads,Rng: ,CHACHA12,1,elements,25462200.0,ns,162942
gen_payloads,Rng: ,CHACHA12,1,elements,26632700.0,ns,169209
gen_payloads,Rng: ,CHACHA12,1,elements,27738800.0,ns,175476
gen_payloads,Rng: ,CHACHA12,1,elements,28728800.0,ns,181743
gen_payloads,Rng: ,CHACHA12,1,elements,29687300.0,ns,188010
gen_payloads,Rng: ,CHACHA12,1,elements,30290500.0,ns,194277
gen_payloads,Rng: ,CHACHA12,1,elements,31281600.0,ns,200544
gen_payloads,Rng: ,CHACHA12,1,elements,32197300.0,ns,206811
gen_payloads,Rng: ,CHACHA12,1,elements,33303200.0,ns,213078
gen_payloads,Rng: ,CHACHA12,1,elements,34399700.0,ns,219345
gen_payloads,Rng: ,CHACHA12,1,elements,35198500.0,ns,225612
gen_payloads,Rng: ,CHACHA12,1,elements,36239400.0,ns,231879
gen_payloads,Rng: ,CHACHA12,1,elements,37164600.0,ns,238146
gen_payloads,Rng: ,CHACHA12,1,elements,38204600.0,ns,244413
gen_payloads,Rng: ,CHACHA12,1,elements,39123200.0,ns,250680
gen_payloads,Rng: ,CHACHA12,1,elements,40141000.0,ns,256947
gen_payloads,Rng: ,CHACHA12,1,elements,41026000.0,ns,263214
gen_payloads,Rng: ,CHACHA12,1,elements,41948600.0,ns,269481
gen_payloads,Rng: ,CHACHA12,1,elements,42996500.0,ns,275748
gen_payloads,Rng: ,CHACHA12,1,elements,43858900.0,ns,282015
gen_payloads,Rng: ,CHACHA12,1,elements,44892600.0,ns,288282
gen_payloads,Rng: ,CHACHA12,1,elements,45992900.0,ns,294549
gen_payloads,Rng: ,CHACHA12,1,elements,46830900.0,ns,300816
gen_payloads,Rng: ,CHACHA12,1,elements,48199700.0,ns,307083
gen_payloads,Rng: ,CHACHA12,1,elements,48977800.0,ns,313350
gen_payloads,Rng: ,CHACHA12,1,elements,50486600.0,ns,319617
gen_payloads,Rng: ,CHACHA12,1,elements,51516300.0,ns,325884
gen_payloads,Rng: ,CHACHA12,1,elements,51832300.0,ns,332151
gen_payloads,Rng: ,CHACHA12,1,elements,52705100.0,ns,338418
gen_payloads,Rng: ,CHACHA12,1,elements,53957300.0,ns,344685
gen_payloads,Rng: ,CHACHA12,1,elements,54626700.0,ns,350952
gen_payloads,Rng: ,CHACHA12,1,elements,55813100.0,ns,357219
gen_payloads,Rng: ,CHACHA12,1,elements,56610600.0,ns,363486
gen_payloads,Rng: ,CHACHA12,1,elements,57753900.0,ns,369753
gen_payloads,Rng: ,CHACHA12,1,elements,58928900.0,ns,376020
gen_payloads,Rng: ,CHACHA12,1,elements,59646400.0,ns,382287
gen_payloads,Rng: ,CHACHA12,1,elements,60653400.0,ns,388554
gen_payloads,Rng: ,CHACHA12,1,elements,61427200.0,ns,394821
gen_payloads,Rng: ,CHACHA12,1,elements,62536300.0,ns,401088
gen_payloads,Rng: ,CHACHA12,1,elements,63754700.0,ns,407355
gen_payloads,Rng: ,CHACHA12,1,elements,64685100.0,ns,413622
gen_payloads,Rng: ,CHACHA12,1,elements,66393800.0,ns,419889
gen_payloads,Rng: ,CHACHA12,1,elements,67391000.0,ns,426156
gen_payloads,Rng: ,CHACHA12,1,elements,68094000.0,ns,432423
gen_payloads,Rng: ,CHACHA12,1,elements,68629500.0,ns,438690
gen_payloads,Rng: ,CHACHA12,1,elements,69487700.0,ns,444957
gen_payloads,Rng: ,CHACHA12,1,elements,70349000.0,ns,451224
gen_payloads,Rng: ,CHACHA12,1,elements,71340000.0,ns,457491
gen_payloads,Rng: ,CHACHA12,1,elements,72697200.0,ns,463758
gen_payloads,Rng: ,CHACHA12,1,elements,73275000.0,ns,470025
gen_payloads,Rng: ,CHACHA12,1,elements,74550200.0,ns,476292
gen_payloads,Rng: ,CHACHA12,1,elements,75224500.0,ns,482559
gen_payloads,Rng: ,CHACHA12,1,elements,76247500.0,ns,488826
