group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng: ,CHACHA8,1,elements,1010200.0,ns,7059
gen_payloads,Rng: ,CHACHA8,1,elements,1965100.0,ns,14118
gen_payloads,Rng: ,CHACHA8,1,elements,2940200.0,ns,21177
gen_payloads,Rng: ,CHACHA8,1,elements,3897800.0,ns,28236
gen_payloads,Rng: ,CHACHA8,1,elements,4834300.0,ns,35295
gen_payloads,Rng: ,CHACHA8,1,elements,5858800.0,ns,42354
gen_payloads,Rng: ,CHACHA8,1,elements,6801600.0,ns,49413
gen_payloads,Rng: ,CHACHA8,1,elements,7765300.0,ns,56472
gen_payloads,Rng: ,CHACHA8,1,elements,8793800.0,ns,63531
gen_payloads,Rng: ,CHACHA8,1,elements,9827000.0,ns,70590
gen_payloads,Rng: ,CHACHA8,1,elements,10732900.0,ns,77649
gen_payloads,Rng: ,CHACHA8,1,elements,11688300.0,ns,84708
gen_payloads,Rng: ,CHACHA8,1,elements,12625000.0,ns,91767
gen_payloads,Rng: ,CHACHA8,1,elements,13783000.0,ns,98826
gen_payloads,Rng: ,CHACHA8,1,elements,14986600.0,ns,105885
gen_payloads,Rng: ,CHACHA8,1,elements,15537300.0,ns,112944
gen_payloads,Rng: ,CHACHA8,1,elements,16616600.0,ns,120003
gen_payloads,Rng: ,CHACHA8,1,elements,17565900.0,ns,127062
gen_payloads,Rng: ,CHACHA8,1,elements,19340700.0,ns,134121
gen_payloads,Rng: ,CHACHA8,1,elements,19800700.0,ns,141180
gen_payloads,Rng: ,CHACHA8,1,elements,20745100.0,ns,148239
gen_payloads,Rng: ,CHACHA8,1,elements,21730600.0,ns,155298
gen_payloads,Rng: ,CHACHA8,1,elements,23598300.0,ns,162357
gen_payloads,Rng: ,CHACHA8,1,elements,23463400.0,ns,169416
gen_payloads,Rng: ,CHACHA8,1,elements,24445500.0,ns,176475
gen_payloads,Rng: ,CHACHA8,1,elements,25688900.0,ns,183534
gen_payloads,Rng: ,CHACHA8,1,elements,26663400.0,ns,190593
gen_payloads,Rng: ,CHACHA8,1,elements,27607400.0,ns,197652
gen_payloads,Rng: ,CHACHA8,1,elements,28403200.0,ns,204711
gen_payloads,Rng: ,CHACHA8,1,elements,29159100.0,ns,211770
gen_payloads,Rng: ,CHACHA8,1,elements,30125000.0,ns,218829
gen_payloads,Rng: ,CHACHA8,1,elements,31301500.0,ns,225888
gen_payloads,Rng: ,CHACHA8,1,elements,32002600.0,ns,232947
gen_payloads,Rng: ,CHACHA8,1,elements,33096000.0,ns,240006
gen_payloads,Rng: ,CHACHA8,1,elements,34034700.0,ns,247065
gen_payloads,Rng: ,CHACHA8,1,elements,35210100.0,ns,254124
gen_payloads,Rng: ,CHACHA8,1,elements,35885600.0,ns,261183
gen_payloads,Rng: ,CHACHA8,1,elements,37160200.0,ns,268242
gen_payloads,Rng: ,CHACHA8,1,elements,37940200.0,ns,275301
gen_payloads,Rng: ,CHACHA8,1,elements,38950400.0,ns,282360
gen_payloads,Rng: ,CHACHA8,1,elements,40022800.0,ns,289419
gen_payloads,Rng: ,CHACHA8,1,elements,40836900.0,ns,296478
