group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng: ,HYPERTHREAD,1,elements,999700.0,ns,5862
gen_payloads,Rng: ,HYPERTHREAD,1,elements,1993100.0,ns,11724
gen_payloads,Rng: ,HYPERTHREAD,1,elements,2989500.0,ns,17586
gen_payloads,Rng: ,HYPERTHREAD,1,elements,3984900.0,ns,23448
gen_payloads,Rng: ,HYPERTHREAD,1,elements,4981300.0,ns,29310
gen_payloads,Rng: ,HYPERTHREAD,1,elements,5985700.0,ns,35172
gen_payloads,Rng: ,HYPERTHREAD,1,elements,6974700.0,ns,41034
gen_payloads,Rng: ,HYPERTHREAD,1,elements,7976000.0,ns,46896
gen_payloads,Rng: ,HYPERTHREAD,1,elements,8974500.0,ns,52758
gen_payloads,Rng: ,HYPERTHREAD,1,elements,10014200.0,ns,58620
gen_payloads,Rng: ,HYPERTHREAD,1,elements,10905600.0,ns,64482
gen_payloads,Rng: ,HYPERTHREAD,1,elements,11820100.0,ns,70344
gen_payloads,Rng: ,HYPERTHREAD,1,elements,12837000.0,ns,76206
gen_payloads,Rng: ,HYPERTHREAD,1,elements,13775000.0,ns,82068
gen_payloads,Rng: ,HYPERTHREAD,1,elements,14866600.0,ns,87930
gen_payloads,Rng: ,HYPERTHREAD,1,elements,15807100.0,ns,93792
gen_payloads,Rng: ,HYPERTHREAD,1,elements,16740500.0,ns,99654
gen_payloads,Rng: ,HYPERTHREAD,1,elements,17661000.0,ns,105516
gen_payloads,Rng: ,HYPERTHREAD,1,elements,18597900.0,ns,111378
gen_payloads,Rng: ,HYPERTHREAD,1,elements,19711200.0,ns,117240
gen_payloads,Rng: ,HYPERTHREAD,1,elements,20688700.0,ns,123102
gen_payloads,Rng: ,HYPERTHREAD,1,elements,21685100.0,ns,128964
gen_payloads,Rng: ,HYPERTHREAD,1,elements,22635100.0,ns,134826
gen_payloads,Rng: ,HYPERTHREAD,1,elements,23623200.0,ns,140688
gen_payloads,Rng: ,HYPERTHREAD,1,elements,24579600.0,ns,146550
gen_payloads,Rng: ,HYPERTHREAD,1,elements,25664100.0,ns,152412
gen_payloads,Rng: ,HYPERTHREAD,1,elements,26581400.0,ns,158274
gen_payloads,Rng: ,HYPERTHREAD,1,elements,27506700.0,ns,164136
gen_payloads,Rng: ,HYPERTHREAD,1,elements,29090100.0,ns,169998
gen_payloads,Rng: ,HYPERTHREAD,1,elements,29807000.0,ns,175860
gen_payloads,Rng: ,HYPERTHREAD,1,elements,30411100.0,ns,181722
gen_payloads,Rng: ,HYPERTHREAD,1,elements,31565400.0,ns,187584
gen_payloads,Rng: ,HYPERTHREAD,1,elements,32486800.0,ns,193446
gen_payloads,Rng: ,HYPERTHREAD,1,elements,33501100.0,ns,199308
gen_payloads,Rng: ,HYPERTHREAD,1,elements,34531200.0,ns,205170
gen_payloads,Rng: ,HYPERTHREAD,1,elements,35340500.0,ns,211032
gen_payloads,Rng: ,HYPERTHREAD,1,elements,36390900.0,ns,216894
gen_payloads,Rng: ,HYPERTHREAD,1,elements,37369800.0,ns,222756
gen_payloads,Rng: ,HYPERTHREAD,1,elements,38925100.0,ns,228618
gen_payloads,Rng: ,HYPERTHREAD,1,elements,39336000.0,ns,234480
gen_payloads,Rng: ,HYPERTHREAD,1,elements,40549300.0,ns,240342
gen_payloads,Rng: ,HYPERTHREAD,1,elements,41923600.0,ns,246204
gen_payloads,Rng: ,HYPERTHREAD,1,elements,42930200.0,ns,252066
gen_payloads,Rng: ,HYPERTHREAD,1,elements,43560600.0,ns,257928
gen_payloads,Rng: ,HYPERTHREAD,1,elements,44351500.0,ns,263790
gen_payloads,Rng: ,HYPERTHREAD,1,elements,45388600.0,ns,269652
gen_payloads,Rng: ,HYPERTHREAD,1,elements,46215200.0,ns,275514
gen_payloads,Rng: ,HYPERTHREAD,1,elements,47216400.0,ns,281376
gen_payloads,Rng: ,HYPERTHREAD,1,elements,48131400.0,ns,287238
gen_payloads,Rng: ,HYPERTHREAD,1,elements,49334600.0,ns,293100
gen_payloads,Rng: ,HYPERTHREAD,1,elements,50115700.0,ns,298962
gen_payloads,Rng: ,HYPERTHREAD,1,elements,51081100.0,ns,304824
gen_payloads,Rng: ,HYPERTHREAD,1,elements,52057100.0,ns,310686
gen_payloads,Rng: ,HYPERTHREAD,1,elements,54019900.0,ns,316548
gen_payloads,Rng: ,HYPERTHREAD,1,elements,54119700.0,ns,322410
gen_payloads,Rng: ,HYPERTHREAD,1,elements,55108500.0,ns,328272
gen_payloads,Rng: ,HYPERTHREAD,1,elements,56103700.0,ns,334134
gen_payloads,Rng: ,HYPERTHREAD,1,elements,57211400.0,ns,339996
gen_payloads,Rng: ,HYPERTHREAD,1,elements,58169600.0,ns,345858
gen_payloads,Rng: ,HYPERTHREAD,1,elements,59085000.0,ns,351720
gen_payloads,Rng: ,HYPERTHREAD,1,elements,60189800.0,ns,357582
gen_payloads,Rng: ,HYPERTHREAD,1,elements,60974100.0,ns,363444
gen_payloads,Rng: ,HYPERTHREAD,1,elements,62053100.0,ns,369306
gen_payloads,Rng: ,HYPERTHREAD,1,elements,62940600.0,ns,375168
gen_payloads,Rng: ,HYPERTHREAD,1,elements,63872700.0,ns,381030
gen_payloads,Rng: ,HYPERTHREAD,1,elements,64752900.0,ns,386892
gen_payloads,Rng: ,HYPERTHREAD,1,elements,66017800.0,ns,392754
gen_payloads,Rng: ,HYPERTHREAD,1,elements,66845200.0,ns,398616
gen_payloads,Rng: ,HYPERTHREAD,1,elements,67786800.0,ns,404478
gen_payloads,Rng: ,HYPERTHREAD,1,elements,69582100.0,ns,410340
gen_payloads,Rng: ,HYPERTHREAD,1,elements,69808100.0,ns,416202
gen_payloads,Rng: ,HYPERTHREAD,1,elements,70990600.0,ns,422064
gen_payloads,Rng: ,HYPERTHREAD,1,elements,71777100.0,ns,427926
gen_payloads,Rng: ,HYPERTHREAD,1,elements,72786500.0,ns,433788
gen_payloads,Rng: ,HYPERTHREAD,1,elements,74374000.0,ns,439650
gen_payloads,Rng: ,HYPERTHREAD,1,elements,75408500.0,ns,445512
gen_payloads,Rng: ,HYPERTHREAD,1,elements,76685700.0,ns,451374
gen_payloads,Rng: ,HYPERTHREAD,1,elements,76784800.0,ns,457236
gen_payloads,Rng: ,HYPERTHREAD,1,elements,77665000.0,ns,463098
gen_payloads,Rng: ,HYPERTHREAD,1,elements,78642800.0,ns,468960
gen_payloads,Rng: ,HYPERTHREAD,1,elements,79746900.0,ns,474822
gen_payloads,Rng: ,HYPERTHREAD,1,elements,80815800.0,ns,480684
gen_payloads,Rng: ,HYPERTHREAD,1,elements,82224500.0,ns,486546
gen_payloads,Rng: ,HYPERTHREAD,1,elements,82861800.0,ns,492408
gen_payloads,Rng: ,HYPERTHREAD,1,elements,83361800.0,ns,498270
gen_payloads,Rng: ,HYPERTHREAD,1,elements,84562400.0,ns,504132
gen_payloads,Rng: ,HYPERTHREAD,1,elements,85980900.0,ns,509994
gen_payloads,Rng: ,HYPERTHREAD,1,elements,86831500.0,ns,515856
gen_payloads,Rng: ,HYPERTHREAD,1,elements,90608300.0,ns,521718
gen_payloads,Rng: ,HYPERTHREAD,1,elements,89904000.0,ns,527580
gen_payloads,Rng: ,HYPERTHREAD,1,elements,89788400.0,ns,533442
gen_payloads,Rng: ,HYPERTHREAD,1,elements,90660200.0,ns,539304
gen_payloads,Rng: ,HYPERTHREAD,1,elements,92070500.0,ns,545166
gen_payloads,Rng: ,HYPERTHREAD,1,elements,93395700.0,ns,551028
gen_payloads,Rng: ,HYPERTHREAD,1,elements,94777800.0,ns,556890
gen_payloads,Rng: ,HYPERTHREAD,1,elements,94500600.0,ns,562752
gen_payloads,Rng: ,HYPERTHREAD,1,elements,95414100.0,ns,568614
gen_payloads,Rng: ,HYPERTHREAD,1,elements,96648100.0,ns,574476
gen_payloads,Rng: ,HYPERTHREAD,1,elements,98296600.0,ns,580338
gen_payloads,Rng: ,HYPERTHREAD,1,elements,99381300.0,ns,586200
