group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,Rng: ,WYRNG,1,elements,1130900.0,ns,6481
gen_payloads,Rng: ,WYRNG,1,elements,2572200.0,ns,12962
gen_payloads,Rng: ,WYRNG,1,elements,3038100.0,ns,19443
gen_payloads,Rng: ,WYRNG,1,elements,4048100.0,ns,25924
gen_payloads,Rng: ,WYRNG,1,elements,5054900.0,ns,32405
gen_payloads,Rng: ,WYRNG,1,elements,6064800.0,ns,38886
gen_payloads,Rng: ,WYRNG,1,elements,7080700.0,ns,45367
gen_payloads,Rng: ,WYRNG,1,elements,8091100.0,ns,51848
gen_payloads,Rng: ,WYRNG,1,elements,9100000.0,ns,58329
gen_payloads,Rng: ,WYRNG,1,elements,10107700.0,ns,64810
gen_payloads,Rng: ,WYRNG,1,elements,11116200.0,ns,71291
gen_payloads,Rng: ,WYRNG,1,elements,12138800.0,ns,77772
gen_payloads,Rng: ,WYRNG,1,elements,13151500.0,ns,84253
gen_payloads,Rng: ,WYRNG,1,elements,14160100.0,ns,90734
gen_payloads,Rng: ,WYRNG,1,elements,15166700.0,ns,97215
gen_payloads,Rng: ,WYRNG,1,elements,16181500.0,ns,103696
gen_payloads,Rng: ,WYRNG,1,elements,17183900.0,ns,110177
gen_payloads,Rng: ,WYRNG,1,elements,18064100.0,ns,116658
gen_payloads,Rng: ,WYRNG,1,elements,18930100.0,ns,123139
gen_payloads,Rng: ,WYRNG,1,elements,20052400.0,ns,129620
gen_payloads,Rng: ,WYRNG,1,elements,20905000.0,ns,136101
gen_payloads,Rng: ,WYRNG,1,elements,21811200.0,ns,142582
gen_payloads,Rng: ,WYRNG,1,elements,22886600.0,ns,149063
gen_payloads,Rng: ,WYRNG,1,elements,23966300.0,ns,155544
gen_payloads,Rng: ,WYRNG,1,elements,24959900.0,ns,162025
gen_payloads,Rng: ,WYRNG,1,elements,25999600.0,ns,168506
gen_payloads,Rng: ,WYRNG,1,elements,26948000.0,ns,174987
gen_payloads,Rng: ,WYRNG,1,elements,27881400.0,ns,181468
gen_payloads,Rng: ,WYRNG,1,elements,28943000.0,ns,187949
gen_payloads,Rng: ,WYRNG,1,elements,29786600.0,ns,194430
gen_payloads,Rng: ,WYRNG,1,elements,30843100.0,ns,200911
gen_payloads,Rng: ,WYRNG,1,elements,31916400.0,ns,207392
gen_payloads,Rng: ,WYRNG,1,elements,32909500.0,ns,213873
gen_payloads,Rng: ,WYRNG,1,elements,34081300.0,ns,220354
gen_payloads,Rng: ,WYRNG,1,elements,35981200.0,ns,226835
gen_payloads,Rng: ,WYRNG,1,elements,36389100.0,ns,233316
gen_payloads,Rng: ,WYRNG,1,elements,37717800.0,ns,239797
gen_payloads,Rng: ,WYRNG,1,elements,38904000.0,ns,246278
gen_payloads,Rng: ,WYRNG,1,elements,39593600.0,ns,252759
gen_payloads,Rng: ,WYRNG,1,elements,40183600.0,ns,259240
gen_payloads,Rng: ,WYRNG,1,elements,41392900.0,ns,265721
gen_payloads,Rng: ,WYRNG,1,elements,42339600.0,ns,272202
gen_payloads,Rng: ,WYRNG,1,elements,43291200.0,ns,278683
gen_payloads,Rng: ,WYRNG,1,elements,44455200.0,ns,285164
gen_payloads,Rng: ,WYRNG,1,elements,45400100.0,ns,291645
gen_payloads,Rng: ,WYRNG,1,elements,46341300.0,ns,298126
gen_payloads,Rng: ,WYRNG,1,elements,47435700.0,ns,304607
gen_payloads,Rng: ,WYRNG,1,elements,48210300.0,ns,311088
gen_payloads,Rng: ,WYRNG,1,elements,49444100.0,ns,317569
gen_payloads,Rng: ,WYRNG,1,elements,50348900.0,ns,324050
gen_payloads,Rng: ,WYRNG,1,elements,51256800.0,ns,330531
gen_payloads,Rng: ,WYRNG,1,elements,52178100.0,ns,337012
gen_payloads,Rng: ,WYRNG,1,elements,53252700.0,ns,343493
gen_payloads,Rng: ,WYRNG,1,elements,54236300.0,ns,349974
gen_payloads,Rng: ,WYRNG,1,elements,55579400.0,ns,356455
gen_payloads,Rng: ,WYRNG,1,elements,56439600.0,ns,362936
gen_payloads,Rng: ,WYRNG,1,elements,57947800.0,ns,369417
gen_payloads,Rng: ,WYRNG,1,elements,58223500.0,ns,375898
gen_payloads,Rng: ,WYRNG,1,elements,59292200.0,ns,382379
gen_payloads,Rng: ,WYRNG,1,elements,60223600.0,ns,388860
gen_payloads,Rng: ,WYRNG,1,elements,61647500.0,ns,395341
gen_payloads,Rng: ,WYRNG,1,elements,62737500.0,ns,401822
gen_payloads,Rng: ,WYRNG,1,elements,64517600.0,ns,408303
gen_payloads,Rng: ,WYRNG,1,elements,65136200.0,ns,414784
gen_payloads,Rng: ,WYRNG,1,elements,65561900.0,ns,421265
gen_payloads,Rng: ,WYRNG,1,elements,66604600.0,ns,427746
gen_payloads,Rng: ,WYRNG,1,elements,67261100.0,ns,434227
gen_payloads,Rng: ,WYRNG,1,elements,68456000.0,ns,440708
gen_payloads,Rng: ,WYRNG,1,elements,69218900.0,ns,447189
gen_payloads,Rng: ,WYRNG,1,elements,70578400.0,ns,453670
gen_payloads,Rng: ,WYRNG,1,elements,71640100.0,ns,460151
gen_payloads,Rng: ,WYRNG,1,elements,73024800.0,ns,466632
gen_payloads,Rng: ,WYRNG,1,elements,73428400.0,ns,473113
gen_payloads,Rng: ,WYRNG,1,elements,74430300.0,ns,479594
gen_payloads,Rng: ,WYRNG,1,elements,75256700.0,ns,486075
gen_payloads,Rng: ,WYRNG,1,elements,77588900.0,ns,492556
gen_payloads,Rng: ,WYRNG,1,elements,78645600.0,ns,499037
gen_payloads,Rng: ,WYRNG,1,elements,79117900.0,ns,505518
gen_payloads,Rng: ,WYRNG,1,elements,79258500.0,ns,511999
gen_payloads,Rng: ,WYRNG,1,elements,80830400.0,ns,518480
gen_payloads,Rng: ,WYRNG,1,elements,81468300.0,ns,524961
gen_payloads,Rng: ,WYRNG,1,elements,82460300.0,ns,531442
gen_payloads,Rng: ,WYRNG,1,elements,83549200.0,ns,537923
gen_payloads,Rng: ,WYRNG,1,elements,84534000.0,ns,544404
gen_payloads,Rng: ,WYRNG,1,elements,85865700.0,ns,550885
gen_payloads,Rng: ,WYRNG,1,elements,86525500.0,ns,557366
gen_payloads,Rng: ,WYRNG,1,elements,87712400.0,ns,563847
gen_payloads,Rng: ,WYRNG,1,elements,88879900.0,ns,570328
gen_payloads,Rng: ,WYRNG,1,elements,92413300.0,ns,576809
gen_payloads,Rng: ,WYRNG,1,elements,91927000.0,ns,583290
gen_payloads,Rng: ,WYRNG,1,elements,91957100.0,ns,589771
gen_payloads,Rng: ,WYRNG,1,elements,91353500.0,ns,596252
gen_payloads,Rng: ,WYRNG,1,elements,92691900.0,ns,602733
gen_payloads,Rng: ,WYRNG,1,elements,93409100.0,ns,609214
gen_payloads,Rng: ,WYRNG,1,elements,94462900.0,ns,615695
gen_payloads,Rng: ,WYRNG,1,elements,96137800.0,ns,622176
gen_payloads,Rng: ,WYRNG,1,elements,96528100.0,ns,628657
gen_payloads,Rng: ,WYRNG,1,elements,97876800.0,ns,635138
gen_payloads,Rng: ,WYRNG,1,elements,98651600.0,ns,641619
gen_payloads,Rng: ,WYRNG,1,elements,99839800.0,ns,648100
