group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen_payloads,wyrng,,1,elements,982600.0,ns,5150
gen_payloads,wyrng,,1,elements,1968700.0,ns,10300
gen_payloads,wyrng,,1,elements,2962600.0,ns,15450
gen_payloads,wyrng,,1,elements,3963800.0,ns,20600
gen_payloads,wyrng,,1,elements,4935200.0,ns,25750
gen_payloads,wyrng,,1,elements,5940300.0,ns,30900
gen_payloads,wyrng,,1,elements,6938000.0,ns,36050
gen_payloads,wyrng,,1,elements,8211500.0,ns,41200
gen_payloads,wyrng,,1,elements,8860700.0,ns,46350
gen_payloads,wyrng,,1,elements,9874100.0,ns,51500
gen_payloads,wyrng,,1,elements,10868100.0,ns,56650
gen_payloads,wyrng,,1,elements,11804600.0,ns,61800
gen_payloads,wyrng,,1,elements,12970900.0,ns,66950
gen_payloads,wyrng,,1,elements,13775300.0,ns,72100
gen_payloads,wyrng,,1,elements,14810000.0,ns,77250
gen_payloads,wyrng,,1,elements,15824200.0,ns,82400
gen_payloads,wyrng,,1,elements,16766400.0,ns,87550
gen_payloads,wyrng,,1,elements,17733400.0,ns,92700
gen_payloads,wyrng,,1,elements,18704600.0,ns,97850
gen_payloads,wyrng,,1,elements,19811700.0,ns,103000
gen_payloads,wyrng,,1,elements,20664100.0,ns,108150
gen_payloads,wyrng,,1,elements,21698700.0,ns,113300
gen_payloads,wyrng,,1,elements,22645500.0,ns,118450
gen_payloads,wyrng,,1,elements,23693200.0,ns,123600
gen_payloads,wyrng,,1,elements,24646800.0,ns,128750
gen_payloads,wyrng,,1,elements,25806600.0,ns,133900
gen_payloads,wyrng,,1,elements,26605600.0,ns,139050
gen_payloads,wyrng,,1,elements,27740600.0,ns,144200
gen_payloads,wyrng,,1,elements,28564000.0,ns,149350
gen_payloads,wyrng,,1,elements,29581600.0,ns,154500
gen_payloads,wyrng,,1,elements,30517700.0,ns,159650
gen_payloads,wyrng,,1,elements,31661100.0,ns,164800
gen_payloads,wyrng,,1,elements,32488200.0,ns,169950
gen_payloads,wyrng,,1,elements,33692700.0,ns,175100
gen_payloads,wyrng,,1,elements,34602200.0,ns,180250
gen_payloads,wyrng,,1,elements,35449300.0,ns,185400
gen_payloads,wyrng,,1,elements,36438400.0,ns,190550
gen_payloads,wyrng,,1,elements,37432100.0,ns,195700
gen_payloads,wyrng,,1,elements,38497300.0,ns,200850
gen_payloads,wyrng,,1,elements,39416400.0,ns,206000
gen_payloads,wyrng,,1,elements,40602800.0,ns,211150
