group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
new,New ksuid,,1,elements,967300.0,ns,4184
new,New ksuid,,1,elements,1980700.0,ns,8368
new,New ksuid,,1,elements,2929700.0,ns,12552
new,New ksuid,,1,elements,3934200.0,ns,16736
new,New ksuid,,1,elements,4904800.0,ns,20920
new,New ksuid,,1,elements,5839600.0,ns,25104
new,New ksuid,,1,elements,6892200.0,ns,29288
new,New ksuid,,1,elements,7893700.0,ns,33472
new,New ksuid,,1,elements,8814800.0,ns,37656
new,New ksuid,,1,elements,10214800.0,ns,41840
new,New ksuid,,1,elements,10954900.0,ns,46024
new,New ksuid,,1,elements,12091800.0,ns,50208
new,New ksuid,,1,elements,12970400.0,ns,54392
new,New ksuid,,1,elements,13961700.0,ns,58576
new,New ksuid,,1,elements,14933200.0,ns,62760
new,New ksuid,,1,elements,15936300.0,ns,66944
new,New ksuid,,1,elements,16949600.0,ns,71128
new,New ksuid,,1,elements,17927400.0,ns,75312
new,New ksuid,,1,elements,18791300.0,ns,79496
new,New ksuid,,1,elements,19766700.0,ns,83680
new,New ksuid,,1,elements,20516400.0,ns,87864
new,New ksuid,,1,elements,21502100.0,ns,92048
new,New ksuid,,1,elements,22514600.0,ns,96232
new,New ksuid,,1,elements,23443100.0,ns,100416
new,New ksuid,,1,elements,24489600.0,ns,104600
new,New ksuid,,1,elements,25653900.0,ns,108784
new,New ksuid,,1,elements,26380800.0,ns,112968
new,New ksuid,,1,elements,27465900.0,ns,117152
new,New ksuid,,1,elements,28379800.0,ns,121336
new,New ksuid,,1,elements,29461000.0,ns,125520
new,New ksuid,,1,elements,30269500.0,ns,129704
new,New ksuid,,1,elements,31325300.0,ns,133888
new,New ksuid,,1,elements,32368200.0,ns,138072
new,New ksuid,,1,elements,33331400.0,ns,142256
new,New ksuid,,1,elements,34211300.0,ns,146440
new,New ksuid,,1,elements,35737800.0,ns,150624
new,New ksuid,,1,elements,36384500.0,ns,154808
new,New ksuid,,1,elements,37174600.0,ns,158992
new,New ksuid,,1,elements,38052300.0,ns,163176
new,New ksuid,,1,elements,39210100.0,ns,167360
new,New ksuid,,1,elements,40196000.0,ns,171544
new,New ksuid,,1,elements,41071300.0,ns,175728
new,New ksuid,,1,elements,42027300.0,ns,179912
new,New ksuid,,1,elements,43065500.0,ns,184096
new,New ksuid,,1,elements,44041700.0,ns,188280
new,New ksuid,,1,elements,45174600.0,ns,192464
new,New ksuid,,1,elements,45987600.0,ns,196648
new,New ksuid,,1,elements,47037500.0,ns,200832
new,New ksuid,,1,elements,48031500.0,ns,205016
new,New ksuid,,1,elements,48824200.0,ns,209200
new,New ksuid,,1,elements,49983800.0,ns,213384
new,New ksuid,,1,elements,51188600.0,ns,217568
new,New ksuid,,1,elements,51890200.0,ns,221752
new,New ksuid,,1,elements,52855300.0,ns,225936
new,New ksuid,,1,elements,53831300.0,ns,230120
new,New ksuid,,1,elements,54791800.0,ns,234304
new,New ksuid,,1,elements,55698400.0,ns,238488
new,New ksuid,,1,elements,56810200.0,ns,242672
new,New ksuid,,1,elements,57767300.0,ns,246856
new,New ksuid,,1,elements,58803500.0,ns,251040
new,New ksuid,,1,elements,59738200.0,ns,255224
new,New ksuid,,1,elements,60791500.0,ns,259408
new,New ksuid,,1,elements,61793600.0,ns,263592
new,New ksuid,,1,elements,62759700.0,ns,267776
new,New ksuid,,1,elements,63632300.0,ns,271960
new,New ksuid,,1,elements,64565600.0,ns,276144
new,New ksuid,,1,elements,65730000.0,ns,280328
new,New ksuid,,1,elements,66762100.0,ns,284512
new,New ksuid,,1,elements,67719400.0,ns,288696
new,New ksuid,,1,elements,68432400.0,ns,292880
new,New ksuid,,1,elements,69493300.0,ns,297064
new,New ksuid,,1,elements,70415300.0,ns,301248
new,New ksuid,,1,elements,71581700.0,ns,305432
new,New ksuid,,1,elements,72555400.0,ns,309616
new,New ksuid,,1,elements,73482400.0,ns,313800
new,New ksuid,,1,elements,74439200.0,ns,317984
new,New ksuid,,1,elements,75331100.0,ns,322168
new,New ksuid,,1,elements,76616500.0,ns,326352
new,New ksuid,,1,elements,77483900.0,ns,330536
new,New ksuid,,1,elements,78269700.0,ns,334720
new,New ksuid,,1,elements,79330600.0,ns,338904
new,New ksuid,,1,elements,80812500.0,ns,343088
new,New ksuid,,1,elements,81153600.0,ns,347272
new,New ksuid,,1,elements,82158300.0,ns,351456
new,New ksuid,,1,elements,83355800.0,ns,355640
new,New ksuid,,1,elements,84231100.0,ns,359824
new,New ksuid,,1,elements,85428200.0,ns,364008
new,New ksuid,,1,elements,86362900.0,ns,368192
new,New ksuid,,1,elements,87215200.0,ns,372376
new,New ksuid,,1,elements,88189800.0,ns,376560
new,New ksuid,,1,elements,89834600.0,ns,380744
new,New ksuid,,1,elements,89929000.0,ns,384928
new,New ksuid,,1,elements,91228100.0,ns,389112
new,New ksuid,,1,elements,92051500.0,ns,393296
new,New ksuid,,1,elements,93022600.0,ns,397480
new,New ksuid,,1,elements,93950200.0,ns,401664
new,New ksuid,,1,elements,95155800.0,ns,405848
new,New ksuid,,1,elements,95961800.0,ns,410032
new,New ksuid,,1,elements,96971300.0,ns,414216
new,New ksuid,,1,elements,97891700.0,ns,418400
