group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
new,new-with-payload,,1,elements,976200.0,ns,29439
new,new-with-payload,,1,elements,1950200.0,ns,58878
new,new-with-payload,,1,elements,2925200.0,ns,88317
new,new-with-payload,,1,elements,3900300.0,ns,117756
new,new-with-payload,,1,elements,4897300.0,ns,147195
new,new-with-payload,,1,elements,5851700.0,ns,176634
new,new-with-payload,,1,elements,6829800.0,ns,206073
new,new-with-payload,,1,elements,7800200.0,ns,235512
new,new-with-payload,,1,elements,8780600.0,ns,264951
new,new-with-payload,,1,elements,9751200.0,ns,294390
new,new-with-payload,,1,elements,10724900.0,ns,323829
new,new-with-payload,,1,elements,11710900.0,ns,353268
new,new-with-payload,,1,elements,12685900.0,ns,382707
new,new-with-payload,,1,elements,14052000.0,ns,412146
new,new-with-payload,,1,elements,14998700.0,ns,441585
new,new-with-payload,,1,elements,15793800.0,ns,471024
new,new-with-payload,,1,elements,16773200.0,ns,500463
new,new-with-payload,,1,elements,17763400.0,ns,529902
new,new-with-payload,,1,elements,18749000.0,ns,559341
new,new-with-payload,,1,elements,19742400.0,ns,588780
new,new-with-payload,,1,elements,20745600.0,ns,618219
new,new-with-payload,,1,elements,21705300.0,ns,647658
new,new-with-payload,,1,elements,22704400.0,ns,677097
new,new-with-payload,,1,elements,23690800.0,ns,706536
new,new-with-payload,,1,elements,24672700.0,ns,735975
new,new-with-payload,,1,elements,25658300.0,ns,765414
new,new-with-payload,,1,elements,26650900.0,ns,794853
new,new-with-payload,,1,elements,27229500.0,ns,824292
new,new-with-payload,,1,elements,28520600.0,ns,853731
new,new-with-payload,,1,elements,29134400.0,ns,883170
new,new-with-payload,,1,elements,30585900.0,ns,912609
new,new-with-payload,,1,elements,31577900.0,ns,942048
new,new-with-payload,,1,elements,32691300.0,ns,971487
new,new-with-payload,,1,elements,33555600.0,ns,1000926
new,new-with-payload,,1,elements,34530900.0,ns,1030365
new,new-with-payload,,1,elements,35523300.0,ns,1059804
new,new-with-payload,,1,elements,36331900.0,ns,1089243
new,new-with-payload,,1,elements,41087100.0,ns,1118682
new,new-with-payload,,1,elements,40706100.0,ns,1148121
new,new-with-payload,,1,elements,39656200.0,ns,1177560
new,new-with-payload,,1,elements,40504800.0,ns,1206999
new,new-with-payload,,1,elements,41514300.0,ns,1236438
new,new-with-payload,,1,elements,42552400.0,ns,1265877
new,new-with-payload,,1,elements,43467000.0,ns,1295316
