group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
new,new-with-payload,,1,elements,969900.0,ns,29489
new,new-with-payload,,1,elements,1939100.0,ns,58978
new,new-with-payload,,1,elements,2936200.0,ns,88467
new,new-with-payload,,1,elements,3920100.0,ns,117956
new,new-with-payload,,1,elements,4986200.0,ns,147445
new,new-with-payload,,1,elements,5916100.0,ns,176934
new,new-with-payload,,1,elements,6861000.0,ns,206423
new,new-with-payload,,1,elements,7895900.0,ns,235912
new,new-with-payload,,1,elements,8879900.0,ns,265401
new,new-with-payload,,1,elements,9807000.0,ns,294890
new,new-with-payload,,1,elements,10852300.0,ns,324379
new,new-with-payload,,1,elements,11791800.0,ns,353868
new,new-with-payload,,1,elements,12776900.0,ns,383357
new,new-with-payload,,1,elements,13780900.0,ns,412846
new,new-with-payload,,1,elements,15041700.0,ns,442335
new,new-with-payload,,1,elements,15712500.0,ns,471824
new,new-with-payload,,1,elements,16733200.0,ns,501313
new,new-with-payload,,1,elements,18005900.0,ns,530802
new,new-with-payload,,1,elements,18792600.0,ns,560291
new,new-with-payload,,1,elements,19703800.0,ns,589780
new,new-with-payload,,1,elements,20710300.0,ns,619269
new,new-with-payload,,1,elements,21753800.0,ns,648758
new,new-with-payload,,1,elements,22608200.0,ns,678247
new,new-with-payload,,1,elements,23719700.0,ns,707736
new,new-with-payload,,1,elements,24535300.0,ns,737225
new,new-with-payload,,1,elements,25507800.0,ns,766714
new,new-with-payload,,1,elements,26558000.0,ns,796203
new,new-with-payload,,1,elements,27601900.0,ns,825692
new,new-with-payload,,1,elements,28599700.0,ns,855181
new,new-with-payload,,1,elements,29784000.0,ns,884670
new,new-with-payload,,1,elements,30568200.0,ns,914159
new,new-with-payload,,1,elements,31426000.0,ns,943648
new,new-with-payload,,1,elements,32471600.0,ns,973137
new,new-with-payload,,1,elements,33513500.0,ns,1002626
new,new-with-payload,,1,elements,34500600.0,ns,1032115
new,new-with-payload,,1,elements,35465800.0,ns,1061604
new,new-with-payload,,1,elements,36362600.0,ns,1091093
new,new-with-payload,,1,elements,37543500.0,ns,1120582
new,new-with-payload,,1,elements,38329500.0,ns,1150071
new,new-with-payload,,1,elements,39353600.0,ns,1179560
new,new-with-payload,,1,elements,40222300.0,ns,1209049
new,new-with-payload,,1,elements,41445500.0,ns,1238538
new,new-with-payload,,1,elements,42394900.0,ns,1268027
new,new-with-payload,,1,elements,43184600.0,ns,1297516
new,new-with-payload,,1,elements,44235800.0,ns,1327005
new,new-with-payload,,1,elements,45211400.0,ns,1356494
new,new-with-payload,,1,elements,46237600.0,ns,1385983
new,new-with-payload,,1,elements,47362900.0,ns,1415472
new,new-with-payload,,1,elements,48237200.0,ns,1444961
new,new-with-payload,,1,elements,49147900.0,ns,1474450
new,new-with-payload,,1,elements,50077000.0,ns,1503939
new,new-with-payload,,1,elements,51261200.0,ns,1533428
new,new-with-payload,,1,elements,52144300.0,ns,1562917
new,new-with-payload,,1,elements,53556900.0,ns,1592406
new,new-with-payload,,1,elements,54059100.0,ns,1621895
new,new-with-payload,,1,elements,55114000.0,ns,1651384
new,new-with-payload,,1,elements,56068000.0,ns,1680873
new,new-with-payload,,1,elements,57089300.0,ns,1710362
new,new-with-payload,,1,elements,58178000.0,ns,1739851
new,new-with-payload,,1,elements,58939100.0,ns,1769340
new,new-with-payload,,1,elements,60106200.0,ns,1798829
new,new-with-payload,,1,elements,63069000.0,ns,1828318
new,new-with-payload,,1,elements,63832100.0,ns,1857807
new,new-with-payload,,1,elements,64073100.0,ns,1887296
new,new-with-payload,,1,elements,65081900.0,ns,1916785
new,new-with-payload,,1,elements,65638200.0,ns,1946274
new,new-with-payload,,1,elements,65855800.0,ns,1975763
new,new-with-payload,,1,elements,66782800.0,ns,2005252
new,new-with-payload,,1,elements,67765500.0,ns,2034741
new,new-with-payload,,1,elements,69216100.0,ns,2064230
new,new-with-payload,,1,elements,70056300.0,ns,2093719
new,new-with-payload,,1,elements,70861200.0,ns,2123208
new,new-with-payload,,1,elements,71922700.0,ns,2152697
new,new-with-payload,,1,elements,74300500.0,ns,2182186
new,new-with-payload,,1,elements,75079700.0,ns,2211675
new,new-with-payload,,1,elements,75300100.0,ns,2241164
new,new-with-payload,,1,elements,75798800.0,ns,2270653
new,new-with-payload,,1,elements,76645800.0,ns,2300142
new,new-with-payload,,1,elements,78017500.0,ns,2329631
new,new-with-payload,,1,elements,78947600.0,ns,2359120
new,new-with-payload,,1,elements,79738500.0,ns,2388609
new,new-with-payload,,1,elements,80684800.0,ns,2418098
new,new-with-payload,,1,elements,81584000.0,ns,2447587
new,new-with-payload,,1,elements,83092100.0,ns,2477076
new,new-with-payload,,1,elements,83601800.0,ns,2506565
new,new-with-payload,,1,elements,84636600.0,ns,2536054
new,new-with-payload,,1,elements,85584900.0,ns,2565543
new,new-with-payload,,1,elements,86521800.0,ns,2595032
new,new-with-payload,,1,elements,87540400.0,ns,2624521
new,new-with-payload,,1,elements,88381800.0,ns,2654010
new,new-with-payload,,1,elements,89476600.0,ns,2683499
new,new-with-payload,,1,elements,90751000.0,ns,2712988
new,new-with-payload,,1,elements,91463000.0,ns,2742477
new,new-with-payload,,1,elements,92550600.0,ns,2771966
new,new-with-payload,,1,elements,93956300.0,ns,2801455
new,new-with-payload,,1,elements,94548500.0,ns,2830944
new,new-with-payload,,1,elements,95459800.0,ns,2860433
new,new-with-payload,,1,elements,96455500.0,ns,2889922
new,new-with-payload,,1,elements,97469700.0,ns,2919411
new,new-with-payload,,1,elements,98546700.0,ns,2948900
