group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
new,new-with-timestamp,,1,elements,994000.0,ns,6963
new,new-with-timestamp,,1,elements,1977500.0,ns,13926
new,new-with-timestamp,,1,elements,2953500.0,ns,20889
new,new-with-timestamp,,1,elements,3899000.0,ns,27852
new,new-with-timestamp,,1,elements,4863700.0,ns,34815
new,new-with-timestamp,,1,elements,5863600.0,ns,41778
new,new-with-timestamp,,1,elements,6839500.0,ns,48741
new,new-with-timestamp,,1,elements,7780400.0,ns,55704
new,new-with-timestamp,,1,elements,8816600.0,ns,62667
new,new-with-timestamp,,1,elements,9752800.0,ns,69630
new,new-with-timestamp,,1,elements,10942600.0,ns,76593
new,new-with-timestamp,,1,elements,11676300.0,ns,83556
new,new-with-timestamp,,1,elements,12688500.0,ns,90519
new,new-with-timestamp,,1,elements,13693400.0,ns,97482
new,new-with-timestamp,,1,elements,14644700.0,ns,104445
new,new-with-timestamp,,1,elements,15809800.0,ns,111408
new,new-with-timestamp,,1,elements,16689400.0,ns,118371
new,new-with-timestamp,,1,elements,17676700.0,ns,125334
new,new-with-timestamp,,1,elements,18584000.0,ns,132297
new,new-with-timestamp,,1,elements,19774400.0,ns,139260
new,new-with-timestamp,,1,elements,20919300.0,ns,146223
new,new-with-timestamp,,1,elements,22262100.0,ns,153186
new,new-with-timestamp,,1,elements,22975200.0,ns,160149
new,new-with-timestamp,,1,elements,23979100.0,ns,167112
new,new-with-timestamp,,1,elements,24990800.0,ns,174075
new,new-with-timestamp,,1,elements,26054500.0,ns,181038
new,new-with-timestamp,,1,elements,26957700.0,ns,188001
new,new-with-timestamp,,1,elements,27904400.0,ns,194964
new,new-with-timestamp,,1,elements,28907400.0,ns,201927
new,new-with-timestamp,,1,elements,29946000.0,ns,208890
new,new-with-timestamp,,1,elements,30976800.0,ns,215853
new,new-with-timestamp,,1,elements,31999900.0,ns,222816
new,new-with-timestamp,,1,elements,33096700.0,ns,229779
new,new-with-timestamp,,1,elements,34045200.0,ns,236742
new,new-with-timestamp,,1,elements,35035400.0,ns,243705
new,new-with-timestamp,,1,elements,36061900.0,ns,250668
new,new-with-timestamp,,1,elements,36994400.0,ns,257631
new,new-with-timestamp,,1,elements,37964100.0,ns,264594
new,new-with-timestamp,,1,elements,38962700.0,ns,271557
new,new-with-timestamp,,1,elements,39981100.0,ns,278520
new,new-with-timestamp,,1,elements,40972800.0,ns,285483
new,new-with-timestamp,,1,elements,42016300.0,ns,292446
new,new-with-timestamp,,1,elements,42973300.0,ns,299409
new,new-with-timestamp,,1,elements,44029400.0,ns,306372
