group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
new,new-with-timestamp,,1,elements,996800.0,ns,7135
new,new-with-timestamp,,1,elements,1999000.0,ns,14270
new,new-with-timestamp,,1,elements,2949700.0,ns,21405
new,new-with-timestamp,,1,elements,4012700.0,ns,28540
new,new-with-timestamp,,1,elements,4930900.0,ns,35675
new,new-with-timestamp,,1,elements,5882800.0,ns,42810
new,new-with-timestamp,,1,elements,6919300.0,ns,49945
new,new-with-timestamp,,1,elements,7874700.0,ns,57080
new,new-with-timestamp,,1,elements,8856500.0,ns,64215
new,new-with-timestamp,,1,elements,9832000.0,ns,71350
new,new-with-timestamp,,1,elements,10822100.0,ns,78485
new,new-with-timestamp,,1,elements,11825900.0,ns,85620
new,new-with-timestamp,,1,elements,12803900.0,ns,92755
new,new-with-timestamp,,1,elements,13787100.0,ns,99890
new,new-with-timestamp,,1,elements,14790500.0,ns,107025
new,new-with-timestamp,,1,elements,15750900.0,ns,114160
new,new-with-timestamp,,1,elements,16725500.0,ns,121295
new,new-with-timestamp,,1,elements,17696000.0,ns,128430
new,new-with-timestamp,,1,elements,18657400.0,ns,135565
new,new-with-timestamp,,1,elements,19852400.0,ns,142700
new,new-with-timestamp,,1,elements,20680200.0,ns,149835
new,new-with-timestamp,,1,elements,21691500.0,ns,156970
new,new-with-timestamp,,1,elements,22679000.0,ns,164105
new,new-with-timestamp,,1,elements,23561000.0,ns,171240
new,new-with-timestamp,,1,elements,24541300.0,ns,178375
new,new-with-timestamp,,1,elements,25512800.0,ns,185510
new,new-with-timestamp,,1,elements,26627300.0,ns,192645
new,new-with-timestamp,,1,elements,27829800.0,ns,199780
new,new-with-timestamp,,1,elements,28526100.0,ns,206915
new,new-with-timestamp,,1,elements,29476500.0,ns,214050
new,new-with-timestamp,,1,elements,30450700.0,ns,221185
new,new-with-timestamp,,1,elements,31754800.0,ns,228320
new,new-with-timestamp,,1,elements,32447200.0,ns,235455
new,new-with-timestamp,,1,elements,33393400.0,ns,242590
new,new-with-timestamp,,1,elements,34632400.0,ns,249725
new,new-with-timestamp,,1,elements,35388500.0,ns,256860
new,new-with-timestamp,,1,elements,36415900.0,ns,263995
new,new-with-timestamp,,1,elements,37588600.0,ns,271130
new,new-with-timestamp,,1,elements,38639900.0,ns,278265
new,new-with-timestamp,,1,elements,39386000.0,ns,285400
new,new-with-timestamp,,1,elements,40388300.0,ns,292535
new,new-with-timestamp,,1,elements,41318900.0,ns,299670
new,new-with-timestamp,,1,elements,42372600.0,ns,306805
new,new-with-timestamp,,1,elements,43418900.0,ns,313940
new,new-with-timestamp,,1,elements,44517700.0,ns,321075
new,new-with-timestamp,,1,elements,45252200.0,ns,328210
new,new-with-timestamp,,1,elements,46220700.0,ns,335345
new,new-with-timestamp,,1,elements,47363800.0,ns,342480
new,new-with-timestamp,,1,elements,48222500.0,ns,349615
new,new-with-timestamp,,1,elements,49236900.0,ns,356750
new,new-with-timestamp,,1,elements,50184900.0,ns,363885
new,new-with-timestamp,,1,elements,51171800.0,ns,371020
new,new-with-timestamp,,1,elements,52220400.0,ns,378155
new,new-with-timestamp,,1,elements,53197000.0,ns,385290
new,new-with-timestamp,,1,elements,54188600.0,ns,392425
new,new-with-timestamp,,1,elements,55057500.0,ns,399560
new,new-with-timestamp,,1,elements,56094300.0,ns,406695
new,new-with-timestamp,,1,elements,57141700.0,ns,413830
new,new-with-timestamp,,1,elements,57981200.0,ns,420965
new,new-with-timestamp,,1,elements,59497500.0,ns,428100
new,new-with-timestamp,,1,elements,60067200.0,ns,435235
new,new-with-timestamp,,1,elements,61125000.0,ns,442370
new,new-with-timestamp,,1,elements,62273900.0,ns,449505
new,new-with-timestamp,,1,elements,62975000.0,ns,456640
new,new-with-timestamp,,1,elements,63945100.0,ns,463775
new,new-with-timestamp,,1,elements,65130700.0,ns,470910
new,new-with-timestamp,,1,elements,65955300.0,ns,478045
new,new-with-timestamp,,1,elements,66969600.0,ns,485180
new,new-with-timestamp,,1,elements,67941300.0,ns,492315
new,new-with-timestamp,,1,elements,69043700.0,ns,499450
new,new-with-timestamp,,1,elements,69811100.0,ns,506585
new,new-with-timestamp,,1,elements,71021500.0,ns,513720
new,new-with-timestamp,,1,elements,71971600.0,ns,520855
new,new-with-timestamp,,1,elements,72931400.0,ns,527990
new,new-with-timestamp,,1,elements,74452800.0,ns,535125
new,new-with-timestamp,,1,elements,74906400.0,ns,542260
new,new-with-timestamp,,1,elements,75925300.0,ns,549395
new,new-with-timestamp,,1,elements,76702100.0,ns,556530
new,new-with-timestamp,,1,elements,77599200.0,ns,563665
new,new-with-timestamp,,1,elements,79060500.0,ns,570800
new,new-with-timestamp,,1,elements,80485700.0,ns,577935
new,new-with-timestamp,,1,elements,81615500.0,ns,585070
new,new-with-timestamp,,1,elements,83038200.0,ns,592205
new,new-with-timestamp,,1,elements,82667000.0,ns,599340
new,new-with-timestamp,,1,elements,83705800.0,ns,606475
new,new-with-timestamp,,1,elements,84799900.0,ns,613610
new,new-with-timestamp,,1,elements,85724200.0,ns,620745
new,new-with-timestamp,,1,elements,86619000.0,ns,627880
new,new-with-timestamp,,1,elements,87713600.0,ns,635015
new,new-with-timestamp,,1,elements,88627000.0,ns,642150
new,new-with-timestamp,,1,elements,89644200.0,ns,649285
new,new-with-timestamp,,1,elements,90578000.0,ns,656420
new,new-with-timestamp,,1,elements,91504700.0,ns,663555
new,new-with-timestamp,,1,elements,92516300.0,ns,670690
new,new-with-timestamp,,1,elements,93557500.0,ns,677825
new,new-with-timestamp,,1,elements,94634100.0,ns,684960
new,new-with-timestamp,,1,elements,95480800.0,ns,692095
new,new-with-timestamp,,1,elements,96542600.0,ns,699230
new,new-with-timestamp,,1,elements,97493400.0,ns,706365
new,new-with-timestamp,,1,elements,98586600.0,ns,713500
