group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
new,new,,1,elements,999100.0,ns,5668
new,new,,1,elements,1952100.0,ns,11336
new,new,,1,elements,2942300.0,ns,17004
new,new,,1,elements,3844800.0,ns,22672
new,new,,1,elements,4836100.0,ns,28340
new,new,,1,elements,5911900.0,ns,34008
new,new,,1,elements,6855500.0,ns,39676
new,new,,1,elements,7853900.0,ns,45344
new,new,,1,elements,8832100.0,ns,51012
new,new,,1,elements,9821600.0,ns,56680
new,new,,1,elements,10795800.0,ns,62348
new,new,,1,elements,11780500.0,ns,68016
new,new,,1,elements,12768800.0,ns,73684
new,new,,1,elements,13740400.0,ns,79352
new,new,,1,elements,14733200.0,ns,85020
new,new,,1,elements,15641100.0,ns,90688
new,new,,1,elements,16442600.0,ns,96356
new,new,,1,elements,17328600.0,ns,102024
new,new,,1,elements,18310200.0,ns,107692
new,new,,1,elements,19374600.0,ns,113360
new,new,,1,elements,20271600.0,ns,119028
new,new,,1,elements,21278900.0,ns,124696
new,new,,1,elements,22448600.0,ns,130364
new,new,,1,elements,23217400.0,ns,136032
new,new,,1,elements,24557000.0,ns,141700
new,new,,1,elements,25409100.0,ns,147368
new,new,,1,elements,26517200.0,ns,153036
new,new,,1,elements,27496100.0,ns,158704
new,new,,1,elements,28477200.0,ns,164372
new,new,,1,elements,29125500.0,ns,170040
new,new,,1,elements,29969900.0,ns,175708
new,new,,1,elements,31002500.0,ns,181376
new,new,,1,elements,31956300.0,ns,187044
new,new,,1,elements,33927500.0,ns,192712
new,new,,1,elements,34329200.0,ns,198380
new,new,,1,elements,35213100.0,ns,204048
new,new,,1,elements,36345400.0,ns,209716
new,new,,1,elements,37346000.0,ns,215384
new,new,,1,elements,37873500.0,ns,221052
new,new,,1,elements,38985800.0,ns,226720
new,new,,1,elements,40128600.0,ns,232388
new,new,,1,elements,41238900.0,ns,238056
new,new,,1,elements,42381700.0,ns,243724
new,new,,1,elements,42845800.0,ns,249392
new,new,,1,elements,43609700.0,ns,255060
new,new,,1,elements,44441900.0,ns,260728
new,new,,1,elements,45488500.0,ns,266396
new,new,,1,elements,46404000.0,ns,272064
new,new,,1,elements,47444600.0,ns,277732
new,new,,1,elements,48304700.0,ns,283400
new,new,,1,elements,49285700.0,ns,289068
new,new,,1,elements,50258000.0,ns,294736
new,new,,1,elements,51677500.0,ns,300404
new,new,,1,elements,52763400.0,ns,306072
new,new,,1,elements,54013900.0,ns,311740
new,new,,1,elements,54988000.0,ns,317408
new,new,,1,elements,55980200.0,ns,323076
new,new,,1,elements,56273200.0,ns,328744
new,new,,1,elements,57124200.0,ns,334412
new,new,,1,elements,57885600.0,ns,340080
new,new,,1,elements,60132400.0,ns,345748
new,new,,1,elements,61149000.0,ns,351416
new,new,,1,elements,61563300.0,ns,357084
new,new,,1,elements,62777900.0,ns,362752
new,new,,1,elements,62726400.0,ns,368420
new,new,,1,elements,63855500.0,ns,374088
new,new,,1,elements,64776200.0,ns,379756
new,new,,1,elements,65896900.0,ns,385424
new,new,,1,elements,66859800.0,ns,391092
new,new,,1,elements,67511300.0,ns,396760
new,new,,1,elements,68544400.0,ns,402428
new,new,,1,elements,69515200.0,ns,408096
new,new,,1,elements,70612000.0,ns,413764
new,new,,1,elements,71735800.0,ns,419432
new,new,,1,elements,72611700.0,ns,425100
new,new,,1,elements,73801900.0,ns,430768
new,new,,1,elements,74643500.0,ns,436436
new,new,,1,elements,76775400.0,ns,442104
new,new,,1,elements,77598500.0,ns,447772
new,new,,1,elements,78552200.0,ns,453440
new,new,,1,elements,79377100.0,ns,459108
new,new,,1,elements,80703500.0,ns,464776
new,new,,1,elements,81510600.0,ns,470444
new,new,,1,elements,82498100.0,ns,476112
new,new,,1,elements,83480700.0,ns,481780
new,new,,1,elements,84440000.0,ns,487448
new,new,,1,elements,85288300.0,ns,493116
new,new,,1,elements,85386000.0,ns,498784
new,new,,1,elements,86373800.0,ns,504452
new,new,,1,elements,87837900.0,ns,510120
new,new,,1,elements,89412300.0,ns,515788
new,new,,1,elements,90375800.0,ns,521456
new,new,,1,elements,91357400.0,ns,527124
new,new,,1,elements,92305800.0,ns,532792
new,new,,1,elements,93390200.0,ns,538460
new,new,,1,elements,93369900.0,ns,544128
new,new,,1,elements,95572300.0,ns,549796
new,new,,1,elements,96067300.0,ns,555464
new,new,,1,elements,96502500.0,ns,561132
new,new,,1,elements,98295800.0,ns,566800
