group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
,,,,,1018900.0,ns,4289
,,,,,1992200.0,ns,8578
,,,,,2931300.0,ns,12867
,,,,,3975100.0,ns,17156
,,,,,4959200.0,ns,21445
,,,,,5892300.0,ns,25734
,,,,,6838800.0,ns,30023
,,,,,7935800.0,ns,34312
,,,,,8899900.0,ns,38601
,,,,,9868000.0,ns,42890
,,,,,10777500.0,ns,47179
,,,,,11795100.0,ns,51468
,,,,,12769300.0,ns,55757
,,,,,13921600.0,ns,60046
,,,,,14766200.0,ns,64335
,,,,,15761300.0,ns,68624
,,,,,16616700.0,ns,72913
,,,,,17733000.0,ns,77202
,,,,,18625100.0,ns,81491
,,,,,19732900.0,ns,85780
,,,,,20623000.0,ns,90069
,,,,,21884700.0,ns,94358
,,,,,22597500.0,ns,98647
,,,,,23529900.0,ns,102936
,,,,,24826900.0,ns,107225
,,,,,25953100.0,ns,111514
,,,,,26946500.0,ns,115803
,,,,,27970800.0,ns,120092
,,,,,28533800.0,ns,124381
,,,,,29497100.0,ns,128670
,,,,,30638300.0,ns,132959
,,,,,31429100.0,ns,137248
,,,,,32391600.0,ns,141537
,,,,,33446500.0,ns,145826
,,,,,35566000.0,ns,150115
,,,,,35955400.0,ns,154404
,,,,,36930100.0,ns,158693
,,,,,37926200.0,ns,162982
,,,,,38929500.0,ns,167271
,,,,,39821900.0,ns,171560
,,,,,40281700.0,ns,175849
,,,,,41859300.0,ns,180138
,,,,,42864100.0,ns,184427
,,,,,43925900.0,ns,188716
,,,,,44539700.0,ns,193005
,,,,,45321500.0,ns,197294
,,,,,46985200.0,ns,201583
,,,,,48034000.0,ns,205872
,,,,,49013000.0,ns,210161
,,,,,50041900.0,ns,214450
,,,,,51048700.0,ns,218739
,,,,,51910500.0,ns,223028
,,,,,52905600.0,ns,227317
,,,,,53922600.0,ns,231606
,,,,,54364700.0,ns,235895
,,,,,54951400.0,ns,240184
,,,,,56010800.0,ns,244473
,,,,,56910100.0,ns,248762
,,,,,57975600.0,ns,253051
,,,,,59119100.0,ns,257340
,,,,,59936500.0,ns,261629
,,,,,61357000.0,ns,265918
,,,,,61877000.0,ns,270207
,,,,,62852500.0,ns,274496
,,,,,63936100.0,ns,278785
,,,,,64758400.0,ns,283074
,,,,,65967400.0,ns,287363
,,,,,66848100.0,ns,291652
,,,,,68261400.0,ns,295941
,,,,,69038200.0,ns,300230
,,,,,69982900.0,ns,304519
,,,,,71134400.0,ns,308808
,,,,,71989700.0,ns,313097
,,,,,72938600.0,ns,317386
,,,,,73905700.0,ns,321675
,,,,,75056900.0,ns,325964
,,,,,75869700.0,ns,330253
,,,,,76559400.0,ns,334542
,,,,,77968900.0,ns,338831
,,,,,78916900.0,ns,343120
,,,,,79811400.0,ns,347409
,,,,,80905000.0,ns,351698
,,,,,81968600.0,ns,355987
,,,,,83160000.0,ns,360276
,,,,,84257400.0,ns,364565
,,,,,84756400.0,ns,368854
,,,,,85658200.0,ns,373143
,,,,,86943800.0,ns,377432
,,,,,87866400.0,ns,381721
,,,,,88649600.0,ns,386010
,,,,,89842200.0,ns,390299
,,,,,91201300.0,ns,394588
,,,,,91929300.0,ns,398877
,,,,,93937200.0,ns,403166
,,,,,93688100.0,ns,407455
,,,,,95411000.0,ns,411744
,,,,,96466500.0,ns,416033
,,,,,97776700.0,ns,420322
,,,,,97846900.0,ns,424611
,,,,,98760500.0,ns,428900
