group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
payload_hyper,payload-hyper,,1,elements,995800.0,ns,5948
payload_hyper,payload-hyper,,1,elements,1985700.0,ns,11896
payload_hyper,payload-hyper,,1,elements,3025200.0,ns,17844
payload_hyper,payload-hyper,,1,elements,4014800.0,ns,23792
payload_hyper,payload-hyper,,1,elements,4972400.0,ns,29740
payload_hyper,payload-hyper,,1,elements,5999700.0,ns,35688
payload_hyper,payload-hyper,,1,elements,7022100.0,ns,41636
payload_hyper,payload-hyper,,1,elements,7975300.0,ns,47584
payload_hyper,payload-hyper,,1,elements,8959100.0,ns,53532
payload_hyper,payload-hyper,,1,elements,9889300.0,ns,59480
payload_hyper,payload-hyper,,1,elements,10883500.0,ns,65428
payload_hyper,payload-hyper,,1,elements,11900500.0,ns,71376
payload_hyper,payload-hyper,,1,elements,12922500.0,ns,77324
payload_hyper,payload-hyper,,1,elements,13850800.0,ns,83272
payload_hyper,payload-hyper,,1,elements,14958800.0,ns,89220
payload_hyper,payload-hyper,,1,elements,15963700.0,ns,95168
payload_hyper,payload-hyper,,1,elements,16846500.0,ns,101116
payload_hyper,payload-hyper,,1,elements,17897700.0,ns,107064
payload_hyper,payload-hyper,,1,elements,18855900.0,ns,113012
payload_hyper,payload-hyper,,1,elements,20633300.0,ns,118960
payload_hyper,payload-hyper,,1,elements,20837500.0,ns,124908
payload_hyper,payload-hyper,,1,elements,21846900.0,ns,130856
payload_hyper,payload-hyper,,1,elements,23037400.0,ns,136804
payload_hyper,payload-hyper,,1,elements,23825500.0,ns,142752
payload_hyper,payload-hyper,,1,elements,24952300.0,ns,148700
payload_hyper,payload-hyper,,1,elements,25720300.0,ns,154648
payload_hyper,payload-hyper,,1,elements,26748200.0,ns,160596
payload_hyper,payload-hyper,,1,elements,27752700.0,ns,166544
payload_hyper,payload-hyper,,1,elements,28807200.0,ns,172492
payload_hyper,payload-hyper,,1,elements,29767500.0,ns,178440
payload_hyper,payload-hyper,,1,elements,30821000.0,ns,184388
payload_hyper,payload-hyper,,1,elements,31714100.0,ns,190336
payload_hyper,payload-hyper,,1,elements,32797500.0,ns,196284
payload_hyper,payload-hyper,,1,elements,33720000.0,ns,202232
payload_hyper,payload-hyper,,1,elements,34740600.0,ns,208180
payload_hyper,payload-hyper,,1,elements,35707600.0,ns,214128
payload_hyper,payload-hyper,,1,elements,36839300.0,ns,220076
payload_hyper,payload-hyper,,1,elements,37687000.0,ns,226024
payload_hyper,payload-hyper,,1,elements,38728100.0,ns,231972
payload_hyper,payload-hyper,,1,elements,39815200.0,ns,237920
payload_hyper,payload-hyper,,1,elements,40615500.0,ns,243868
payload_hyper,payload-hyper,,1,elements,41785400.0,ns,249816
payload_hyper,payload-hyper,,1,elements,42784900.0,ns,255764
payload_hyper,payload-hyper,,1,elements,43704300.0,ns,261712
payload_hyper,payload-hyper,,1,elements,45021100.0,ns,267660
payload_hyper,payload-hyper,,1,elements,45782600.0,ns,273608
payload_hyper,payload-hyper,,1,elements,46827300.0,ns,279556
payload_hyper,payload-hyper,,1,elements,50054300.0,ns,285504
payload_hyper,payload-hyper,,1,elements,49521300.0,ns,291452
payload_hyper,payload-hyper,,1,elements,49815100.0,ns,297400
payload_hyper,payload-hyper,,1,elements,50608800.0,ns,303348
payload_hyper,payload-hyper,,1,elements,51526000.0,ns,309296
payload_hyper,payload-hyper,,1,elements,52856300.0,ns,315244
payload_hyper,payload-hyper,,1,elements,53592800.0,ns,321192
payload_hyper,payload-hyper,,1,elements,54673700.0,ns,327140
payload_hyper,payload-hyper,,1,elements,55540000.0,ns,333088
payload_hyper,payload-hyper,,1,elements,56592700.0,ns,339036
payload_hyper,payload-hyper,,1,elements,57754700.0,ns,344984
payload_hyper,payload-hyper,,1,elements,58723400.0,ns,350932
payload_hyper,payload-hyper,,1,elements,59715800.0,ns,356880
payload_hyper,payload-hyper,,1,elements,60512300.0,ns,362828
payload_hyper,payload-hyper,,1,elements,61717300.0,ns,368776
payload_hyper,payload-hyper,,1,elements,62670100.0,ns,374724
payload_hyper,payload-hyper,,1,elements,63759500.0,ns,380672
payload_hyper,payload-hyper,,1,elements,64639800.0,ns,386620
payload_hyper,payload-hyper,,1,elements,65560600.0,ns,392568
payload_hyper,payload-hyper,,1,elements,68069000.0,ns,398516
payload_hyper,payload-hyper,,1,elements,68689300.0,ns,404464
payload_hyper,payload-hyper,,1,elements,68600600.0,ns,410412
payload_hyper,payload-hyper,,1,elements,69572100.0,ns,416360
payload_hyper,payload-hyper,,1,elements,70494900.0,ns,422308
payload_hyper,payload-hyper,,1,elements,71445700.0,ns,428256
payload_hyper,payload-hyper,,1,elements,72471000.0,ns,434204
payload_hyper,payload-hyper,,1,elements,73611800.0,ns,440152
payload_hyper,payload-hyper,,1,elements,74555800.0,ns,446100
payload_hyper,payload-hyper,,1,elements,75456000.0,ns,452048
payload_hyper,payload-hyper,,1,elements,76428700.0,ns,457996
payload_hyper,payload-hyper,,1,elements,77538100.0,ns,463944
payload_hyper,payload-hyper,,1,elements,78492100.0,ns,469892
payload_hyper,payload-hyper,,1,elements,79962100.0,ns,475840
payload_hyper,payload-hyper,,1,elements,80382000.0,ns,481788
payload_hyper,payload-hyper,,1,elements,81448900.0,ns,487736
payload_hyper,payload-hyper,,1,elements,82538100.0,ns,493684
payload_hyper,payload-hyper,,1,elements,83462700.0,ns,499632
payload_hyper,payload-hyper,,1,elements,84326200.0,ns,505580
payload_hyper,payload-hyper,,1,elements,85385000.0,ns,511528
payload_hyper,payload-hyper,,1,elements,86613000.0,ns,517476
payload_hyper,payload-hyper,,1,elements,87257500.0,ns,523424
payload_hyper,payload-hyper,,1,elements,88546700.0,ns,529372
payload_hyper,payload-hyper,,1,elements,89505400.0,ns,535320
payload_hyper,payload-hyper,,1,elements,90296200.0,ns,541268
payload_hyper,payload-hyper,,1,elements,91932100.0,ns,547216
payload_hyper,payload-hyper,,1,elements,92297600.0,ns,553164
payload_hyper,payload-hyper,,1,elements,93290200.0,ns,559112
payload_hyper,payload-hyper,,1,elements,94211900.0,ns,565060
payload_hyper,payload-hyper,,1,elements,95347700.0,ns,571008
payload_hyper,payload-hyper,,1,elements,96145100.0,ns,576956
payload_hyper,payload-hyper,,1,elements,97289100.0,ns,582904
payload_hyper,payload-hyper,,1,elements,98263000.0,ns,588852
payload_hyper,payload-hyper,,1,elements,99469500.0,ns,594800
