group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,,,,,1086800.0,ns,660
Serialize,,,,,2141100.0,ns,1320
Serialize,,,,,2997700.0,ns,1980
Serialize,,,,,3890900.0,ns,2640
Serialize,,,,,4892700.0,ns,3300
Serialize,,,,,5933100.0,ns,3960
Serialize,,,,,7079800.0,ns,4620
Serialize,,,,,7878700.0,ns,5280
Serialize,,,,,8910000.0,ns,5940
Serialize,,,,,9770000.0,ns,6600
Serialize,,,,,10837200.0,ns,7260
Serialize,,,,,11724400.0,ns,7920
Serialize,,,,,12702700.0,ns,8580
Serialize,,,,,13738200.0,ns,9240
Serialize,,,,,14661300.0,ns,9900
Serialize,,,,,15656000.0,ns,10560
Serialize,,,,,16745900.0,ns,11220
Serialize,,,,,17660000.0,ns,11880
Serialize,,,,,18566600.0,ns,12540
Serialize,,,,,19548200.0,ns,13200
Serialize,,,,,20568700.0,ns,13860
Serialize,,,,,21542500.0,ns,14520
Serialize,,,,,22641500.0,ns,15180
Serialize,,,,,23520600.0,ns,15840
Serialize,,,,,24476700.0,ns,16500
Serialize,,,,,25582300.0,ns,17160
Serialize,,,,,26436400.0,ns,17820
Serialize,,,,,27925700.0,ns,18480
Serialize,,,,,28361200.0,ns,19140
Serialize,,,,,29409300.0,ns,19800
Serialize,,,,,30266800.0,ns,20460
Serialize,,,,,31377400.0,ns,21120
Serialize,,,,,32418500.0,ns,21780
Serialize,,,,,33323800.0,ns,22440
Serialize,,,,,34284000.0,ns,23100
Serialize,,,,,35226700.0,ns,23760
Serialize,,,,,36271200.0,ns,24420
Serialize,,,,,37172800.0,ns,25080
Serialize,,,,,38091500.0,ns,25740
Serialize,,,,,39187100.0,ns,26400
Serialize,,,,,40148400.0,ns,27060
Serialize,,,,,41276500.0,ns,27720
Serialize,,,,,41983900.0,ns,28380
Serialize,,,,,43014000.0,ns,29040
Serialize,,,,,43952600.0,ns,29700
Serialize,,,,,45056900.0,ns,30360
Serialize,,,,,46014900.0,ns,31020
Serialize,,,,,46848800.0,ns,31680
Serialize,,,,,47967300.0,ns,32340
Serialize,,,,,49056800.0,ns,33000
Serialize,,,,,50032200.0,ns,33660
Serialize,,,,,51002700.0,ns,34320
Serialize,,,,,52274100.0,ns,34980
Serialize,,,,,53040000.0,ns,35640
Serialize,,,,,53824100.0,ns,36300
Serialize,,,,,54958200.0,ns,36960
Serialize,,,,,55729500.0,ns,37620
Serialize,,,,,56741400.0,ns,38280
Serialize,,,,,57731100.0,ns,38940
Serialize,,,,,58851800.0,ns,39600
Serialize,,,,,59692800.0,ns,40260
Serialize,,,,,60785100.0,ns,40920
Serialize,,,,,61606000.0,ns,41580
Serialize,,,,,62679900.0,ns,42240
Serialize,,,,,64099100.0,ns,42900
Serialize,,,,,64567600.0,ns,43560
Serialize,,,,,65572000.0,ns,44220
Serialize,,,,,66607200.0,ns,44880
Serialize,,,,,68964100.0,ns,45540
Serialize,,,,,69220300.0,ns,46200
Serialize,,,,,70579300.0,ns,46860
Serialize,,,,,71556900.0,ns,47520
Serialize,,,,,72383900.0,ns,48180
Serialize,,,,,72663000.0,ns,48840
Serialize,,,,,73372800.0,ns,49500
Serialize,,,,,74627400.0,ns,50160
Serialize,,,,,75664900.0,ns,50820
Serialize,,,,,76888000.0,ns,51480
Serialize,,,,,78412500.0,ns,52140
Serialize,,,,,79556900.0,ns,52800
Serialize,,,,,80545000.0,ns,53460
Serialize,,,,,81494000.0,ns,54120
Serialize,,,,,82786000.0,ns,54780
Serialize,,,,,83476700.0,ns,55440
Serialize,,,,,83705300.0,ns,56100
Serialize,,,,,84485400.0,ns,56760
Serialize,,,,,85990500.0,ns,57420
Serialize,,,,,87482200.0,ns,58080
Serialize,,,,,88468100.0,ns,58740
Serialize,,,,,89436900.0,ns,59400
Serialize,,,,,89634800.0,ns,60060
Serialize,,,,,91161700.0,ns,60720
Serialize,,,,,92451800.0,ns,61380
Serialize,,,,,93453900.0,ns,62040
Serialize,,,,,94798600.0,ns,62700
Serialize,,,,,95392700.0,ns,63360
Serialize,,,,,95802100.0,ns,64020
Serialize,,,,,96209200.0,ns,64680
Serialize,,,,,97327300.0,ns,65340
Serialize,,,,,97827400.0,ns,66000
