group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize,Serialize,,27,bytes,1028400.0,ns,663
serialize,Serialize,,27,bytes,1955000.0,ns,1326
serialize,Serialize,,27,bytes,2932900.0,ns,1989
serialize,Serialize,,27,bytes,3967800.0,ns,2652
serialize,Serialize,,27,bytes,4883700.0,ns,3315
serialize,Serialize,,27,bytes,5900200.0,ns,3978
serialize,Serialize,,27,bytes,6879500.0,ns,4641
serialize,Serialize,,27,bytes,7840800.0,ns,5304
serialize,Serialize,,27,bytes,8823900.0,ns,5967
serialize,Serialize,,27,bytes,9805800.0,ns,6630
serialize,Serialize,,27,bytes,10811700.0,ns,7293
serialize,Serialize,,27,bytes,11786200.0,ns,7956
serialize,Serialize,,27,bytes,12725200.0,ns,8619
serialize,Serialize,,27,bytes,13752700.0,ns,9282
serialize,Serialize,,27,bytes,15106400.0,ns,9945
serialize,Serialize,,27,bytes,15689600.0,ns,10608
serialize,Serialize,,27,bytes,16832400.0,ns,11271
serialize,Serialize,,27,bytes,17706800.0,ns,11934
serialize,Serialize,,27,bytes,18640700.0,ns,12597
serialize,Serialize,,27,bytes,19698900.0,ns,13260
serialize,Serialize,,27,bytes,20575400.0,ns,13923
serialize,Serialize,,27,bytes,21608200.0,ns,14586
serialize,Serialize,,27,bytes,22653300.0,ns,15249
serialize,Serialize,,27,bytes,23660800.0,ns,15912
serialize,Serialize,,27,bytes,24480200.0,ns,16575
serialize,Serialize,,27,bytes,25533700.0,ns,17238
serialize,Serialize,,27,bytes,26431700.0,ns,17901
serialize,Serialize,,27,bytes,27454000.0,ns,18564
serialize,Serialize,,27,bytes,28481200.0,ns,19227
serialize,Serialize,,27,bytes,29482500.0,ns,19890
serialize,Serialize,,27,bytes,30388000.0,ns,20553
serialize,Serialize,,27,bytes,31459500.0,ns,21216
serialize,Serialize,,27,bytes,32395400.0,ns,21879
serialize,Serialize,,27,bytes,33248500.0,ns,22542
serialize,Serialize,,27,bytes,34439100.0,ns,23205
serialize,Serialize,,27,bytes,35320200.0,ns,23868
serialize,Serialize,,27,bytes,36200400.0,ns,24531
serialize,Serialize,,27,bytes,43712700.0,ns,25194
serialize,Serialize,,27,bytes,45171500.0,ns,25857
serialize,Serialize,,27,bytes,46117600.0,ns,26520
serialize,Serialize,,27,bytes,47168800.0,ns,27183
serialize,Serialize,,27,bytes,48367700.0,ns,27846
serialize,Serialize,,27,bytes,49670900.0,ns,28509
serialize,Serialize,,27,bytes,50579600.0,ns,29172
serialize,Serialize,,27,bytes,51837500.0,ns,29835
serialize,Serialize,,27,bytes,53269200.0,ns,30498
serialize,Serialize,,27,bytes,54502600.0,ns,31161
serialize,Serialize,,27,bytes,55372700.0,ns,31824
serialize,Serialize,,27,bytes,56461800.0,ns,32487
serialize,Serialize,,27,bytes,57592800.0,ns,33150
serialize,Serialize,,27,bytes,58837100.0,ns,33813
serialize,Serialize,,27,bytes,59874200.0,ns,34476
serialize,Serialize,,27,bytes,61206200.0,ns,35139
serialize,Serialize,,27,bytes,62402800.0,ns,35802
serialize,Serialize,,27,bytes,63633500.0,ns,36465
serialize,Serialize,,27,bytes,64842800.0,ns,37128
serialize,Serialize,,27,bytes,65447300.0,ns,37791
serialize,Serialize,,27,bytes,66987500.0,ns,38454
serialize,Serialize,,27,bytes,68025900.0,ns,39117
serialize,Serialize,,27,bytes,69511600.0,ns,39780
serialize,Serialize,,27,bytes,70225500.0,ns,40443
serialize,Serialize,,27,bytes,71700000.0,ns,41106
serialize,Serialize,,27,bytes,72850000.0,ns,41769
serialize,Serialize,,27,bytes,73786800.0,ns,42432
serialize,Serialize,,27,bytes,75004000.0,ns,43095
serialize,Serialize,,27,bytes,76086200.0,ns,43758
