group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize,Serialize,,27,bytes,987500.0,ns,643
serialize,Serialize,,27,bytes,1967200.0,ns,1286
serialize,Serialize,,27,bytes,2950400.0,ns,1929
serialize,Serialize,,27,bytes,3932100.0,ns,2572
serialize,Serialize,,27,bytes,4917400.0,ns,3215
serialize,Serialize,,27,bytes,5905700.0,ns,3858
serialize,Serialize,,27,bytes,6894900.0,ns,4501
serialize,Serialize,,27,bytes,7880800.0,ns,5144
serialize,Serialize,,27,bytes,8857100.0,ns,5787
serialize,Serialize,,27,bytes,9880700.0,ns,6430
serialize,Serialize,,27,bytes,10871700.0,ns,7073
serialize,Serialize,,27,bytes,11871500.0,ns,7716
serialize,Serialize,,27,bytes,12862400.0,ns,8359
serialize,Serialize,,27,bytes,13838600.0,ns,9002
serialize,Serialize,,27,bytes,14826500.0,ns,9645
serialize,Serialize,,27,bytes,15797600.0,ns,10288
serialize,Serialize,,27,bytes,16813400.0,ns,10931
serialize,Serialize,,27,bytes,17781100.0,ns,11574
serialize,Serialize,,27,bytes,19030200.0,ns,12217
serialize,Serialize,,27,bytes,19747100.0,ns,12860
serialize,Serialize,,27,bytes,20728600.0,ns,13503
serialize,Serialize,,27,bytes,21726900.0,ns,14146
serialize,Serialize,,27,bytes,22734700.0,ns,14789
serialize,Serialize,,27,bytes,23721400.0,ns,15432
serialize,Serialize,,27,bytes,24718300.0,ns,16075
serialize,Serialize,,27,bytes,25688000.0,ns,16718
serialize,Serialize,,27,bytes,26687200.0,ns,17361
serialize,Serialize,,27,bytes,27671400.0,ns,18004
serialize,Serialize,,27,bytes,28670900.0,ns,18647
serialize,Serialize,,27,bytes,29666100.0,ns,19290
serialize,Serialize,,27,bytes,30647700.0,ns,19933
serialize,Serialize,,27,bytes,31634700.0,ns,20576
serialize,Serialize,,27,bytes,32615600.0,ns,21219
serialize,Serialize,,27,bytes,33608200.0,ns,21862
serialize,Serialize,,27,bytes,34584400.0,ns,22505
serialize,Serialize,,27,bytes,35609200.0,ns,23148
serialize,Serialize,,27,bytes,36551400.0,ns,23791
serialize,Serialize,,27,bytes,37708500.0,ns,24434
serialize,Serialize,,27,bytes,38691500.0,ns,25077
serialize,Serialize,,27,bytes,39514400.0,ns,25720
serialize,Serialize,,27,bytes,40637600.0,ns,26363
serialize,Serialize,,27,bytes,41616600.0,ns,27006
serialize,Serialize,,27,bytes,42540300.0,ns,27649
serialize,Serialize,,27,bytes,42971900.0,ns,28292
serialize,Serialize,,27,bytes,44278800.0,ns,28935
serialize,Serialize,,27,bytes,45611100.0,ns,29578
serialize,Serialize,,27,bytes,46467700.0,ns,30221
serialize,Serialize,,27,bytes,47443100.0,ns,30864
serialize,Serialize,,27,bytes,48696700.0,ns,31507
serialize,Serialize,,27,bytes,49406200.0,ns,32150
serialize,Serialize,,27,bytes,51745700.0,ns,32793
serialize,Serialize,,27,bytes,51360600.0,ns,33436
serialize,Serialize,,27,bytes,52358400.0,ns,34079
serialize,Serialize,,27,bytes,53346100.0,ns,34722
serialize,Serialize,,27,bytes,54339500.0,ns,35365
serialize,Serialize,,27,bytes,55324300.0,ns,36008
serialize,Serialize,,27,bytes,56342500.0,ns,36651
serialize,Serialize,,27,bytes,57310400.0,ns,37294
serialize,Serialize,,27,bytes,58566900.0,ns,37937
serialize,Serialize,,27,bytes,59483100.0,ns,38580
serialize,Serialize,,27,bytes,60411000.0,ns,39223
serialize,Serialize,,27,bytes,61398600.0,ns,39866
serialize,Serialize,,27,bytes,62365100.0,ns,40509
serialize,Serialize,,27,bytes,63371200.0,ns,41152
serialize,Serialize,,27,bytes,64410900.0,ns,41795
serialize,Serialize,,27,bytes,65629000.0,ns,42438
serialize,Serialize,,27,bytes,66197100.0,ns,43081
serialize,Serialize,,27,bytes,67046700.0,ns,43724
serialize,Serialize,,27,bytes,67921800.0,ns,44367
serialize,Serialize,,27,bytes,68872100.0,ns,45010
serialize,Serialize,,27,bytes,69846400.0,ns,45653
serialize,Serialize,,27,bytes,70239800.0,ns,46296
serialize,Serialize,,27,bytes,71004900.0,ns,46939
serialize,Serialize,,27,bytes,71738000.0,ns,47582
serialize,Serialize,,27,bytes,73021900.0,ns,48225
serialize,Serialize,,27,bytes,73716000.0,ns,48868
serialize,Serialize,,27,bytes,75139900.0,ns,49511
serialize,Serialize,,27,bytes,75808200.0,ns,50154
serialize,Serialize,,27,bytes,78498300.0,ns,50797
serialize,Serialize,,27,bytes,78961200.0,ns,51440
serialize,Serialize,,27,bytes,80200100.0,ns,52083
serialize,Serialize,,27,bytes,80247800.0,ns,52726
serialize,Serialize,,27,bytes,81953800.0,ns,53369
serialize,Serialize,,27,bytes,82298900.0,ns,54012
serialize,Serialize,,27,bytes,88496700.0,ns,54655
serialize,Serialize,,27,bytes,87737000.0,ns,55298
serialize,Serialize,,27,bytes,85937800.0,ns,55941
serialize,Serialize,,27,bytes,86539500.0,ns,56584
serialize,Serialize,,27,bytes,86463200.0,ns,57227
serialize,Serialize,,27,bytes,87435000.0,ns,57870
serialize,Serialize,,27,bytes,88851100.0,ns,58513
serialize,Serialize,,27,bytes,90989100.0,ns,59156
serialize,Serialize,,27,bytes,90998600.0,ns,59799
serialize,Serialize,,27,bytes,91262500.0,ns,60442
serialize,Serialize,,27,bytes,92197800.0,ns,61085
serialize,Serialize,,27,bytes,93206500.0,ns,61728
serialize,Serialize,,27,bytes,94309500.0,ns,62371
serialize,Serialize,,27,bytes,95508800.0,ns,63014
serialize,Serialize,,27,bytes,96244300.0,ns,63657
serialize,Serialize,,27,bytes,97199700.0,ns,64300
