group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort,,10,10,elements,991500.0,ns,68428
sort,,10,10,elements,1981300.0,ns,136856
sort,,10,10,elements,2971700.0,ns,205284
sort,,10,10,elements,3962300.0,ns,273712
sort,,10,10,elements,4952900.0,ns,342140
sort,,10,10,elements,5943400.0,ns,410568
sort,,10,10,elements,6943300.0,ns,478996
sort,,10,10,elements,7925000.0,ns,547424
sort,,10,10,elements,8915100.0,ns,615852
sort,,10,10,elements,9912000.0,ns,684280
sort,,10,10,elements,10896500.0,ns,752708
sort,,10,10,elements,11887000.0,ns,821136
sort,,10,10,elements,12839500.0,ns,889564
sort,,10,10,elements,13608800.0,ns,957992
sort,,10,10,elements,15043800.0,ns,1026420
sort,,10,10,elements,15613700.0,ns,1094848
sort,,10,10,elements,16651900.0,ns,1163276
sort,,10,10,elements,17581100.0,ns,1231704
sort,,10,10,elements,18654800.0,ns,1300132
sort,,10,10,elements,19461700.0,ns,1368560
sort,,10,10,elements,20396800.0,ns,1436988
sort,,10,10,elements,21377100.0,ns,1505416
sort,,10,10,elements,22499000.0,ns,1573844
sort,,10,10,elements,23376000.0,ns,1642272
sort,,10,10,elements,24369900.0,ns,1710700
sort,,10,10,elements,25363800.0,ns,1779128
sort,,10,10,elements,26292100.0,ns,1847556
sort,,10,10,elements,27349700.0,ns,1915984
sort,,10,10,elements,28283800.0,ns,1984412
sort,,10,10,elements,29195600.0,ns,2052840
sort,,10,10,elements,30328100.0,ns,2121268
sort,,10,10,elements,31121200.0,ns,2189696
sort,,10,10,elements,32381100.0,ns,2258124
sort,,10,10,elements,33118700.0,ns,2326552
sort,,10,10,elements,34072300.0,ns,2394980
sort,,10,10,elements,35046900.0,ns,2463408
sort,,10,10,elements,36282300.0,ns,2531836
sort,,10,10,elements,37042600.0,ns,2600264
sort,,10,10,elements,38014100.0,ns,2668692
sort,,10,10,elements,38990100.0,ns,2737120
sort,,10,10,elements,40089200.0,ns,2805548
sort,,10,10,elements,40947700.0,ns,2873976
sort,,10,10,elements,41908600.0,ns,2942404
sort,,10,10,elements,42936000.0,ns,3010832
sort,,10,10,elements,43862700.0,ns,3079260
sort,,10,10,elements,45034200.0,ns,3147688
sort,,10,10,elements,45814500.0,ns,3216116
sort,,10,10,elements,46971800.0,ns,3284544
sort,,10,10,elements,48534200.0,ns,3352972
sort,,10,10,elements,49537100.0,ns,3421400
sort,,10,10,elements,50487700.0,ns,3489828
sort,,10,10,elements,50679600.0,ns,3558256
sort,,10,10,elements,52009600.0,ns,3626684
sort,,10,10,elements,52954300.0,ns,3695112
sort,,10,10,elements,53840100.0,ns,3763540
sort,,10,10,elements,54647700.0,ns,3831968
sort,,10,10,elements,55538600.0,ns,3900396
sort,,10,10,elements,56639700.0,ns,3968824
sort,,10,10,elements,57585400.0,ns,4037252
sort,,10,10,elements,58395400.0,ns,4105680
sort,,10,10,elements,61221000.0,ns,4174108
sort,,10,10,elements,61091000.0,ns,4242536
sort,,10,10,elements,62446900.0,ns,4310964
sort,,10,10,elements,63412400.0,ns,4379392
sort,,10,10,elements,64120200.0,ns,4447820
sort,,10,10,elements,64659000.0,ns,4516248
sort,,10,10,elements,65416400.0,ns,4584676
sort,,10,10,elements,66753500.0,ns,4653104
sort,,10,10,elements,67471900.0,ns,4721532
sort,,10,10,elements,68375400.0,ns,4789960
sort,,10,10,elements,69460800.0,ns,4858388
sort,,10,10,elements,70306600.0,ns,4926816
sort,,10,10,elements,71258700.0,ns,4995244
sort,,10,10,elements,72327000.0,ns,5063672
sort,,10,10,elements,73856700.0,ns,5132100
sort,,10,10,elements,75317100.0,ns,5200528
sort,,10,10,elements,76303100.0,ns,5268956
sort,,10,10,elements,76716400.0,ns,5337384
sort,,10,10,elements,77070900.0,ns,5405812
sort,,10,10,elements,78332700.0,ns,5474240
sort,,10,10,elements,78752600.0,ns,5542668
sort,,10,10,elements,80105300.0,ns,5611096
sort,,10,10,elements,81722400.0,ns,5679524
sort,,10,10,elements,82976800.0,ns,5747952
sort,,10,10,elements,83266500.0,ns,5816380
sort,,10,10,elements,86621900.0,ns,5884808
sort,,10,10,elements,86821400.0,ns,5953236
sort,,10,10,elements,87203500.0,ns,6021664
sort,,10,10,elements,88221800.0,ns,6090092
sort,,10,10,elements,89188400.0,ns,6158520
sort,,10,10,elements,89908900.0,ns,6226948
sort,,10,10,elements,89867100.0,ns,6295376
sort,,10,10,elements,90765000.0,ns,6363804
sort,,10,10,elements,91706800.0,ns,6432232
sort,,10,10,elements,92826300.0,ns,6500660
sort,,10,10,elements,93841500.0,ns,6569088
sort,,10,10,elements,94698300.0,ns,6637516
sort,,10,10,elements,95550400.0,ns,6705944
sort,,10,10,elements,98122200.0,ns,6774372
sort,,10,10,elements,99117000.0,ns,6842800
