group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort,,100000,100000,elements,1021000.0,ns,10
sort,,100000,100000,elements,1962000.0,ns,20
sort,,100000,100000,elements,3025500.0,ns,30
sort,,100000,100000,elements,3952200.0,ns,40
sort,,100000,100000,elements,4994900.0,ns,50
sort,,100000,100000,elements,5913100.0,ns,60
sort,,100000,100000,elements,6914600.0,ns,70
sort,,100000,100000,elements,7850000.0,ns,80
sort,,100000,100000,elements,8859800.0,ns,90
sort,,100000,100000,elements,9849600.0,ns,100
sort,,100000,100000,elements,10853400.0,ns,110
sort,,100000,100000,elements,11845800.0,ns,120
sort,,100000,100000,elements,12842700.0,ns,130
sort,,100000,100000,elements,13867100.0,ns,140
sort,,100000,100000,elements,14833800.0,ns,150
sort,,100000,100000,elements,15772900.0,ns,160
sort,,100000,100000,elements,16778100.0,ns,170
sort,,100000,100000,elements,17781500.0,ns,180
sort,,100000,100000,elements,18740000.0,ns,190
sort,,100000,100000,elements,19750500.0,ns,200
sort,,100000,100000,elements,20746000.0,ns,210
sort,,100000,100000,elements,21435500.0,ns,220
sort,,100000,100000,elements,22684600.0,ns,230
sort,,100000,100000,elements,23596700.0,ns,240
sort,,100000,100000,elements,24600100.0,ns,250
sort,,100000,100000,elements,25619400.0,ns,260
sort,,100000,100000,elements,26707900.0,ns,270
sort,,100000,100000,elements,27674700.0,ns,280
sort,,100000,100000,elements,28621100.0,ns,290
sort,,100000,100000,elements,29695300.0,ns,300
sort,,100000,100000,elements,30940400.0,ns,310
sort,,100000,100000,elements,31584900.0,ns,320
sort,,100000,100000,elements,32457100.0,ns,330
sort,,100000,100000,elements,33610600.0,ns,340
sort,,100000,100000,elements,34554200.0,ns,350
sort,,100000,100000,elements,35401900.0,ns,360
sort,,100000,100000,elements,36603000.0,ns,370
sort,,100000,100000,elements,37495400.0,ns,380
sort,,100000,100000,elements,38532000.0,ns,390
sort,,100000,100000,elements,39389800.0,ns,400
sort,,100000,100000,elements,40308000.0,ns,410
sort,,100000,100000,elements,41453500.0,ns,420
sort,,100000,100000,elements,42339300.0,ns,430
sort,,100000,100000,elements,43423000.0,ns,440
sort,,100000,100000,elements,44412000.0,ns,450
sort,,100000,100000,elements,45382600.0,ns,460
sort,,100000,100000,elements,46340500.0,ns,470
sort,,100000,100000,elements,47315300.0,ns,480
sort,,100000,100000,elements,48307900.0,ns,490
sort,,100000,100000,elements,49262800.0,ns,500
sort,,100000,100000,elements,50262000.0,ns,510
sort,,100000,100000,elements,51200600.0,ns,520
sort,,100000,100000,elements,52278600.0,ns,530
sort,,100000,100000,elements,53391700.0,ns,540
sort,,100000,100000,elements,54178800.0,ns,550
sort,,100000,100000,elements,55144000.0,ns,560
sort,,100000,100000,elements,56276300.0,ns,570
sort,,100000,100000,elements,57269800.0,ns,580
sort,,100000,100000,elements,58196600.0,ns,590
sort,,100000,100000,elements,59022200.0,ns,600
sort,,100000,100000,elements,60192300.0,ns,610
sort,,100000,100000,elements,61226400.0,ns,620
sort,,100000,100000,elements,62187000.0,ns,630
sort,,100000,100000,elements,63328400.0,ns,640
sort,,100000,100000,elements,64119400.0,ns,650
sort,,100000,100000,elements,66222300.0,ns,660
sort,,100000,100000,elements,66434800.0,ns,670
sort,,100000,100000,elements,67899900.0,ns,680
sort,,100000,100000,elements,68477000.0,ns,690
sort,,100000,100000,elements,69001100.0,ns,700
sort,,100000,100000,elements,70453600.0,ns,710
sort,,100000,100000,elements,71078400.0,ns,720
sort,,100000,100000,elements,71989500.0,ns,730
sort,,100000,100000,elements,73352000.0,ns,740
sort,,100000,100000,elements,73978600.0,ns,750
sort,,100000,100000,elements,74985200.0,ns,760
sort,,100000,100000,elements,76208400.0,ns,770
sort,,100000,100000,elements,77138600.0,ns,780
sort,,100000,100000,elements,77983700.0,ns,790
sort,,100000,100000,elements,78800200.0,ns,800
sort,,100000,100000,elements,79920300.0,ns,810
sort,,100000,100000,elements,81014700.0,ns,820
sort,,100000,100000,elements,82006000.0,ns,830
sort,,100000,100000,elements,83043200.0,ns,840
sort,,100000,100000,elements,83793000.0,ns,850
sort,,100000,100000,elements,85261000.0,ns,860
sort,,100000,100000,elements,85974900.0,ns,870
sort,,100000,100000,elements,87001200.0,ns,880
sort,,100000,100000,elements,87989200.0,ns,890
sort,,100000,100000,elements,88675500.0,ns,900
sort,,100000,100000,elements,89883300.0,ns,910
sort,,100000,100000,elements,90665100.0,ns,920
sort,,100000,100000,elements,91618800.0,ns,930
sort,,100000,100000,elements,92692500.0,ns,940
sort,,100000,100000,elements,93886400.0,ns,950
sort,,100000,100000,elements,94626300.0,ns,960
sort,,100000,100000,elements,95925400.0,ns,970
sort,,100000,100000,elements,96864900.0,ns,980
sort,,100000,100000,elements,97635900.0,ns,990
sort,,100000,100000,elements,98703100.0,ns,1000
