group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort,Sort,10000,10000,elements,992700.0,ns,131
sort,Sort,10000,10000,elements,1962100.0,ns,262
sort,Sort,10000,10000,elements,2977000.0,ns,393
sort,Sort,10000,10000,elements,3960200.0,ns,524
sort,Sort,10000,10000,elements,4924200.0,ns,655
sort,Sort,10000,10000,elements,5902000.0,ns,786
sort,Sort,10000,10000,elements,6962200.0,ns,917
sort,Sort,10000,10000,elements,7850700.0,ns,1048
sort,Sort,10000,10000,elements,8884700.0,ns,1179
sort,Sort,10000,10000,elements,9965900.0,ns,1310
sort,Sort,10000,10000,elements,10911100.0,ns,1441
sort,Sort,10000,10000,elements,11762300.0,ns,1572
sort,Sort,10000,10000,elements,12864200.0,ns,1703
sort,Sort,10000,10000,elements,13750900.0,ns,1834
sort,Sort,10000,10000,elements,14810800.0,ns,1965
sort,Sort,10000,10000,elements,15670600.0,ns,2096
sort,Sort,10000,10000,elements,16858000.0,ns,2227
sort,Sort,10000,10000,elements,17688200.0,ns,2358
sort,Sort,10000,10000,elements,18661300.0,ns,2489
sort,Sort,10000,10000,elements,19617900.0,ns,2620
sort,Sort,10000,10000,elements,20664900.0,ns,2751
sort,Sort,10000,10000,elements,21582700.0,ns,2882
sort,Sort,10000,10000,elements,22697800.0,ns,3013
sort,Sort,10000,10000,elements,23579300.0,ns,3144
sort,Sort,10000,10000,elements,24509100.0,ns,3275
sort,Sort,10000,10000,elements,25763400.0,ns,3406
sort,Sort,10000,10000,elements,26506100.0,ns,3537
sort,Sort,10000,10000,elements,27416800.0,ns,3668
sort,Sort,10000,10000,elements,28479100.0,ns,3799
sort,Sort,10000,10000,elements,29506300.0,ns,3930
sort,Sort,10000,10000,elements,30392100.0,ns,4061
sort,Sort,10000,10000,elements,31788600.0,ns,4192
sort,Sort,10000,10000,elements,32477000.0,ns,4323
sort,Sort,10000,10000,elements,33597200.0,ns,4454
sort,Sort,10000,10000,elements,34561000.0,ns,4585
sort,Sort,10000,10000,elements,35479300.0,ns,4716
sort,Sort,10000,10000,elements,36338400.0,ns,4847
sort,Sort,10000,10000,elements,37368300.0,ns,4978
sort,Sort,10000,10000,elements,38468700.0,ns,5109
sort,Sort,10000,10000,elements,39454300.0,ns,5240
sort,Sort,10000,10000,elements,40134000.0,ns,5371
sort,Sort,10000,10000,elements,41348900.0,ns,5502
sort,Sort,10000,10000,elements,43856000.0,ns,5633
sort,Sort,10000,10000,elements,43431300.0,ns,5764
sort,Sort,10000,10000,elements,44692100.0,ns,5895
sort,Sort,10000,10000,elements,45826700.0,ns,6026
sort,Sort,10000,10000,elements,46501700.0,ns,6157
sort,Sort,10000,10000,elements,47254100.0,ns,6288
