group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort,Sort,50000,50000,elements,1020600.0,ns,24
sort,Sort,50000,50000,elements,2039800.0,ns,48
sort,Sort,50000,50000,elements,3019500.0,ns,72
sort,Sort,50000,50000,elements,4036800.0,ns,96
sort,Sort,50000,50000,elements,5045800.0,ns,120
sort,Sort,50000,50000,elements,6068200.0,ns,144
sort,Sort,50000,50000,elements,7065400.0,ns,168
sort,Sort,50000,50000,elements,8087300.0,ns,192
sort,Sort,50000,50000,elements,9073800.0,ns,216
sort,Sort,50000,50000,elements,10097600.0,ns,240
sort,Sort,50000,50000,elements,11091600.0,ns,264
sort,Sort,50000,50000,elements,12091200.0,ns,288
sort,Sort,50000,50000,elements,13140800.0,ns,312
sort,Sort,50000,50000,elements,14102400.0,ns,336
sort,Sort,50000,50000,elements,15108000.0,ns,360
sort,Sort,50000,50000,elements,16116000.0,ns,384
sort,Sort,50000,50000,elements,17120800.0,ns,408
sort,Sort,50000,50000,elements,18114600.0,ns,432
sort,Sort,50000,50000,elements,19125100.0,ns,456
sort,Sort,50000,50000,elements,20109100.0,ns,480
sort,Sort,50000,50000,elements,21133800.0,ns,504
sort,Sort,50000,50000,elements,22151400.0,ns,528
sort,Sort,50000,50000,elements,23142400.0,ns,552
sort,Sort,50000,50000,elements,24171800.0,ns,576
sort,Sort,50000,50000,elements,25130300.0,ns,600
sort,Sort,50000,50000,elements,26155500.0,ns,624
sort,Sort,50000,50000,elements,27148700.0,ns,648
sort,Sort,50000,50000,elements,28884400.0,ns,672
sort,Sort,50000,50000,elements,29520800.0,ns,696
sort,Sort,50000,50000,elements,30352800.0,ns,720
sort,Sort,50000,50000,elements,31200800.0,ns,744
sort,Sort,50000,50000,elements,32213900.0,ns,768
sort,Sort,50000,50000,elements,33197300.0,ns,792
sort,Sort,50000,50000,elements,34318700.0,ns,816
sort,Sort,50000,50000,elements,35388600.0,ns,840
sort,Sort,50000,50000,elements,36317100.0,ns,864
sort,Sort,50000,50000,elements,37301300.0,ns,888
sort,Sort,50000,50000,elements,38349200.0,ns,912
sort,Sort,50000,50000,elements,39331100.0,ns,936
sort,Sort,50000,50000,elements,40348800.0,ns,960
sort,Sort,50000,50000,elements,41351200.0,ns,984
sort,Sort,50000,50000,elements,42357000.0,ns,1008
sort,Sort,50000,50000,elements,43297800.0,ns,1032
sort,Sort,50000,50000,elements,44266600.0,ns,1056
sort,Sort,50000,50000,elements,45529500.0,ns,1080
sort,Sort,50000,50000,elements,46389300.0,ns,1104
sort,Sort,50000,50000,elements,47343200.0,ns,1128
sort,Sort,50000,50000,elements,48349800.0,ns,1152
sort,Sort,50000,50000,elements,49446300.0,ns,1176
sort,Sort,50000,50000,elements,50445500.0,ns,1200
sort,Sort,50000,50000,elements,51384400.0,ns,1224
sort,Sort,50000,50000,elements,52387600.0,ns,1248
sort,Sort,50000,50000,elements,53415100.0,ns,1272
sort,Sort,50000,50000,elements,54496100.0,ns,1296
sort,Sort,50000,50000,elements,57851200.0,ns,1320
sort,Sort,50000,50000,elements,57876900.0,ns,1344
sort,Sort,50000,50000,elements,58853900.0,ns,1368
sort,Sort,50000,50000,elements,60073800.0,ns,1392
sort,Sort,50000,50000,elements,60961800.0,ns,1416
sort,Sort,50000,50000,elements,61657500.0,ns,1440
sort,Sort,50000,50000,elements,62700200.0,ns,1464
sort,Sort,50000,50000,elements,63856200.0,ns,1488
sort,Sort,50000,50000,elements,64487000.0,ns,1512
sort,Sort,50000,50000,elements,65413200.0,ns,1536
sort,Sort,50000,50000,elements,66405000.0,ns,1560
sort,Sort,50000,50000,elements,67480200.0,ns,1584
sort,Sort,50000,50000,elements,69564300.0,ns,1608
sort,Sort,50000,50000,elements,70044200.0,ns,1632
sort,Sort,50000,50000,elements,70590400.0,ns,1656
sort,Sort,50000,50000,elements,71367300.0,ns,1680
sort,Sort,50000,50000,elements,72579800.0,ns,1704
sort,Sort,50000,50000,elements,73746600.0,ns,1728
sort,Sort,50000,50000,elements,75387400.0,ns,1752
sort,Sort,50000,50000,elements,76446000.0,ns,1776
sort,Sort,50000,50000,elements,76544900.0,ns,1800
sort,Sort,50000,50000,elements,77456100.0,ns,1824
sort,Sort,50000,50000,elements,78691900.0,ns,1848
sort,Sort,50000,50000,elements,79537700.0,ns,1872
sort,Sort,50000,50000,elements,80755400.0,ns,1896
sort,Sort,50000,50000,elements,81587000.0,ns,1920
sort,Sort,50000,50000,elements,82642000.0,ns,1944
sort,Sort,50000,50000,elements,83604300.0,ns,1968
sort,Sort,50000,50000,elements,85893500.0,ns,1992
sort,Sort,50000,50000,elements,86132400.0,ns,2016
sort,Sort,50000,50000,elements,87701100.0,ns,2040
sort,Sort,50000,50000,elements,93181400.0,ns,2064
sort,Sort,50000,50000,elements,89954200.0,ns,2088
sort,Sort,50000,50000,elements,90966600.0,ns,2112
sort,Sort,50000,50000,elements,91727100.0,ns,2136
sort,Sort,50000,50000,elements,92591900.0,ns,2160
sort,Sort,50000,50000,elements,93720900.0,ns,2184
sort,Sort,50000,50000,elements,94080100.0,ns,2208
sort,Sort,50000,50000,elements,94491000.0,ns,2232
sort,Sort,50000,50000,elements,95918300.0,ns,2256
sort,Sort,50000,50000,elements,96950500.0,ns,2280
sort,Sort,50000,50000,elements,97872300.0,ns,2304
sort,Sort,50000,50000,elements,98906500.0,ns,2328
sort,Sort,50000,50000,elements,99741800.0,ns,2352
sort,Sort,50000,50000,elements,100993600.0,ns,2376
sort,Sort,50000,50000,elements,110194900.0,ns,2400
