group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort,Unstable,10,10,elements,984200.0,ns,88985
sort,Unstable,10,10,elements,2002600.0,ns,177970
sort,Unstable,10,10,elements,2949400.0,ns,266955
sort,Unstable,10,10,elements,3965400.0,ns,355940
sort,Unstable,10,10,elements,4977000.0,ns,444925
sort,Unstable,10,10,elements,5898800.0,ns,533910
sort,Unstable,10,10,elements,6978900.0,ns,622895
sort,Unstable,10,10,elements,7958100.0,ns,711880
sort,Unstable,10,10,elements,9192900.0,ns,800865
sort,Unstable,10,10,elements,9870800.0,ns,889850
sort,Unstable,10,10,elements,10814100.0,ns,978835
sort,Unstable,10,10,elements,11824900.0,ns,1067820
sort,Unstable,10,10,elements,12823300.0,ns,1156805
sort,Unstable,10,10,elements,13800400.0,ns,1245790
sort,Unstable,10,10,elements,14864400.0,ns,1334775
sort,Unstable,10,10,elements,15729300.0,ns,1423760
sort,Unstable,10,10,elements,16838200.0,ns,1512745
sort,Unstable,10,10,elements,17888900.0,ns,1601730
sort,Unstable,10,10,elements,18719400.0,ns,1690715
sort,Unstable,10,10,elements,19701100.0,ns,1779700
sort,Unstable,10,10,elements,20707700.0,ns,1868685
sort,Unstable,10,10,elements,21691600.0,ns,1957670
sort,Unstable,10,10,elements,22747400.0,ns,2046655
sort,Unstable,10,10,elements,23872300.0,ns,2135640
sort,Unstable,10,10,elements,24604900.0,ns,2224625
sort,Unstable,10,10,elements,25687800.0,ns,2313610
sort,Unstable,10,10,elements,26648800.0,ns,2402595
sort,Unstable,10,10,elements,27591200.0,ns,2491580
sort,Unstable,10,10,elements,29280300.0,ns,2580565
sort,Unstable,10,10,elements,29772800.0,ns,2669550
sort,Unstable,10,10,elements,30634200.0,ns,2758535
sort,Unstable,10,10,elements,31592200.0,ns,2847520
sort,Unstable,10,10,elements,32689800.0,ns,2936505
sort,Unstable,10,10,elements,33521500.0,ns,3025490
sort,Unstable,10,10,elements,34668200.0,ns,3114475
sort,Unstable,10,10,elements,35522000.0,ns,3203460
sort,Unstable,10,10,elements,36505200.0,ns,3292445
sort,Unstable,10,10,elements,37660600.0,ns,3381430
sort,Unstable,10,10,elements,38608500.0,ns,3470415
sort,Unstable,10,10,elements,39544000.0,ns,3559400
sort,Unstable,10,10,elements,40453300.0,ns,3648385
sort,Unstable,10,10,elements,41475500.0,ns,3737370
sort,Unstable,10,10,elements,42536600.0,ns,3826355
sort,Unstable,10,10,elements,43705100.0,ns,3915340
sort,Unstable,10,10,elements,44517700.0,ns,4004325
sort,Unstable,10,10,elements,45993800.0,ns,4093310
sort,Unstable,10,10,elements,47201300.0,ns,4182295
sort,Unstable,10,10,elements,47883800.0,ns,4271280
sort,Unstable,10,10,elements,48425200.0,ns,4360265
sort,Unstable,10,10,elements,49289900.0,ns,4449250
sort,Unstable,10,10,elements,50348400.0,ns,4538235
sort,Unstable,10,10,elements,51233900.0,ns,4627220
sort,Unstable,10,10,elements,52212500.0,ns,4716205
sort,Unstable,10,10,elements,53301900.0,ns,4805190
sort,Unstable,10,10,elements,54415300.0,ns,4894175
sort,Unstable,10,10,elements,55428500.0,ns,4983160
sort,Unstable,10,10,elements,56215100.0,ns,5072145
sort,Unstable,10,10,elements,57211600.0,ns,5161130
sort,Unstable,10,10,elements,58152200.0,ns,5250115
sort,Unstable,10,10,elements,59258400.0,ns,5339100
sort,Unstable,10,10,elements,60133200.0,ns,5428085
sort,Unstable,10,10,elements,61226300.0,ns,5517070
sort,Unstable,10,10,elements,62320800.0,ns,5606055
sort,Unstable,10,10,elements,63367100.0,ns,5695040
sort,Unstable,10,10,elements,64282600.0,ns,5784025
sort,Unstable,10,10,elements,65221000.0,ns,5873010
sort,Unstable,10,10,elements,66138200.0,ns,5961995
sort,Unstable,10,10,elements,67220100.0,ns,6050980
sort,Unstable,10,10,elements,68060800.0,ns,6139965
sort,Unstable,10,10,elements,69141400.0,ns,6228950
sort,Unstable,10,10,elements,70114400.0,ns,6317935
sort,Unstable,10,10,elements,71149000.0,ns,6406920
sort,Unstable,10,10,elements,72355700.0,ns,6495905
sort,Unstable,10,10,elements,73007400.0,ns,6584890
sort,Unstable,10,10,elements,74089100.0,ns,6673875
sort,Unstable,10,10,elements,75050700.0,ns,6762860
sort,Unstable,10,10,elements,76245700.0,ns,6851845
sort,Unstable,10,10,elements,77213200.0,ns,6940830
sort,Unstable,10,10,elements,77961700.0,ns,7029815
sort,Unstable,10,10,elements,79213600.0,ns,7118800
sort,Unstable,10,10,elements,79938300.0,ns,7207785
sort,Unstable,10,10,elements,80984600.0,ns,7296770
sort,Unstable,10,10,elements,81954000.0,ns,7385755
sort,Unstable,10,10,elements,82885400.0,ns,7474740
sort,Unstable,10,10,elements,84136800.0,ns,7563725
sort,Unstable,10,10,elements,85017300.0,ns,7652710
sort,Unstable,10,10,elements,85840800.0,ns,7741695
sort,Unstable,10,10,elements,86916900.0,ns,7830680
sort,Unstable,10,10,elements,88029700.0,ns,7919665
sort,Unstable,10,10,elements,89138000.0,ns,8008650
sort,Unstable,10,10,elements,90124700.0,ns,8097635
sort,Unstable,10,10,elements,91060400.0,ns,8186620
sort,Unstable,10,10,elements,91941000.0,ns,8275605
sort,Unstable,10,10,elements,92797600.0,ns,8364590
sort,Unstable,10,10,elements,94898300.0,ns,8453575
sort,Unstable,10,10,elements,94944600.0,ns,8542560
sort,Unstable,10,10,elements,95595600.0,ns,8631545
sort,Unstable,10,10,elements,96718500.0,ns,8720530
sort,Unstable,10,10,elements,97848200.0,ns,8809515
sort,Unstable,10,10,elements,99158500.0,ns,8898500
