group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort,Unstable,100,100,elements,997100.0,ns,11881
sort,Unstable,100,100,elements,1992100.0,ns,23762
sort,Unstable,100,100,elements,2989000.0,ns,35643
sort,Unstable,100,100,elements,3985500.0,ns,47524
sort,Unstable,100,100,elements,4978300.0,ns,59405
sort,Unstable,100,100,elements,5981500.0,ns,71286
sort,Unstable,100,100,elements,6971200.0,ns,83167
sort,Unstable,100,100,elements,7970100.0,ns,95048
sort,Unstable,100,100,elements,8974200.0,ns,106929
sort,Unstable,100,100,elements,9969400.0,ns,118810
sort,Unstable,100,100,elements,10951400.0,ns,130691
sort,Unstable,100,100,elements,11958100.0,ns,142572
sort,Unstable,100,100,elements,12941200.0,ns,154453
sort,Unstable,100,100,elements,13939300.0,ns,166334
sort,Unstable,100,100,elements,14943300.0,ns,178215
sort,Unstable,100,100,elements,15948500.0,ns,190096
sort,Unstable,100,100,elements,16889900.0,ns,201977
sort,Unstable,100,100,elements,17832900.0,ns,213858
sort,Unstable,100,100,elements,18833300.0,ns,225739
sort,Unstable,100,100,elements,19822900.0,ns,237620
sort,Unstable,100,100,elements,20790400.0,ns,249501
sort,Unstable,100,100,elements,21788300.0,ns,261382
sort,Unstable,100,100,elements,22769600.0,ns,273263
sort,Unstable,100,100,elements,23785200.0,ns,285144
sort,Unstable,100,100,elements,24772400.0,ns,297025
sort,Unstable,100,100,elements,25306700.0,ns,308906
sort,Unstable,100,100,elements,26558900.0,ns,320787
sort,Unstable,100,100,elements,27284500.0,ns,332668
sort,Unstable,100,100,elements,29124500.0,ns,344549
sort,Unstable,100,100,elements,29767000.0,ns,356430
sort,Unstable,100,100,elements,30737400.0,ns,368311
sort,Unstable,100,100,elements,31706700.0,ns,380192
sort,Unstable,100,100,elements,32748500.0,ns,392073
sort,Unstable,100,100,elements,33670400.0,ns,403954
sort,Unstable,100,100,elements,34689700.0,ns,415835
sort,Unstable,100,100,elements,35687200.0,ns,427716
sort,Unstable,100,100,elements,36704800.0,ns,439597
sort,Unstable,100,100,elements,37522500.0,ns,451478
sort,Unstable,100,100,elements,38242800.0,ns,463359
sort,Unstable,100,100,elements,39211000.0,ns,475240
sort,Unstable,100,100,elements,40488700.0,ns,487121
sort,Unstable,100,100,elements,41647100.0,ns,499002
sort,Unstable,100,100,elements,42596700.0,ns,510883
sort,Unstable,100,100,elements,43637600.0,ns,522764
sort,Unstable,100,100,elements,44567000.0,ns,534645
sort,Unstable,100,100,elements,46643300.0,ns,546526
sort,Unstable,100,100,elements,45802100.0,ns,558407
sort,Unstable,100,100,elements,47486200.0,ns,570288
sort,Unstable,100,100,elements,48517700.0,ns,582169
sort,Unstable,100,100,elements,49539000.0,ns,594050
sort,Unstable,100,100,elements,50546400.0,ns,605931
sort,Unstable,100,100,elements,51520600.0,ns,617812
sort,Unstable,100,100,elements,52501000.0,ns,629693
sort,Unstable,100,100,elements,53476000.0,ns,641574
sort,Unstable,100,100,elements,54430500.0,ns,653455
sort,Unstable,100,100,elements,54510100.0,ns,665336
sort,Unstable,100,100,elements,55593900.0,ns,677217
sort,Unstable,100,100,elements,56815000.0,ns,689098
sort,Unstable,100,100,elements,57389800.0,ns,700979
sort,Unstable,100,100,elements,58559100.0,ns,712860
sort,Unstable,100,100,elements,62361200.0,ns,724741
sort,Unstable,100,100,elements,60979600.0,ns,736622
sort,Unstable,100,100,elements,62413100.0,ns,748503
sort,Unstable,100,100,elements,63267800.0,ns,760384
sort,Unstable,100,100,elements,63912000.0,ns,772265
sort,Unstable,100,100,elements,65415700.0,ns,784146
sort,Unstable,100,100,elements,66415200.0,ns,796027
sort,Unstable,100,100,elements,67396100.0,ns,807908
sort,Unstable,100,100,elements,68473200.0,ns,819789
sort,Unstable,100,100,elements,69419700.0,ns,831670
sort,Unstable,100,100,elements,70373200.0,ns,843551
sort,Unstable,100,100,elements,71411500.0,ns,855432
sort,Unstable,100,100,elements,72363800.0,ns,867313
sort,Unstable,100,100,elements,73363400.0,ns,879194
sort,Unstable,100,100,elements,74367900.0,ns,891075
sort,Unstable,100,100,elements,75333900.0,ns,902956
sort,Unstable,100,100,elements,76413000.0,ns,914837
sort,Unstable,100,100,elements,77245400.0,ns,926718
sort,Unstable,100,100,elements,78292400.0,ns,938599
sort,Unstable,100,100,elements,79149700.0,ns,950480
sort,Unstable,100,100,elements,79880000.0,ns,962361
sort,Unstable,100,100,elements,81015700.0,ns,974242
sort,Unstable,100,100,elements,81912600.0,ns,986123
sort,Unstable,100,100,elements,83609500.0,ns,998004
sort,Unstable,100,100,elements,84715600.0,ns,1009885
sort,Unstable,100,100,elements,85492100.0,ns,1021766
sort,Unstable,100,100,elements,86345000.0,ns,1033647
sort,Unstable,100,100,elements,86835500.0,ns,1045528
sort,Unstable,100,100,elements,88046300.0,ns,1057409
sort,Unstable,100,100,elements,88804300.0,ns,1069290
sort,Unstable,100,100,elements,89823400.0,ns,1081171
sort,Unstable,100,100,elements,90731400.0,ns,1093052
sort,Unstable,100,100,elements,91681800.0,ns,1104933
sort,Unstable,100,100,elements,93099100.0,ns,1116814
sort,Unstable,100,100,elements,94221900.0,ns,1128695
sort,Unstable,100,100,elements,95246500.0,ns,1140576
sort,Unstable,100,100,elements,96059300.0,ns,1152457
sort,Unstable,100,100,elements,96436300.0,ns,1164338
sort,Unstable,100,100,elements,98314300.0,ns,1176219
sort,Unstable,100,100,elements,99600100.0,ns,1188100
