group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sort_unstable,,100,100,elements,1012700.0,ns,11790
sort_unstable,,100,100,elements,1965600.0,ns,23580
sort_unstable,,100,100,elements,3028900.0,ns,35370
sort_unstable,,100,100,elements,3907700.0,ns,47160
sort_unstable,,100,100,elements,4930400.0,ns,58950
sort_unstable,,100,100,elements,5919800.0,ns,70740
sort_unstable,,100,100,elements,6900400.0,ns,82530
sort_unstable,,100,100,elements,7871500.0,ns,94320
sort_unstable,,100,100,elements,8959900.0,ns,106110
sort_unstable,,100,100,elements,9895600.0,ns,117900
sort_unstable,,100,100,elements,10934900.0,ns,129690
sort_unstable,,100,100,elements,11944200.0,ns,141480
sort_unstable,,100,100,elements,12774400.0,ns,153270
sort_unstable,,100,100,elements,13812600.0,ns,165060
sort_unstable,,100,100,elements,14731700.0,ns,176850
sort_unstable,,100,100,elements,15705300.0,ns,188640
sort_unstable,,100,100,elements,16753100.0,ns,200430
sort_unstable,,100,100,elements,17757500.0,ns,212220
sort_unstable,,100,100,elements,18736600.0,ns,224010
sort_unstable,,100,100,elements,19625900.0,ns,235800
sort_unstable,,100,100,elements,20655800.0,ns,247590
sort_unstable,,100,100,elements,21677800.0,ns,259380
sort_unstable,,100,100,elements,22613500.0,ns,271170
sort_unstable,,100,100,elements,23710000.0,ns,282960
sort_unstable,,100,100,elements,24648200.0,ns,294750
sort_unstable,,100,100,elements,25677700.0,ns,306540
sort_unstable,,100,100,elements,26612200.0,ns,318330
sort_unstable,,100,100,elements,27603400.0,ns,330120
sort_unstable,,100,100,elements,28556300.0,ns,341910
sort_unstable,,100,100,elements,29476600.0,ns,353700
sort_unstable,,100,100,elements,30649800.0,ns,365490
sort_unstable,,100,100,elements,31632600.0,ns,377280
sort_unstable,,100,100,elements,32731900.0,ns,389070
sort_unstable,,100,100,elements,33785100.0,ns,400860
sort_unstable,,100,100,elements,34498300.0,ns,412650
sort_unstable,,100,100,elements,35436300.0,ns,424440
sort_unstable,,100,100,elements,36559700.0,ns,436230
sort_unstable,,100,100,elements,37436500.0,ns,448020
sort_unstable,,100,100,elements,38443700.0,ns,459810
sort_unstable,,100,100,elements,39425300.0,ns,471600
sort_unstable,,100,100,elements,40353800.0,ns,483390
sort_unstable,,100,100,elements,41239500.0,ns,495180
sort_unstable,,100,100,elements,42451800.0,ns,506970
sort_unstable,,100,100,elements,43486300.0,ns,518760
sort_unstable,,100,100,elements,44466100.0,ns,530550
sort_unstable,,100,100,elements,45468000.0,ns,542340
sort_unstable,,100,100,elements,46512400.0,ns,554130
sort_unstable,,100,100,elements,47228300.0,ns,565920
sort_unstable,,100,100,elements,48363000.0,ns,577710
sort_unstable,,100,100,elements,49172400.0,ns,589500
sort_unstable,,100,100,elements,50200200.0,ns,601290
sort_unstable,,100,100,elements,51192200.0,ns,613080
sort_unstable,,100,100,elements,52249800.0,ns,624870
sort_unstable,,100,100,elements,53133100.0,ns,636660
sort_unstable,,100,100,elements,54249400.0,ns,648450
sort_unstable,,100,100,elements,55265200.0,ns,660240
sort_unstable,,100,100,elements,56201200.0,ns,672030
sort_unstable,,100,100,elements,57324800.0,ns,683820
sort_unstable,,100,100,elements,58168600.0,ns,695610
sort_unstable,,100,100,elements,59082400.0,ns,707400
sort_unstable,,100,100,elements,60031000.0,ns,719190
sort_unstable,,100,100,elements,61086600.0,ns,730980
sort_unstable,,100,100,elements,62049500.0,ns,742770
sort_unstable,,100,100,elements,63264800.0,ns,754560
sort_unstable,,100,100,elements,64448100.0,ns,766350
sort_unstable,,100,100,elements,64970300.0,ns,778140
sort_unstable,,100,100,elements,65972100.0,ns,789930
sort_unstable,,100,100,elements,67236800.0,ns,801720
sort_unstable,,100,100,elements,68025900.0,ns,813510
sort_unstable,,100,100,elements,69179100.0,ns,825300
sort_unstable,,100,100,elements,69974600.0,ns,837090
sort_unstable,,100,100,elements,70919100.0,ns,848880
sort_unstable,,100,100,elements,71849800.0,ns,860670
sort_unstable,,100,100,elements,74037100.0,ns,872460
sort_unstable,,100,100,elements,74719700.0,ns,884250
sort_unstable,,100,100,elements,76298300.0,ns,896040
sort_unstable,,100,100,elements,77176500.0,ns,907830
sort_unstable,,100,100,elements,78168800.0,ns,919620
sort_unstable,,100,100,elements,79173400.0,ns,931410
sort_unstable,,100,100,elements,79966700.0,ns,943200
sort_unstable,,100,100,elements,81189800.0,ns,954990
sort_unstable,,100,100,elements,82204900.0,ns,966780
sort_unstable,,100,100,elements,82637400.0,ns,978570
sort_unstable,,100,100,elements,82970200.0,ns,990360
sort_unstable,,100,100,elements,84155300.0,ns,1002150
sort_unstable,,100,100,elements,84857000.0,ns,1013940
sort_unstable,,100,100,elements,85706900.0,ns,1025730
sort_unstable,,100,100,elements,86669900.0,ns,1037520
sort_unstable,,100,100,elements,87621600.0,ns,1049310
sort_unstable,,100,100,elements,89106400.0,ns,1061100
sort_unstable,,100,100,elements,89674700.0,ns,1072890
sort_unstable,,100,100,elements,90629600.0,ns,1084680
sort_unstable,,100,100,elements,91582500.0,ns,1096470
sort_unstable,,100,100,elements,92373100.0,ns,1108260
sort_unstable,,100,100,elements,93670700.0,ns,1120050
sort_unstable,,100,100,elements,95048300.0,ns,1131840
sort_unstable,,100,100,elements,95585600.0,ns,1143630
sort_unstable,,100,100,elements,96517200.0,ns,1155420
sort_unstable,,100,100,elements,97610500.0,ns,1167210
sort_unstable,,100,100,elements,98613700.0,ns,1179000
